,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
EGA,-0.0714995158380062,0.3845875868296798,6.512728785287535,2.702813299360811,1,6.512728785287535,2.702813299360811,1,6.386949773862638,2.6506144137527325,1,1.0
pDCs_168Er_STAT6_IFNa,0.0856802215996885,0.2971780058457949,1.9865663253481791,1.0468873490615913,2,1.9865663253481791,1.0468873490615913,2,1.3735376977070346,0.7238314778826505,5,2.75
ncMCs_150Nd_STAT5_GMCSF,0.1003673591564859,0.2216889883641238,-0.9383734623399175,0.6139363538988348,3,-0.9383734623399175,0.6139363538988348,3,-1.0714155599556465,0.7009799283426162,6,3.75
MDSCs_154Sm_STAT3_IL246,0.12497577413815,0.1275560180499875,-0.5741332485889504,0.5134468168938133,4,-0.5741332485889504,0.5134468168938133,4,-0.6372116523978135,0.5698577732876505,9,5.25
pDCs_168Er_STAT6_IL246,0.1199512076087482,0.1437162713115778,0.4905690619803025,0.4133015202476969,7,0.4905690619803025,0.4133015202476969,7,0.8744718199630426,0.7367373130819401,4,6.25
Granulocytes_159Tb_MAPKAPK2_LPS,0.12581037623777,0.1250128727044963,-0.4997641612588678,0.45130965941075146,6,-0.4997641612588678,0.45130965941075146,6,-0.6690027423492475,0.604139758709319,8,6.5
MDSCs_159Tb_MAPKAPK2_GMCSF,-0.1189807903184917,0.1470090486026305,-0.5576099297616534,0.46429721633005516,5,-0.5576099297616534,0.46429721633005516,5,-0.5216163089269136,0.4343269143909335,11,6.5
cMCs_154Sm_STAT3_IL246,0.1896535188964815,0.0200998842023163,-0.18762262970817772,0.31835928724003065,8,-0.18762262970817772,0.31835928724003065,8,-0.5908585565475932,1.002572606591956,2,6.5
CD56hiCD16negNK_168Er_STAT6_IL246,0.1637469808991273,0.0452587556557196,0.16012266325447694,0.21525247840655104,10,0.16012266325447694,0.21525247840655104,10,0.6547206949942809,0.8801393219247382,3,8.25
ncMCs_155Gd_S6_unstim,0.1292528027573986,0.1149349437575152,-0.17672430242656711,0.1660409494076775,12,-0.17672430242656711,0.1660409494076775,12,-0.44901014139974416,0.42186654097937615,12,12.0
CD8Tem_153Eu_STAT1_IFNa,0.0592369939220187,0.471484640647933,0.730060940451635,0.23838858791497153,9,0.730060940451635,0.23838858791497153,9,0.8666576865659036,0.2829918581567899,23,12.5
Bcells_168Er_STAT6_IFNa,0.0680048762864389,0.4083070273861128,0.44806691087981293,0.1743039183311251,11,0.44806691087981293,0.1743039183311251,11,0.8822282996446951,0.34319840576650906,18,12.75
CD8Tem_154Sm_STAT3_IL246,0.1109542431946413,0.1764661658670162,0.202339970238922,0.1524304998379122,13,0.202339970238922,0.1524304998379122,13,0.5092469343724303,0.38363534726062826,16,13.75
intMCs_167Er_ERK_GMCSF,0.090136418192529,0.2726672944227791,-0.1506591976447746,0.08502707204204264,16,-0.1506591976447746,0.08502707204204264,16,-0.5052507286223024,0.28514681329416364,21,17.25
CD8Tcm_154Sm_STAT3_IFNa,0.1381558139060455,0.0917965055119782,0.0484488788864582,0.05024991029640766,22,0.0484488788864582,0.05024991029640766,22,0.5852327092827836,0.6069880628796801,7,18.25
CD8Tcm_154Sm_STAT3_IL246,0.0660622275226043,0.4218572832145909,0.2989140445891636,0.11204328106853144,15,0.2989140445891636,0.11204328106853144,15,0.45004629145080244,0.16869285347959356,32,19.25
CD56hiCD16negNK_154Sm_STAT3_IL246,0.0263900967755759,0.7485412862914784,0.9461994214080789,0.11901697592389641,14,0.9461994214080789,0.11901697592389641,14,1.093737006636012,0.1375748790800955,36,19.5
CD8Tcm_153Eu_STAT1_IFNa,0.049380905512775,0.5484415691315863,0.3133040179179086,0.08173150488677433,17,0.3133040179179086,0.08173150488677433,17,0.7553054031413204,0.19703624504434816,28,19.75
ncMCs_168Er_STAT6_IL246,0.0768503115734456,0.3499275861199801,-0.13922203282026197,0.06348828466338817,18,-0.13922203282026197,0.06348828466338817,18,-0.49946099056789545,0.2277651094806986,26,20.0
CD8Tem_154Sm_STAT3_IFNa,0.0923668223977591,0.2609283811350353,0.06094164670830418,0.03555815159024821,24,0.06094164670830418,0.03555815159024821,24,0.7056248035259489,0.4117170290739096,13,21.25
Tregs_153Eu_STAT1_IFNa,0.0870004729806389,0.2897688221584075,0.08599401736328309,0.046260339278642225,23,0.08599401736328309,0.046260339278642225,23,0.5297251149708794,0.28496474864580135,22,22.75
CD4Tcm_154Sm_STAT3_IL246,0.1315163404430841,0.1086608938453749,-0.024044696050870867,0.023177325160681852,26,-0.024044696050870867,0.023177325160681852,26,-0.36931137642398987,0.35598910623816216,17,23.75
CD4Tem_150Nd_STAT5_IFNa,0.0464443082090389,0.5725020146902294,-0.2268610785133415,0.05495096663344705,19,-0.2268610785133415,0.05495096663344705,19,-0.5089081274699735,0.123269243518332,39,24.0
Granulocytes_151Eu_p38_LPS,0.1632326848379908,0.0459483937398202,-0.013667460941203332,0.018283367960536992,29,-0.013667460941203332,0.018283367960536992,29,-0.29998345426319817,0.40129676609005027,14,25.25
pDCs_154Sm_STAT3_GMCSF,0.1100866136523308,0.179894143070494,0.04354908338402211,0.03244332574278576,25,0.04354908338402211,0.03244332574278576,25,0.2154903576359969,0.16053664793732683,33,27.0
CD4negCD8negTcells_150Nd_STAT5_IFNa,-0.0318388890808212,0.6989182104016509,-0.14129713260997304,0.021982109776018426,27,-0.14129713260997304,0.021982109776018426,27,-0.8376833248972545,0.13032144718931016,37,29.5
cMCs_153Eu_STAT1_IFNa,0.0978078526218771,0.2337584168738834,-0.08133059434170134,0.05133853412799744,21,-0.08133059434170134,0.05133853412799744,21,-0.11427361373796152,0.07213324661280486,56,29.75
MDSCs_168Er_STAT6_IL246,-0.0065693197602059,0.9364080940820771,1.8536795232496208,0.05289445050559687,20,1.8536795232496208,0.05289445050559687,20,1.7768319036647455,0.050701615897660306,66,31.5
CD56hiCD16negNK_153Eu_STAT1_IFNa,0.0324002005094356,0.6938737325670243,0.13050483309771482,0.0207136687662578,28,0.13050483309771482,0.0207136687662578,28,0.6311055600749595,0.1001687923553632,45,32.25
CD56hiCD16negNK_154Sm_STAT3_IFNa,0.0710664688764237,0.3874807147773456,0.023932478122118434,0.009854195660226427,32,0.023932478122118434,0.009854195660226427,32,0.20743251014886555,0.08541031692867956,50,36.5
CD4Tnaive_154Sm_STAT3_IL246,0.0585710379940943,0.4764917820577862,-0.024511423724017184,0.007891320141929307,34,-0.024511423724017184,0.007891320141929307,34,-0.20817190916721667,0.06701981893387562,58,40.0
cMCs_167Er_ERK_LPS,0.0919834855809001,0.2629209163953326,-0.009498290076308863,0.00551066914072921,35,-0.009498290076308863,0.00551066914072921,35,-0.09285386622731304,0.05387147908785484,64,42.25
CD8Teff_154Sm_STAT3_IL246,-0.0467376968328709,0.5700760405505997,-0.04883112593401157,0.011918076734500077,31,-0.04883112593401157,0.011918076734500077,31,-0.1766482500711165,0.04311404578726596,77,42.5
CD56hiCD16negNK_168Er_STAT6_IFNa,-0.0172442919199228,0.8340990089204707,0.06766981873173544,0.005331190377740098,36,0.06766981873173544,0.005331190377740098,36,0.6323029149799688,0.04981433790330733,69,44.25
Granulocytes_154Sm_STAT3_IFNa,-0.0521965033490175,0.5258466820835623,0.01482984416666378,0.00413961548384427,38,0.01482984416666378,0.00413961548384427,38,0.14581550023781248,0.04070306442773233,80,48.5
pDCs_155Gd_S6_GMCSF,0.0865139617671568,0.2924846441525223,0.008286537463561325,0.004424156912481288,37,0.008286537463561325,0.004424156912481288,37,0.06765211167015762,0.03611925473162001,84,48.75
CD4negCD8negTcells_150Nd_STAT5_IL246,-0.0030494635749809,0.970456461855433,-1.161896071893172,0.015132469189268152,30,-1.161896071893172,0.015132469189268152,30,-0.9188986391075987,0.011967684271192422,109,49.75
MDSCs_168Er_STAT6_IFNa,0.0008784041563836,0.991488158121567,2.4897003161452007,0.009242933851736352,33,2.4897003161452007,0.009242933851736352,33,2.118497634418594,0.007864855610537274,117,54.0
