,Spearman corr,pvalue
CD56loCD16posNK_STAT1_IFNa,0.6093562665832593,1.2896674872079932e-16
Bcells_STAT1_IFNa,0.5617596989233936,7.492344811553205e-14
CD8Tcm_STAT1_IFNa,0.5316473306732505,2.555871616149657e-12
NKT_STAT1_IFNa,0.5303955380988129,2.9378082123844824e-12
CD8Tnaive_STAT1_IFNa,0.5286778795378659,3.553159601535314e-12
CD56hiCD16negNK_STAT1_IFNa,0.5147509285995409,1.5974344233563233e-11
CD8Tem_STAT1_IFNa,0.5034855539773093,5.131508537591469e-11
mDCs_STAT1_IFNa,0.49866152946814857,8.349836980265277e-11
CD4Tnaive_STAT1_IFNa,0.49804807998209605,8.878287376259272e-11
cMCs_STAT1_IFNa,0.49673760963073166,1.0117787341494516e-10
CD4Teff_STAT1_IFNa,0.4897691790920656,2.008555432424912e-10
CD4Tcm_STAT1_IFNa,0.4884142558793931,2.2909359919642148e-10
intMCs_STAT1_IFNa,0.48029182906116735,4.980849060568834e-10
CD4negCD8negTcells_STAT1_IFNa,0.4758785489904939,7.531828838951951e-10
Tregs_STAT1_IFNa,0.47117543626409125,1.162796508311162e-09
CD4Tem_STAT1_IFNa,0.4285718139863573,4.466086069905981e-08
pDCs_STAT1_IFNa,0.4031697679536405,3.13240827990595e-07
CD56hiCD16negNK_STAT1_IL246,0.3968575457120392,4.959670217091097e-07
CD8Teff_STAT1_IFNa,0.3912705290054598,7.390700593651573e-07
CD4Tnaive_STAT3_unstim,0.3808166523593567,1.5289185879667001e-06
MDSCs_STAT1_IFNa,0.3656787111635831,4.193429129446978e-06
CD4Tnaive_STAT1_IL246,0.36373739672371036,4.755294157202128e-06
intMCs_IkB_IFNa,0.35619334857361773,7.691933652369365e-06
CD4Tcm_STAT3_unstim,0.34622037976769604,1.425889253923315e-05
CD8Tnaive_STAT3_unstim,0.34542884446227184,1.4961442460644257e-05
intMCs_NFkB_GMCSF,-0.33943285664488876,2.144750327838734e-05
Granulocytes_S6_unstim,-0.3383855481634521,2.2822694959243902e-05
CD8Tnaive_STAT1_IL246,0.33683579882361664,2.5010794227778796e-05
CD4Teff_STAT1_IL246,0.3357884382032808,2.6599821349826735e-05
CD4negCD8negTcells_MAPKAPK2_IFNa,0.3347211550781319,2.8316498401030978e-05
CD56loCD16posNK_STAT3_IL246,0.33394204409705136,2.963491469155736e-05
Tregs_STAT5_unstim,0.3308961367478139,3.536401470537774e-05
CD4Tnaive_MAPKAPK2_IFNa,0.32960522680295307,3.809334859675775e-05
Tregs_STAT1_IL246,0.32311861785915363,5.5069404252440446e-05
CD4Teff_STAT3_unstim,0.31742912319495115,7.556857293522676e-05
Granulocytes_CREB_IFNa,0.31138668231942274,0.00010502887739907718
intMCs_CREB_unstim,-0.30588520109435513,0.00014087476374689034
Granulocytes_NFkB_GMCSF,-0.3000494346494062,0.00019115567620684313
CD4Tcm_MAPKAPK2_IFNa,0.29922037643953464,0.00019952319083661364
CD4Tcm_ERK_IFNa,0.2966763545317742,0.00022737381688246334
Tregs_MAPKAPK2_LPS,0.2924002087821163,0.0002824558197192867
CD4Tnaive_STAT3_IL246,-0.2868362778997366,0.0003726903212832796
Granulocytes_S6_IFNa,0.2843522542179591,0.00042102612188640236
CD4Tnaive_STAT5_unstim,0.28163885397573124,0.0004804041914444034
CD56loCD16posNK_MAPKAPK2_IFNa,0.2766263537903836,0.0006108633891703925
CD4Tcm_STAT5_unstim,0.27586887770703555,0.0006332014548625537
Granulocytes_IkB_IFNa,0.27456729908494454,0.0006733492957246276
MDSCs_STAT3_IL246,-0.273421957762485,0.0007106017378056868
CD56loCD16posNK_CREB_LPS,0.2669110910191783,0.0009608598626657831
NKT_CREB_IFNa,0.265637530348638,0.0010183898232224418
Bcells_MAPKAPK2_LPS,0.26328872913969437,0.001132839006063046
MDSCs_CREB_unstim,-0.2632362771988736,0.0011355241320300667
Granulocytes_CREB_unstim,-0.26312514275549714,0.0011412325899844485
cMCs_CREB_unstim,-0.2605255417370586,0.001282482921447066
CD8Tnaive_STAT5_unstim,0.25869941981781347,0.001391067258958658
Granulocytes_p38_GMCSF,-0.25584377054584884,0.0015777789797064132
ncMCs_ERK_GMCSF,-0.2552592148135979,0.0016187072152411498
cMCs_CREB_GMCSF,-0.25346998986211733,0.0017500649689000446
Granulocytes_ERK_GMCSF,-0.2530059024026013,0.001785685001680788
CD8Tnaive_IkB_IFNa,0.2522306451905362,0.0018466621353817633
CD56loCD16posNK_MAPKAPK2_LPS,0.25122601141802053,0.0019284963799304463
intMCs_ERK_GMCSF,-0.24972795022981434,0.002056655916907385
CD56loCD16posNK_MAPKAPK2_unstim,-0.2476466702072704,0.0022475551852266613
CD8Tem_ERK_IFNa,0.24606770597719274,0.0024029489903408855
Granulocytes_IkB_unstim,-0.2451590902997495,0.0024967213887777022
CD56hiCD16negNK_S6_unstim,-0.24508947327708042,0.002504041007191716
cMCs_IkB_IFNa,0.24439272365204293,0.0025783757059601588
CD4Tcm_CREB_unstim,-0.2420137694395986,0.0028474754377115974
mDCs_CREB_unstim,-0.23927175858152103,0.003188945351193913
CD8Teff_IkB_unstim,-0.2364501871920504,0.0035784761787945687
ncMCs_CREB_GMCSF,-0.23498828467357402,0.0037967040184592846
cMCs_S6_GMCSF,-0.23435883271698904,0.0038942985054999514
CD4Tem_MAPKAPK2_IFNa,0.23412617847967793,0.003930937833128145
CD4Tem_CREB_unstim,-0.2308211029383335,0.004485969424476314
ncMCs_IkB_IFNa,0.22996486892984216,0.0046407738306806475
cMCs_STAT1_IL246,0.2298805837841225,0.0046562682114348365
Tregs_MAPKAPK2_IFNa,0.22956905561947483,0.00471394048403225
CD56loCD16posNK_CREB_IFNa,0.22725479751018163,0.005162797711015537
CD8Tnaive_MAPKAPK2_IFNa,0.2261848478457428,0.00538295211317262
CD8Tem_CREB_IFNa,0.2257599020210286,0.005472692074462321
Bcells_STAT5_IL246,0.2244911045064938,0.005748642963078566
intMCs_STAT1_IL246,0.2242522544921543,0.005801958010219556
NKT_ERK_IL246,-0.22210763503091407,0.0063007946171873075
CD8Teff_MAPKAPK2_IFNa,0.21984409734522853,0.0068684038128887185
CD4Tem_MAPKAPK2_unstim,-0.21975844067882594,0.006890749000588968
mDCs_STAT3_IL246,-0.21637144290678087,0.00782777479970674
Tregs_MAPKAPK2_unstim,-0.21616437292689303,0.007888564120889171
CD4Tnaive_S6_IFNa,0.2160264890096693,0.007929274344388032
Bcells_S6_LPS,0.2150823110747918,0.008213081861706823
cMCs_STAT3_IL246,-0.2125858406029124,0.009007289445698539
CD8Tnaive_IkB_unstim,-0.21224266481867254,0.009121609964206221
MDSCs_p38_GMCSF,-0.2118817808042854,0.009243210714092287
Bcells_IkB_IFNa,0.20939032680309438,0.010122481624498114
ncMCs_NFkB_GMCSF,-0.2092821068872771,0.010162290946418618
