,Max Proba
artificial.283,0.862
artificial.245,0.652
artificial.307,0.591
artificial.102,0.558
artificial.56,0.531
artificial.18,0.506
artificial.194,0.485
artificial.295,0.476
artificial.166,0.449
artificial.59,0.446
artificial.219,0.438
artificial.73,0.426
artificial.277,0.42
artificial.22,0.415
artificial.165,0.414
artificial.310,0.409
artificial.177,0.396
artificial.70,0.382
artificial.149,0.381
artificial.211,0.376
artificial.291,0.366
artificial.77,0.347
artificial.216,0.346
artificial.152,0.333
artificial.128,0.328
artificial.257,0.326
artificial.214,0.316
artificial.238,0.306
artificial.243,0.302
artificial.182,0.301
artificial.69,0.291
artificial.54,0.289
artificial.174,0.289
artificial.151,0.281
artificial.240,0.273
artificial.137,0.272
artificial.258,0.267
artificial.153,0.264
artificial.50,0.263
artificial.105,0.253
artificial.175,0.245
artificial.86,0.238
artificial.101,0.237
artificial.305,0.228
artificial.143,0.226
artificial.276,0.225
artificial.15,0.224
artificial.172,0.222
artificial.168,0.218
artificial.189,0.215
artificial.244,0.214
artificial.290,0.21
artificial.55,0.203
artificial.232,0.203
artificial.46,0.201
artificial.37,0.201
artificial.160,0.199
artificial.9,0.199
artificial.164,0.196
artificial.196,0.193
artificial.29,0.193
artificial.116,0.192
artificial.138,0.187
artificial.303,0.187
artificial.301,0.183
artificial.204,0.182
artificial.114,0.18
artificial.20,0.177
artificial.8,0.172
artificial.83,0.172
artificial.186,0.171
artificial.30,0.17
artificial.122,0.169
artificial.210,0.165
artificial.94,0.164
artificial.142,0.163
artificial.154,0.163
artificial.5,0.162
artificial.311,0.151
artificial.180,0.15
artificial.112,0.149
artificial.275,0.149
artificial.274,0.146
artificial.85,0.145
artificial.124,0.141
artificial.228,0.139
artificial.159,0.138
artificial.162,0.136
artificial.155,0.134
artificial.25,0.133
artificial.107,0.133
artificial.115,0.131
artificial.62,0.13
artificial.251,0.129
artificial.306,0.128
artificial.21,0.128
artificial.231,0.127
artificial.313,0.124
artificial.63,0.118
artificial.103,0.115
artificial.222,0.112
artificial.67,0.111
artificial.158,0.109
artificial.199,0.108
artificial.184,0.108
artificial.256,0.107
artificial.108,0.105
artificial.192,0.104
artificial.32,0.103
artificial.34,0.102
artificial.167,0.101
artificial.64,0.101
artificial.12,0.1
artificial.208,0.099
artificial.156,0.098
artificial.212,0.097
artificial.241,0.093
artificial.117,0.091
artificial.198,0.091
artificial.176,0.091
artificial.270,0.091
artificial.300,0.089
artificial.294,0.088
artificial.169,0.087
artificial.92,0.087
artificial.41,0.087
artificial.57,0.086
artificial.260,0.086
artificial.207,0.085
artificial.299,0.083
artificial.234,0.083
artificial.266,0.083
artificial.16,0.083
artificial.24,0.082
artificial.52,0.082
artificial.44,0.08
artificial.99,0.08
artificial.106,0.08
artificial.302,0.076
artificial.161,0.076
artificial.81,0.075
artificial.205,0.075
artificial.96,0.074
artificial.171,0.072
artificial.113,0.071
artificial.190,0.07
artificial.39,0.07
artificial.97,0.07
artificial.248,0.069
artificial.65,0.069
artificial.133,0.067
artificial.120,0.067
artificial.309,0.066
artificial.229,0.065
artificial.288,0.063
artificial.187,0.063
artificial.262,0.063
artificial.170,0.062
artificial.285,0.062
artificial.13,0.062
artificial.286,0.061
artificial.278,0.061
artificial.157,0.06
artificial.79,0.059
artificial.298,0.058
artificial.27,0.058
artificial.203,0.058
artificial.271,0.057
artificial.253,0.056
artificial.23,0.056
artificial.201,0.055
artificial.259,0.055
artificial.217,0.054
artificial.236,0.054
artificial.14,0.052
artificial.95,0.051
artificial.263,0.049
artificial.28,0.048
artificial.135,0.048
artificial.118,0.047
artificial.72,0.047
artificial.284,0.046
artificial.119,0.045
artificial.202,0.045
artificial.163,0.045
artificial.239,0.045
artificial.293,0.044
artificial.265,0.044
artificial.71,0.044
artificial.75,0.043
artificial.206,0.043
artificial.242,0.042
artificial.224,0.042
artificial.247,0.042
artificial.125,0.041
artificial.78,0.041
artificial.220,0.04
artificial.43,0.04
artificial.109,0.04
artificial.213,0.039
artificial.60,0.038
artificial.200,0.038
artificial.279,0.037
artificial.76,0.037
artificial.292,0.036
artificial.66,0.036
artificial.230,0.036
artificial.140,0.036
artificial.10,0.034
artificial.178,0.034
artificial.48,0.034
artificial.45,0.034
artificial.308,0.034
artificial.4,0.034
artificial.127,0.033
artificial.6,0.033
artificial.88,0.033
artificial.215,0.033
artificial.218,0.033
artificial.280,0.033
artificial.188,0.033
artificial.51,0.032
artificial.68,0.032
artificial.121,0.032
artificial.31,0.032
artificial.209,0.032
artificial.11,0.032
artificial.110,0.032
artificial.47,0.031
artificial.272,0.031
artificial.7,0.031
artificial.312,0.031
artificial.17,0.03
artificial.38,0.03
artificial.2,0.03
artificial.144,0.029
artificial.233,0.029
artificial.53,0.028
artificial.252,0.027
artificial.255,0.027
artificial.264,0.027
artificial.141,0.027
artificial.126,0.027
artificial.145,0.026
artificial.254,0.025
artificial.129,0.025
artificial.58,0.023
artificial.89,0.023
artificial.281,0.023
artificial.36,0.023
artificial.269,0.022
artificial.304,0.022
artificial.289,0.021
artificial.250,0.021
artificial.183,0.021
artificial.84,0.021
artificial.139,0.02
artificial.179,0.02
artificial.136,0.02
artificial.268,0.02
artificial.273,0.018
artificial.147,0.017
artificial.249,0.017
artificial.1,0.017
artificial.82,0.016
artificial.297,0.016
artificial.33,0.016
artificial.132,0.015
artificial.287,0.015
artificial.225,0.014
artificial.282,0.014
artificial.104,0.014
artificial.35,0.014
artificial.150,0.013
artificial.197,0.013
artificial.193,0.013
artificial.40,0.013
artificial.93,0.012
artificial.123,0.012
artificial.148,0.012
artificial.61,0.011
artificial.261,0.011
artificial.134,0.011
artificial.191,0.011
artificial.235,0.01
artificial.90,0.01
artificial.26,0.01
artificial.246,0.009
artificial.91,0.009
artificial.3,0.008
artificial.296,0.008
artificial.226,0.008
artificial.130,0.008
artificial.74,0.007
artificial.80,0.006
artificial.42,0.006
artificial.195,0.006
artificial.185,0.005
artificial.173,0.005
artificial.221,0.005
artificial.100,0.005
artificial.267,0.004
artificial.98,0.004
artificial.87,0.004
artificial.111,0.004
artificial.19,0.002
artificial.223,0.002
artificial.49,0.002
artificial.131,0.001
artificial.237,0.001
artificial.146,0.001
artificial.181,0.001
artificial.227,0.0
