,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
Bcells_149Sm_CREB_IFNa,0.0,0.0,0.0,0.137,0.205,0.226,0.38,0.447,0.462,0.478,0.492,0.512,0.541,0.559,0.57,0.586,0.594,0.607,0.614,0.616,0.624,0.623,0.625,0.628,0.631,0.635,0.636,0.636,0.639,0.639
Bcells_149Sm_CREB_IL246,0.0,0.0,0.0,0.062,0.177,0.276,0.38,0.438,0.477,0.502,0.518,0.533,0.553,0.554,0.554,0.559,0.561,0.562,0.564,0.571,0.571,0.573,0.575,0.577,0.579,0.583,0.587,0.589,0.59,0.593
Bcells_149Sm_CREB_unstim,0.0,0.0,0.013,0.489,0.498,0.544,0.575,0.59,0.603,0.635,0.667,0.697,0.709,0.724,0.729,0.737,0.748,0.755,0.759,0.763,0.767,0.767,0.768,0.77,0.772,0.773,0.772,0.775,0.774,0.774
Bcells_150Nd_STAT5_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.009,0.013,0.011,0.01,0.007,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Bcells_150Nd_STAT5_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.017,0.023,0.032,0.034,0.046,0.063,0.074,0.088,0.1,0.109,0.119,0.124,0.13,0.131,0.137,0.139,0.142,0.145,0.15
Bcells_150Nd_STAT5_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bcells_153Eu_STAT1_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.029,0.056,0.116,0.163,0.193,0.218,0.236,0.256,0.269,0.281,0.294,0.303,0.31,0.317,0.324,0.336,0.347,0.352,0.354,0.358,0.363
Bcells_153Eu_STAT1_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_154Sm_STAT3_IFNa,0.0,0.0,0.0,0.009,0.056,0.072,0.084,0.101,0.106,0.108,0.109,0.108,0.107,0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.106,0.105,0.106,0.106,0.106,0.106,0.106,0.105,0.105,0.106
Bcells_154Sm_STAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.005,0.005,0.006,0.009,0.011,0.012,0.016,0.024,0.027,0.033,0.038,0.042,0.048,0.051,0.053,0.057,0.061
Bcells_154Sm_STAT3_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_155Gd_S6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.022,0.149,0.34,0.488,0.563,0.598,0.626,0.645,0.66,0.675,0.688,0.698,0.71,0.719,0.725,0.729,0.735,0.741,0.747,0.75,0.751,0.753,0.757
Bcells_155Gd_S6_IL246,0.0,0.0,0.0,0.0,0.005,0.043,0.123,0.244,0.338,0.411,0.458,0.491,0.508,0.545,0.569,0.592,0.612,0.639,0.658,0.684,0.694,0.705,0.716,0.73,0.74,0.749,0.755,0.762,0.763,0.768
Bcells_155Gd_S6_LPS,0.0,0.0,0.0,0.028,0.461,0.501,0.512,0.606,0.708,0.749,0.767,0.775,0.783,0.787,0.79,0.791,0.794,0.795,0.796,0.799,0.802,0.802,0.804,0.805,0.805,0.806,0.806,0.807,0.808,0.809
Bcells_155Gd_S6_unstim,0.0,0.0,0.0,0.009,0.443,0.746,0.788,0.801,0.809,0.816,0.823,0.831,0.831,0.836,0.837,0.84,0.842,0.843,0.844,0.846,0.847,0.847,0.848,0.848,0.85,0.851,0.851,0.851,0.853,0.853
Bcells_156Gd_IkB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.02,0.037,0.056,0.073,0.084,0.092,0.106,0.114,0.117,0.119,0.13,0.14,0.142,0.146,0.15,0.157,0.161,0.163,0.167,0.174
Bcells_156Gd_IkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.009,0.013,0.024,0.032,0.043,0.059,0.07,0.083,0.095,0.106,0.112,0.119,0.126,0.132,0.139,0.146,0.148,0.151,0.153,0.157,0.161
Bcells_156Gd_IkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.005,0.01,0.017,0.023,0.026,0.032,0.038,0.042,0.046,0.05,0.053,0.055,0.058,0.06,0.064,0.07,0.071,0.073,0.074
Bcells_159Tb_MAPKAPK2_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.008,0.01,0.013,0.019,0.026,0.032,0.035,0.038,0.045,0.048,0.055,0.059,0.065,0.071,0.076,0.077,0.079,0.084
Bcells_159Tb_MAPKAPK2_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.01,0.019,0.034,0.057,0.075,0.086,0.106,0.117,0.127,0.135,0.142,0.154,0.157,0.162,0.171,0.176,0.185,0.189
Bcells_159Tb_MAPKAPK2_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.031,0.055,0.093,0.122,0.141,0.161,0.183,0.197,0.211,0.216,0.227,0.233,0.238,0.244,0.251,0.257,0.266,0.272,0.278,0.285,0.286
Bcells_159Tb_MAPKAPK2_unstim,0.0,0.0,0.0,0.0,0.001,0.032,0.238,0.46,0.501,0.514,0.526,0.535,0.548,0.561,0.575,0.584,0.592,0.599,0.603,0.609,0.616,0.618,0.622,0.626,0.629,0.634,0.637,0.641,0.644,0.65
Bcells_166Er_NFkB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.01,0.025,0.035,0.048,0.057,0.066,0.081,0.097,0.109,0.118,0.128,0.134,0.14,0.151,0.16,0.165,0.177,0.182,0.187
Bcells_166Er_NFkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.009,0.009,0.016,0.022,0.023,0.026,0.03,0.037,0.04,0.044,0.046,0.051,0.055,0.06,0.061,0.066,0.07,0.073,0.075,0.075
Bcells_166Er_NFkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.008,0.011,0.013,0.014,0.017,0.017,0.022,0.024,0.027,0.027,0.028,0.03,0.031,0.033,0.034,0.036
Bcells_167Er_ERK_IL246,0.0,0.0,0.0,0.0,0.001,0.074,0.292,0.403,0.442,0.456,0.468,0.48,0.485,0.494,0.497,0.503,0.504,0.51,0.513,0.517,0.527,0.53,0.537,0.537,0.539,0.545,0.547,0.554,0.556,0.558
Bcells_168Er_STAT6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.007,0.009,0.014,0.019,0.024,0.032,0.041,0.045,0.048,0.057,0.061,0.062,0.066,0.068,0.071,0.072,0.073,0.074,0.075
Bcells_168Er_STAT6_IL246,0.0,0.0,0.0,0.011,0.072,0.103,0.145,0.18,0.214,0.241,0.257,0.28,0.29,0.303,0.313,0.319,0.327,0.333,0.34,0.345,0.351,0.354,0.355,0.36,0.362,0.366,0.37,0.368,0.369,0.371
Bcells_168Er_STAT6_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_149Sm_CREB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.017,0.053,0.091,0.129,0.168,0.2,0.233,0.263,0.289,0.313,0.335,0.352,0.364,0.384,0.403,0.418,0.423,0.439,0.449,0.457,0.461,0.465
