,Fold selected features,Fold nb of features
Fold 0,"['Bcells_168Er_STAT6_IFNa', 'CD4negCD8negTcells_150Nd_STAT5_IL246', 'CD4negCD8negTcells_166Er_NFkB_unstim', 'CD56hiCD16negNK_149Sm_CREB_IL246', 'CD56hiCD16negNK_154Sm_STAT3_IL246', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'CD8Tem_166Er_NFkB_unstim', 'Granulocytes_149Sm_CREB_GMCSF', 'intMCs_167Er_ERK_GMCSF', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_150Nd_STAT5_IL246', 'pDCs_168Er_STAT6_IL246', 'EGA']",15
Fold 1,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Teff_153Eu_STAT1_IL246', 'CD4Teff_168Er_STAT6_IFNa', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'Granulocytes_149Sm_CREB_LPS', 'Granulocytes_155Gd_S6_LPS', 'MDSCs_149Sm_CREB_LPS', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_150Nd_STAT5_GMCSF', 'EGA']",11
Fold 2,"['CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'EGA']",6
Fold 3,"['CD4negCD8negTcells_150Nd_STAT5_IL246', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'CD8Tem_154Sm_STAT3_IL246', 'intMCs_167Er_ERK_GMCSF', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'pDCs_155Gd_S6_IFNa', 'pDCs_155Gd_S6_IL246', 'EGA']",11
Fold 4,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'CD8Tem_154Sm_STAT3_IL246', 'Granulocytes_150Nd_STAT5_GMCSF', 'Granulocytes_155Gd_S6_LPS', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_154Sm_STAT3_unstim', 'pDCs_150Nd_STAT5_GMCSF', 'EGA']",11
Fold 5,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Tcm_154Sm_STAT3_IL246', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'Granulocytes_149Sm_CREB_GMCSF', 'intMCs_167Er_ERK_GMCSF', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_150Nd_STAT5_GMCSF', 'EGA']",9
Fold 6,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Teff_153Eu_STAT1_IL246', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'Granulocytes_155Gd_S6_LPS', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'EGA']",9
Fold 7,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'EGA']",7
Fold 8,"['CD4negCD8negTcells_150Nd_STAT5_IL246', 'CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Tem_150Nd_STAT5_IFNa', 'CD4Tnaive_154Sm_STAT3_unstim', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'CD8Tem_154Sm_STAT3_IL246', 'Granulocytes_150Nd_STAT5_GMCSF', 'Granulocytes_155Gd_S6_LPS', 'intMCs_167Er_ERK_GMCSF', 'MDSCs_154Sm_STAT3_GMCSF', 'MDSCs_155Gd_S6_LPS', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_154Sm_STAT3_unstim', 'ncMCs_155Gd_S6_unstim', 'pDCs_155Gd_S6_IL246', 'pDCs_168Er_STAT6_IFNa', 'EGA']",20
Fold 9,"['Bcells_168Er_STAT6_IFNa', 'CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Teff_168Er_STAT6_IFNa', 'CD56hiCD16negNK_149Sm_CREB_IL246', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'CD8Tem_154Sm_STAT3_IL246', 'Granulocytes_155Gd_S6_LPS', 'MDSCs_168Er_STAT6_IL246', 'pDCs_150Nd_STAT5_GMCSF', 'pDCs_166Er_NFkB_IL246', 'EGA']",13
Fold 10,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'EGA']",5
Fold 11,"['CD4negCD8negTcells_166Er_NFkB_unstim', 'CD4Teff_168Er_STAT6_IFNa', 'CD56hiCD16negNK_168Er_STAT6_IFNa', 'CD56loCD16posNK_153Eu_STAT1_IFNa', 'CD8Tem_153Eu_STAT1_IFNa', 'MDSCs_168Er_STAT6_IFNa', 'MDSCs_168Er_STAT6_IL246', 'ncMCs_159Tb_MAPKAPK2_GMCSF', 'EGA']",9
