,Max Proba
artificial.376,0.93
artificial.491,0.916
artificial.383,0.899
artificial.253,0.896
artificial.291,0.887
artificial.214,0.876
artificial.327,0.876
artificial.171,0.869
artificial.179,0.868
artificial.184,0.867
artificial.586,0.865
artificial.482,0.853
artificial.8,0.846
artificial.750,0.837
artificial.63,0.832
artificial.198,0.832
artificial.218,0.831
artificial.697,0.826
artificial.276,0.822
artificial.648,0.82
artificial.604,0.813
artificial.373,0.81
artificial.69,0.808
artificial.396,0.803
artificial.316,0.798
artificial.170,0.795
artificial.645,0.795
artificial.237,0.79
artificial.127,0.789
artificial.608,0.789
artificial.275,0.779
artificial.16,0.778
artificial.624,0.777
artificial.666,0.771
artificial.605,0.77
artificial.507,0.765
artificial.517,0.764
artificial.682,0.763
artificial.505,0.763
artificial.747,0.76
artificial.55,0.758
artificial.570,0.756
artificial.328,0.755
artificial.20,0.754
artificial.633,0.75
artificial.452,0.75
artificial.225,0.748
artificial.158,0.745
artificial.94,0.744
artificial.406,0.742
artificial.613,0.741
artificial.42,0.738
artificial.224,0.735
artificial.152,0.735
artificial.686,0.735
artificial.304,0.734
artificial.52,0.733
artificial.704,0.731
artificial.51,0.729
artificial.364,0.729
artificial.677,0.727
artificial.536,0.723
artificial.602,0.721
artificial.37,0.72
artificial.541,0.716
artificial.445,0.715
artificial.336,0.715
artificial.254,0.708
artificial.250,0.703
artificial.260,0.701
artificial.341,0.701
artificial.190,0.694
artificial.388,0.686
artificial.210,0.686
artificial.707,0.682
artificial.627,0.669
artificial.339,0.666
artificial.460,0.666
artificial.596,0.661
artificial.307,0.66
artificial.47,0.66
artificial.530,0.657
artificial.104,0.657
artificial.516,0.649
artificial.313,0.648
artificial.540,0.648
artificial.427,0.647
artificial.323,0.646
artificial.415,0.64
artificial.332,0.64
artificial.653,0.635
artificial.485,0.634
artificial.617,0.632
artificial.710,0.631
artificial.41,0.629
artificial.139,0.628
artificial.533,0.628
artificial.257,0.626
artificial.221,0.625
artificial.151,0.624
artificial.444,0.624
artificial.74,0.619
artificial.471,0.617
artificial.464,0.617
artificial.220,0.616
artificial.694,0.615
artificial.397,0.612
artificial.80,0.61
artificial.569,0.607
artificial.282,0.605
artificial.347,0.602
artificial.29,0.596
artificial.64,0.592
artificial.135,0.589
artificial.715,0.584
artificial.249,0.58
artificial.425,0.58
artificial.100,0.573
artificial.655,0.569
artificial.300,0.567
artificial.494,0.566
artificial.335,0.565
artificial.518,0.564
artificial.180,0.563
artificial.315,0.56
artificial.598,0.557
artificial.565,0.557
artificial.539,0.557
artificial.97,0.552
artificial.611,0.549
artificial.189,0.548
artificial.635,0.544
