,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.026,0.05,0.063,0.082,0.102,0.106,0.11,0.115,0.122,0.124,0.129,0.127,0.126,0.124,0.129,0.134,0.136,0.138,0.139,0.142,0.142,0.143
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.031,0.052,0.081,0.1,0.129,0.143,0.162,0.172,0.182,0.186,0.194,0.198,0.206,0.216,0.219,0.228,0.232,0.239,0.248,0.252,0.258
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.029,0.064,0.116,0.165,0.201,0.228,0.247,0.267,0.271,0.284,0.288,0.294,0.299,0.303,0.31,0.314,0.317,0.318,0.322,0.327,0.325
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.016,0.04,0.055,0.08,0.105,0.136,0.16,0.186,0.205,0.226,0.243,0.258,0.269,0.282,0.294,0.3,0.308,0.313,0.314,0.322,0.325,0.332
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.013,0.025,0.062,0.098,0.147,0.193,0.227,0.253,0.278,0.293,0.303,0.306,0.314,0.32,0.329,0.337,0.346,0.355,0.363,0.372,0.378,0.39
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.041,0.085,0.129,0.171,0.204,0.229,0.251,0.284,0.318,0.349,0.37,0.384,0.4,0.412,0.43,0.442,0.449,0.461,0.465,0.471,0.475,0.482
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.03,0.051,0.082,0.122,0.146,0.172,0.195,0.21,0.226,0.243,0.253,0.261,0.267,0.277,0.286,0.293,0.299,0.313,0.319
artificial.8,0.0,0.0,0.0,0.0,0.0,0.001,0.019,0.078,0.178,0.29,0.4,0.478,0.55,0.592,0.636,0.687,0.724,0.742,0.766,0.777,0.79,0.804,0.809,0.821,0.83,0.832,0.838,0.838,0.846,0.845
artificial.9,0.0,0.0,0.0,0.049,0.079,0.09,0.141,0.184,0.23,0.282,0.318,0.358,0.371,0.377,0.385,0.383,0.378,0.375,0.367,0.364,0.357,0.351,0.341,0.34,0.33,0.327,0.32,0.313,0.31,0.304
artificial.10,0.0,0.0,0.0,0.005,0.009,0.011,0.014,0.016,0.017,0.02,0.023,0.025,0.029,0.03,0.03,0.031,0.034,0.033,0.033,0.038,0.041,0.042,0.041,0.044,0.052,0.052,0.055,0.058,0.057,0.059
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.008,0.009
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.031,0.068,0.096,0.125,0.141,0.162,0.18,0.206,0.231,0.248,0.264,0.272,0.282,0.292,0.312,0.323,0.335,0.343,0.352,0.358,0.363
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.014,0.041,0.068,0.098,0.138,0.168,0.198,0.221,0.238,0.259,0.279,0.295,0.304,0.321,0.335,0.343,0.359,0.364,0.369,0.377,0.389,0.399
artificial.14,0.0,0.0,0.0,0.0,0.0,0.002,0.024,0.122,0.229,0.276,0.293,0.301,0.317,0.322,0.328,0.338,0.343,0.347,0.358,0.365,0.366,0.371,0.376,0.378,0.377,0.378,0.381,0.383,0.382,0.387
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,0.03,0.069,0.132,0.216,0.305,0.409,0.466,0.521,0.561,0.598,0.631,0.655,0.682,0.7,0.725,0.736,0.747,0.754,0.767,0.776,0.778
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.017,0.032,0.065,0.107,0.132,0.162,0.19,0.219,0.232,0.253,0.27,0.292,0.301,0.309,0.322,0.33,0.337,0.346,0.349
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.006,0.022,0.04,0.073,0.096,0.118,0.143,0.168,0.185,0.208,0.226,0.25,0.263,0.281,0.297,0.311,0.322,0.33,0.341,0.346,0.355
artificial.19,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.006,0.015,0.035,0.064,0.107,0.13,0.164,0.204,0.232,0.247,0.277,0.292,0.312,0.331,0.342,0.356,0.366,0.38,0.395,0.405,0.41,0.411,0.421
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.035,0.113,0.19,0.268,0.345,0.407,0.452,0.499,0.548,0.585,0.608,0.632,0.651,0.667,0.68,0.696,0.715,0.727,0.734,0.742,0.748,0.754
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.015,0.027,0.045,0.063,0.071,0.08,0.094,0.109,0.122,0.134,0.152,0.165,0.183,0.2,0.215,0.224,0.234,0.238,0.241,0.246,0.253,0.256,0.259
