,Max Proba
CD4Teff_151Eu_p38_IFNa,0.996
MDSCs_156Gd_IkB_IL246,0.985
ncMCs_156Gd_IkB_GMCSF,0.98
NKT_167Er_ERK_IFNa,0.976
Granulocytes_155Gd_S6_IFNa,0.955
CD4negCD8negTcells_166Er_NFkB_unstim,0.95
ncMCs_156Gd_IkB_IL246,0.949
ncMCs_156Gd_IkB_IFNa,0.945
ncMCs_167Er_ERK_IL246,0.944
CD8Teff_166Er_NFkB_IFNa,0.943
MDSCs_166Er_NFkB_unstim,0.934
pDCs_156Gd_IkB_GMCSF,0.931
ncMCs_159Tb_MAPKAPK2_GMCSF,0.93
pDCs_159Tb_MAPKAPK2_IFNa,0.929
CD8Tem_159Tb_MAPKAPK2_IFNa,0.929
ncMCs_151Eu_p38_GMCSF,0.925
CD56hiCD16negNK_156Gd_IkB_IFNa,0.922
NKT_155Gd_S6_IFNa,0.919
CD56hiCD16negNK_149Sm_CREB_LPS,0.919
Granulocytes_167Er_ERK_unstim,0.918
Granulocytes_153Eu_STAT1_IFNa,0.916
NKT_159Tb_MAPKAPK2_IFNa,0.916
mDCs_156Gd_IkB_IL246,0.906
CD4Teff_166Er_NFkB_unstim,0.904
CD4Teff_166Er_NFkB_IL246,0.904
NKT_159Tb_MAPKAPK2_unstim,0.895
CD56hiCD16negNK_149Sm_CREB_IFNa,0.894
CD4negCD8negTcells_168Er_STAT6_unstim,0.894
Bcells_155Gd_S6_unstim,0.893
pDCs_153Eu_STAT1_IL246,0.891
CD8Tcm_154Sm_STAT3_IL246,0.88
CD56hiCD16negNK_156Gd_IkB_IL246,0.879
CD8Teff_159Tb_MAPKAPK2_IL246,0.879
ncMCs_155Gd_S6_unstim,0.879
ncMCs_166Er_NFkB_GMCSF,0.873
CD56hiCD16negNK_156Gd_IkB_LPS,0.872
MDSCs_155Gd_S6_IL246,0.87
NKT_149Sm_CREB_IFNa,0.868
CD8Tnaive_149Sm_CREB_unstim,0.866
NKT_155Gd_S6_IL246,0.864
MDSCs_167Er_ERK_IFNa,0.863
NKT_166Er_NFkB_IL246,0.861
Granulocytes_159Tb_MAPKAPK2_LPS,0.857
ncMCs_155Gd_S6_GMCSF,0.854
pDCs_151Eu_p38_GMCSF,0.852
CD56hiCD16negNK_159Tb_MAPKAPK2_IFNa,0.85
NKT_166Er_NFkB_IFNa,0.845
CD56hiCD16negNK_153Eu_STAT1_IL246,0.844
CD8Teff_167Er_ERK_IFNa,0.843
Granulocytes_149Sm_CREB_IL246,0.839
CD4Tnaive_153Eu_STAT1_IL246,0.836
pDCs_155Gd_S6_IFNa,0.836
CD4Teff_155Gd_S6_IFNa,0.83
MDSCs_156Gd_IkB_IFNa,0.829
mDCs_156Gd_IkB_GMCSF,0.828
Bcells_159Tb_MAPKAPK2_unstim,0.828
ncMCs_167Er_ERK_LPS,0.825
MDSCs_155Gd_S6_GMCSF,0.823
cMCs_149Sm_CREB_IFNa,0.819
pDCs_156Gd_IkB_IFNa,0.819
Bcells_155Gd_S6_IL246,0.815
MDSCs_156Gd_IkB_GMCSF,0.813
CD4Tcm_159Tb_MAPKAPK2_IL246,0.809
Bcells_149Sm_CREB_unstim,0.805
CD8Tnaive_159Tb_MAPKAPK2_IL246,0.799
Granulocytes_151Eu_p38_GMCSF,0.796
Bcells_155Gd_S6_LPS,0.794
pDCs_159Tb_MAPKAPK2_GMCSF,0.794
Tregs_155Gd_S6_IFNa,0.792
CD4Tem_167Er_ERK_IFNa,0.791
Bcells_167Er_ERK_IL246,0.791
CD8Tem_166Er_NFkB_IFNa,0.789
CD8Tcm_166Er_NFkB_unstim,0.78
NKT_168Er_STAT6_IFNa,0.779
CD56loCD16posNK_166Er_NFkB_unstim,0.778
CD56loCD16posNK_166Er_NFkB_LPS,0.777
mDCs_151Eu_p38_IL246,0.775
CD4Tnaive_159Tb_MAPKAPK2_IL246,0.769
ncMCs_159Tb_MAPKAPK2_IL246,0.765
pDCs_155Gd_S6_IL246,0.764
CD4Teff_159Tb_MAPKAPK2_IFNa,0.759
CD8Teff_168Er_STAT6_IFNa,0.757
Granulocytes_168Er_STAT6_IL246,0.756
CD4negCD8negTcells_159Tb_MAPKAPK2_unstim,0.748
MDSCs_166Er_NFkB_GMCSF,0.746
MDSCs_166Er_NFkB_IL246,0.746
