,Fold selected features,Fold nb of features
Fold 0,"['ACE2', 'ACP5', 'ACTN4', 'ADAMTS15', 'ANGPTL2', 'ANGPTL3', 'BAIAP2', 'CCL20', 'CD164', 'CD177', 'CD276', 'CD63', 'CDHR1', 'CDHR2', 'CELA3A', 'CES2', 'CLUL1', 'CPA2', 'CRTAC1', 'CTRC', 'CTSL', 'DKKL1', 'DPT', 'ECE1', 'ENPP7', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FCRLB', 'FGF21', 'FOSB', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'HCLS1', 'HDGF', 'IGF2R', 'IGFBPL1', 'IL11', 'IL17A', 'IL1RAP', 'IL24', 'IL2RB', 'IL33', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAMA4', 'LGALS1', 'LRP11', 'LRPAP1', 'LY96', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLIN1', 'PM20D1', 'PON3', 'PRSS8', 'PSIP1', 'RBP5', 'S100A16', 'SCGN', 'SCP2', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF4', 'TNFSF12', 'TP53INP1', 'TPT1', 'TXLNA', 'ULBP2', 'WISP1', 'XPNPEP2']",107
Fold 1,"['CCL7', 'MZB1']",2
Fold 2,"['ANGPTL2', 'CRTAC1', 'FOSB', 'KIR2DL3', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TNFRSF8']",12
Fold 3,"['ADAM15', 'ADAMTS15', 'ADAMTS16', 'AGRN', 'AMY2A', 'AMY2B', 'ANXA3', 'AOC1', 'APEX1', 'ASAH2', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'CALB2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CCL23', 'CD300C', 'CD63', 'CDHR1', 'CDHR2', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CLEC10A', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL13', 'CXCL8', 'DDC', 'DKKL1', 'DPP6', 'DPT', 'DSG4', 'ERBB4', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GCG', 'GFRA2', 'GPC5', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGF2R', 'IL10', 'IL13', 'IL13RA1', 'IL16', 'IL18RAP', 'IL1R1', 'IL1RAP', 'IL2', 'IL22RA1', 'IL2RA', 'IL33', 'ISM1', 'ITGB6', 'KCNIP4', 'KLK1', 'KLK12', 'KLK14', 'LILRB1', 'LTA', 'LY96', 'MAPT', 'MDGA1', 'MILR1', 'MME', 'MMP13', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NPTN', 'NPY', 'NXPH1', 'OMG', 'PCSK9', 'PIGR', 'PM20D1', 'POLR2F', 'PPY', 'PRL', 'RANGAP1', 'RARRES1', 'RBP2', 'SELPLG', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNFSF12', 'TSHB', 'VWA1', 'WFIKKN1', 'XPNPEP2']",114
Fold 4,"['ACP6', 'ADAM15', 'ADAMTS13', 'B4GAT1', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'FABP4', 'FCGR2B', 'FGF21', 'HLA-DRA', 'IL22RA1', 'LILRA5', 'LYPD3', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'RANGAP1', 'SRP14', 'TCL1A', 'TFPI2', 'WIF1', 'XPNPEP2', 'XRCC4']",30
Fold 5,"['CCL7', 'LGALS9']",2
Fold 6,"['ADAMTS15', 'AMN', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL20', 'CD177', 'CDH17', 'CDHR1', 'CHIT1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'DKKL1', 'FASLG', 'FBP1', 'FCGR2A', 'FCRL5', 'FOSB', 'GFRA2', 'GFRA3', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL33', 'JUN', 'KCNIP4', 'KLB', 'KLK1', 'KLK12', 'LAMA4', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NPTXR', 'NPY', 'NTRK3', 'PAEP', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PSPN', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SLC16A1', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF8', 'TSLP', 'TXLNA', 'XPNPEP2']",78
Fold 7,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMBP', 'ANGPTL2', 'APBB1IP', 'APEX1', 'B4GAT1', 'BAIAP2', 'BSG', 'CASP1', 'CCL20', 'CD27', 'CD300LG', 'CD5', 'CDHR1', 'CEACAM3', 'CES2', 'CHL1', 'COLEC12', 'COPE', 'CPA2', 'CRTAC1', 'CRX', 'CSF2RA', 'CTSF', 'CXCL14', 'DKKL1', 'EIF4EBP1', 'ENPP7', 'FABP4', 'FABP5', 'FCAR', 'FCER2', 'FCN2', 'FCRL5', 'FLT1', 'FOSB', 'GFAP', 'GGT1', 'HDGF', 'HLA-DRA', 'ICAM4', 'IFNGR1', 'IGF2R', 'IGFBP2', 'IL11', 'IL13', 'IL22RA1', 'IL5', 'ITGAM', 'KIR2DL3', 'KLB', 'KLK12', 'KLRD1', 'LAMA4', 'LEP', 'LILRA5', 'LILRB1', 'LRP11', 'LRRC25', 'LTA4H', 'LY96', 'LYPD1', 'LYPD3', 'MARCO', 'MDGA1', 'MUC13', 'MZB1', 'NAMPT', 'NFATC3', 'NINJ1', 'NPY', 'NRP1', 'NTRK3', 'PCSK9', 'PDGFC', 'POLR2F', 'PPY', 'PSIP1', 'RANGAP1', 'RETN', 'S100A11', 'SELPLG', 'SERPINA11', 'SIGLEC9', 'SMOC2', 'SSB', 'SSC5D', 'TFRC', 'THPO', 'TIGAR', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'ULBP2', 'VEGFD', 'XPNPEP2']",99
Fold 8,"['ACAN', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'AMY2A', 'AMY2B', 'ATP6V1D', 'C4BPB', 'CALB2', 'CCL15', 'CCL19', 'CD300LG', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CLEC4G', 'CLUL1', 'COLEC12', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL8', 'DKK4', 'DPT', 'DSG4', 'ERBB3', 'ERBB4', 'FCGR2B', 'FCRLB', 'FGF21', 'FOSB', 'GAL', 'GFOD2', 'GFRA2', 'GPA33', 'HBQ1', 'HLA-DRA', 'HMBS', 'IGF2R', 'IL11', 'IL13', 'IL2RB', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRB1', 'MAGED1', 'MDGA1', 'MICB_MICA', 'MILR1', 'MMP1', 'MUC13', 'MZB1', 'NINJ1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PON3', 'PRTG', 'RANGAP1', 'RASSF2', 'RBP2', 'SERPINB8', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TSHB', 'WFIKKN1', 'XPNPEP2']",86
Fold 9,"['CCL20', 'FOSB', 'GDF15', 'LGALS1', 'LILRB1', 'MZB1', 'PON3']",7
