,Mann-Whitney U-test,p-value
MZB1,75.0,4.195424715197753e-09
CCL7,86.0,9.671794491894012e-09
LGALS9,106.0,4.205416973618048e-08
PLAUR,115.0,7.982324026394809e-08
TNFRSF10A,121.0,1.2150830601105217e-07
LGALS1,125.0,1.6028524050508692e-07
GPKOW,126.0,1.7170979282836832e-07
POLR2F,132.0,2.586865751417008e-07
TNFRSF8,133.0,2.7682079930415307e-07
CD74,136.0,3.3889475530212535e-07
CASC4,136.0,3.3889475530212535e-07
CTSS,139.0,4.1430353755680766e-07
JUN,139.0,4.1430353755680766e-07
VWA1,140.0,4.4286076735165485e-07
CSTB,140.0,4.4286076735165485e-07
TFPI2,148.0,7.504179676890382e-07
GRN,148.0,7.505999756839502e-07
TIMP1,151.5,9.422955626424394e-07
GDF15,152.0,9.735287078284528e-07
CXCL13,154.0,1.107672915287933e-06
MAD1L1,155.0,1.1812481065904699e-06
IL2RA,158.0,1.4309440866572486e-06
HAVCR2,158.0,1.4312741375863878e-06
IL1RN,158.5,1.4772721764584611e-06
IL6,159.0,1.5253906104748897e-06
EZR,159.0,1.5253906104748897e-06
TNFRSF1B,159.0,1.5253906104748897e-06
NOMO1,161.0,1.7317856633482363e-06
KRT19,161.0,1.7317856633482363e-06
BST2,162.0,1.8443819175020746e-06
TNFRSF11A,162.0,1.8447987159313407e-06
CKAP4,163.0,1.9648801157372147e-06
PON3,912.0,1.9648801157372147e-06
DSG4,909.0,2.371869063250559e-06
PXN,166.0,2.371869063250559e-06
CTSL,166.0,2.371869063250559e-06
MSR1,167.0,2.5246825538686e-06
HGF,167.0,2.5246825538686e-06
SIGLEC10,168.0,2.686333909026916e-06
TNFRSF13B,168.0,2.6869224042431654e-06
DLL1,168.0,2.6869224042431654e-06
TINAGL1,169.0,2.8591422195247024e-06
CSF1,169.0,2.8591422195247024e-06
TMSB10,172.0,3.4416880460355445e-06
LAMP3,173.0,3.6600026842731064e-06
SERPINB8,174.0,3.891559273248981e-06
TNFRSF10B,174.0,3.891559273248981e-06
EGLN1,174.0,3.891559273248981e-06
SIGLEC1,176.0,4.397493674743703e-06
KRT18,176.0,4.397493674743703e-06
CASP1,177.0,4.673525050299665e-06
CD300C,178.0,4.966109809808822e-06
MDK,179.0,5.27619047855462e-06
ANGPTL2,179.0,5.27619047855462e-06
CXCL8,179.0,5.27619047855462e-06
CRTAC1,895.0,5.603608145699755e-06
CD300E,180.0,5.604760113040523e-06
TNFRSF1A,180.0,5.604760113040523e-06
SDC1,180.0,5.604760113040523e-06
FURIN,182.0,6.3216064025018525e-06
SSB,182.0,6.3216064025018525e-06
CDH2,182.0,6.3216064025018525e-06
CDCP1,182.0,6.3216064025018525e-06
DPY30,182.0,6.3216064025018525e-06
GZMA,184.0,7.125702465430671e-06
S100A11,184.0,7.125702465430671e-06
PTS,185.0,7.563564410882463e-06
CAPG,185.0,7.563564410882463e-06
ELOA,186.0,8.027084307271902e-06
CCL20,187.0,8.517686291312818e-06
ULBP2,188.0,9.035090355527631e-06
IL12RB1,189.0,9.58620760063433e-06
GNLY,189.0,9.58620760063433e-06
TNFRSF6B,190.0,1.0167360627723645e-05
DDAH1,190.0,1.0167360627723645e-05
CXCL10,190.0,1.0167360627723645e-05
WARS,190.0,1.0167360627723645e-05
LYAR,192.0,1.1432170551736569e-05
NADK,193.0,1.2119586141348762e-05
CNTN1,882.0,1.2119586141348762e-05
FOSB,193.0,1.2119586141348762e-05
LAG3,193.0,1.2119586141348762e-05
CTSD,194.0,1.2846341902676154e-05
CTSH,194.0,1.2846341902676154e-05
FABP4,195.0,1.3614564946945965e-05
TIGAR,195.0,1.3614564946945965e-05
PQBP1,196.0,1.4423774380768154e-05
LILRA5,197.0,1.528446419381942e-05
VSIG4,197.0,1.528446419381942e-05
ING1,197.0,1.528446419381942e-05
IL18R1,198.0,1.6190952733451386e-05
IFNL1,198.0,1.6190952733451386e-05
GBP2,199.0,1.714854389497456e-05
GFRA1,199.0,1.714854389497456e-05
WISP1,199.0,1.714854389497456e-05
FCRLB,199.0,1.714854389497456e-05
SFRP1,200.0,1.815995491427809e-05
APEX1,200.0,1.815995491427809e-05
KLRD1,200.0,1.815995491427809e-05
RCOR1,200.0,1.815995491427809e-05
BTN3A2,202.0,2.0355785693821853e-05
AGRN,203.0,2.154633882858131e-05
CNTN5,871.0,2.28029916156799e-05
NECTIN2,204.0,2.28029916156799e-05
SRP14,205.0,2.4129199347928534e-05
CRIM1,205.0,2.4129199347928534e-05
ST6GAL1,206.0,2.55285854406532e-05
APBB1IP,206.0,2.55285854406532e-05
TNC,207.0,2.700494891588896e-05
XRCC4,207.0,2.700494891588896e-05
CANT1,207.0,2.700494891588896e-05
SIGLEC7,209.0,3.0199450634460533e-05
LSP1,209.0,3.020472912410571e-05
CD1C,864.0,3.376274767130308e-05
ARID4B,211.0,3.376274767130308e-05
CD48,211.0,3.376274767130308e-05
ICAM1,212.0,3.568769167744192e-05
GZMH,212.0,3.568769167744192e-05
NAMPT,212.0,3.568769167744192e-05
NBN,212.0,3.568769167744192e-05
CXCL11,212.0,3.568769167744192e-05
HDGF,213.0,3.7716552638750255e-05
FCAR,214.0,3.985459453530504e-05
ANXA5,214.0,3.985459453530504e-05
CHI3L1,214.0,3.985459453530504e-05
TNF,215.0,4.210732834892293e-05
PRTN3,215.0,4.210732834892293e-05
CCL3,216.0,4.448052258806176e-05
FUS,216.0,4.448052258806176e-05
DDX58,218.0,4.961271992588939e-05
LTBP3,218.0,4.961271992588939e-05
LILRB4,218.0,4.961271992588939e-05
FBP1,218.0,4.961271992588939e-05
ADGRG2,857.0,4.961271992588939e-05
HPGDS,855.0,5.530291028471808e-05
TREM2,220.0,5.530291028471808e-05
CALB2,220.0,5.530291028471808e-05
ZBTB17,221.0,5.8374735052673236e-05
SPINT1,221.0,5.8374735052673236e-05
MSLN,221.0,5.8374735052673236e-05
NRP2,222.0,6.160767986537836e-05
CD79B,222.0,6.160767986537836e-05
LTBR,222.0,6.160767986537836e-05
FSTL3,222.0,6.160767986537836e-05
PSIP1,222.0,6.160767986537836e-05
MATN2,223.0,6.500964521230305e-05
RELT,223.5,6.676587020991864e-05
THBS2,224.0,6.858888851342137e-05
DEFA1_DEFA1B,225.0,7.234254321520388e-05
CEP164,225.0,7.235403863772414e-05
GZMB,225.0,7.235403863772414e-05
LTBP2,225.0,7.235403863772414e-05
LAIR1,226.0,7.631411093170844e-05
SCARB2,227.0,8.047852277190611e-05
IL5RA,228.0,8.484387305047705e-05
VIM,228.0,8.485710965571985e-05
LRRC25,229.0,8.944627287328516e-05
FGF21,229.0,8.946014184504408e-05
LTA4H,229.0,8.946014184504408e-05
LRIG1,229.0,8.946014184504408e-05
IL18,229.5,9.183496201257467e-05
SETMAR,231.0,9.938290085899673e-05
NID1,231.0,9.938290085899673e-05
NPM1,232.0,0.00010472549985611583
SCLY,232.0,0.00010472549985611583
NDRG1,232.5,0.00010748104479130345
LPCAT2,233.0,0.00011033832589777108
TNFRSF13C,234.0,0.000116234093107289
CD27,235.0,0.0001224260626769902
IGSF3,236.0,0.00012892806380210132
PLXNB2,237.0,0.0001357545152896587
CD38,237.0,0.0001357545152896587
ITIH3,237.0,0.0001357545152896587
PLAU,237.0,0.0001357545152896587
PARP1,237.0,0.0001357545152896587
CA5A,237.0,0.0001357545152896587
CCL15,237.5,0.00013927360415979764
APOM,837.0,0.0001429204478583337
CXCL16,238.0,0.0001429204478583337
PCSK9,238.0,0.0001429204478583337
LGALS3,238.0,0.0001429204478583337
WFDC2,239.0,0.0001504415271452406
TNFRSF11B,240.0,0.00015833407743587045
SLAMF7,240.0,0.00015833407743587045
FOLR2,240.0,0.00015833407743587045
IL16,241.0,0.00016661510613338038
STC1,241.0,0.00016661510613338038
PIGR,241.0,0.00016661510613338038
CCL14,241.0,0.00016661510613338038
EFNA1,241.0,0.00016661510613338038
MMP8,242.0,0.00017530232898355447
TNFSF13,242.0,0.00017530232898355447
LY96,242.0,0.00017530232898355447
BRK1,242.0,0.00017530232898355447
AREG,242.0,0.00017530232898355447
CEACAM5,242.5,0.00017977839473043197
IL33,243.0,0.00018438801910958724
RETN,243.0,0.00018441419607177255
KIT,831.0,0.00019396991860839898
VWF,244.0,0.00019396991860839898
IL4R,245.0,0.00020396091222262908
ILKAP,245.0,0.00020398949651899174
TNFSF11,830.0,0.00020398949651899174
CST7,245.0,0.00020398949651899174
SAMD9L,245.5,0.00020915048706625114
TNFRSF14,245.5,0.00020915048706625114
TNFSF14,246.0,0.00021449374685575365
CXCL9,247.0,0.0002255043330466251
LAP3,247.0,0.0002255043330466251
LBR,247.0,0.0002255043330466251
MERTK,248.0,0.00023701122073140649
CD59,248.0,0.00023704379499838013
SIGLEC9,248.0,0.00023704379499838013
RARRES2,248.0,0.00023704379499838013
RNASE3,249.0,0.0002491355800700279
CLEC6A,249.0,0.0002491355800700279
CLSPN,249.0,0.0002491355800700279
MPO,250.0,0.00026180407493275534
SIRPB1,250.0,0.00026180407493275534
BSG,251.0,0.0002750746383325226
LAIR2,251.0,0.0002750746383325226
PDGFC,252.0,0.0002889736347713276
CA6,823.0,0.0002889736347713276
CLEC11A,252.0,0.0002889736347713276
IGFBPL1,253.0,0.0003035284691229728
C4BPB,253.0,0.0003035284691229728
DCTPP1,253.0,0.0003035284691229728
FGR,253.0,0.0003035284691229728
CCL19,254.0,0.0003187676221990228
LIF,254.0,0.0003187676221990228
HSPA1A,254.0,0.0003187676221990228
TRIAP1,254.0,0.0003187676221990228
MUC13,256.0,0.00035137260637223576
SFTPA1,256.0,0.000351418407630008
CTSC,256.0,0.000351418407630008
LRPAP1,256.0,0.000351418407630008
DKK1,257.0,0.00036889271500093433
C2,257.0,0.00036889271500093433
IL18BP,258.0,0.0003871767691556651
CTSV,817.0,0.0003871767691556651
IGSF8,259.0,0.0004063049984099546
SNCG,259.0,0.0004063049984099546
FMNL1,259.0,0.0004063049984099546
VEGFA,260.0,0.00042631314121583687
ASGR1,261.0,0.00044723828879727264
