,Fold selected features,Fold nb of features
Fold 0,"['unstim_Th17_150Nd_STAT5', 'unstim_Th1naive_151Eu_p38', 'unstim_Th1naive_153Eu_STAT1', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_ncMC_Frequency', 'unstim_Th2_Frequency', 'IL246_CD4T_150Nd_STAT5', 'IL246_CD8Tcm_150Nd_STAT5', 'IL246_DC_150Nd_STAT5', 'IL246_DC_155Gd_S6', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Treg_154Sm_STAT3', 'TNF_Granulocytes_149Sm_CREB', 'TNF_intMC_155Gd_S6', 'TNF_ncMC_155Gd_S6', 'TNF_ncMC_167Er_ERK', 'TNF_pDC_149Sm_CREB', 'STAT6', 'IL31', 'ATF6', 'SAMHD1', 'ARL11', 'RFXAP', 'TWF1', 'LDLR', 'TNFAIP3', 'CDH17', 'RNASET2', 'HSPH1', 'WWOX', 'MTHFD2', 'PSMB4', 'NFKBIE', 'OGG1', 'CNTN3', 'BTN3A2', 'CFI', 'OASL', 'IL1R1', 'IL17RA', 'IL1B', 'CCL3', 'IFNA2', 'CXCL10', 'CSF2', 'PPIB', 'MSN', 'IL17RC', 'IL18', 'IFNL3', 'NGF', 'ADA2', 'APOC2', 'CFTR', 'B3GNT2', 'ALK', 'TNFSF10', 'CLEC4A', 'XRCC4', 'IRF6']",63
Fold 1,"['unstim_Th1naive_168Er_pSTAT6', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_Tregnaive_Frequency', 'TNF_cMC_167Er_ERK', 'TNF_MDSC_167Er_ERK', 'TNF_ncMC_167Er_ERK', 'MYC', 'STAT6', 'TLR4', 'SAMHD1', 'BLK', 'ARL11', 'LDLR', 'HSPH1', 'WWOX', 'ALDOB', 'DDIT3', 'BTN3A2', 'AOC3', 'CTNNA3', 'IL1B', 'CCL3', 'CD4', 'FCGR1A', 'IL24', 'IL20', 'THSD1', 'IFNL3', 'LGALS1', 'ALK', 'CDKN2B']",32
Fold 2,"['unstim_DC_166Er_NFkB', 'unstim_Granulocytes_166Er_NFkB', 'unstim_Th1mem_151Eu_p38', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'TNF_CD56dimCD16posNK_159Tb_MAPKAPK2', 'TNF_cMC_167Er_ERK', 'TNF_DC_155Gd_S6', 'TNF_gdT_149Sm_CREB', 'TNF_intMC_164Dy_IkB', 'TNF_MDSC_167Er_ERK', 'TNF_pDC_164Dy_IkB', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'STAT6', 'IL31', 'ALDH3A1', 'ARL11', 'TWF1', 'UNC93B1', 'TNFAIP3', 'OTC', 'RNASET2', 'MX1', 'WWOX', 'DDIT4', 'ALDOB', 'MTHFD2', 'PSMB4', 'HRAS', 'OGG1', 'ITGAV|ITGB3', 'CNTN3', 'BTG1', 'CREM', 'STAC', 'CTNNA3', 'OASL', 'PROS1', 'IL19', 'IL1B', 'CCL3', 'IGHM', 'TGFBI', 'FCGR1A', 'IFNA2', 'ADIPOQ', 'SERPINA1', 'KDR', 'MAPK8', 'TF', 'AMN', 'CSF2', 'CD55', 'PDE4D', 'HPSE', 'IL18', 'IFNL3', 'ASAH1', 'CELF2', 'CD3G', 'TBXAS1', 'ALK', 'APOH', 'ETNK1', 'TNFSF10', 'FTCD', 'HERPUD2', 'TOPBP1', 'IRF6']",75
Fold 3,"['unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'WWOX', 'IL1B', 'PPIB']",5
Fold 4,"['unstim_Th1naive_149Sm_CREB', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_CD4T_153Eu_STAT1', 'TNF_Th1_164Dy_IkB', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'CLEC12A', 'ARL11', 'LDLR', 'HSPH1', 'WWOX', 'PSMB4', 'ALDH2', 'OGG1', 'ITGAV|ITGB3', 'OASL', 'PROS1', 'IL1B', 'CCL3', 'CXCL6', 'IL18', 'ASAH1', 'CD3G', 'TNFSF10']",24
Fold 5,"['unstim_Th1naive_164Dy_IkB', 'unstim_CD4Trm_Frequency', 'unstim_pDC_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Treg_154Sm_STAT3', 'TNF_CXCR4neutro_155Gd_S6', 'TNF_DC_155Gd_S6', 'TNF_Granulocytes_155Gd_S6', 'TNF_MDSC_167Er_ERK', 'STAT6', 'CSF2RA', 'MGA', 'TAPBP', 'LDLR', 'TNFAIP3', 'HSPH1', 'WWOX', 'ALDOB', 'OGG1', 'ITGAV|ITGB3', 'CNTN3', 'CTLA4', 'IL1B', 'IGHM', 'RET', 'CCL19', 'IL18', 'CD2', 'CD3G', 'ALK', 'IRF6']",31
Fold 6,"['unstim_CD8Trm_166Er_NFkB', 'unstim_MDSC_159Tb_MAPKAPK2', 'unstim_Th1_150Nd_STAT5', 'unstim_Th1mem_150Nd_STAT5', 'unstim_Th1mem_151Eu_p38', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_167Er_ERK', 'unstim_Th2_150Nd_STAT5', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tnaive_Frequency', 'unstim_NKT_Frequency', 'unstim_pDC_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Treg_154Sm_STAT3', 'IL246_Tregmem_154Sm_STAT3', 'TNF_CXCR4neutro_155Gd_S6', 'TNF_gdT_149Sm_CREB', 'TNF_ncMC_167Er_ERK', 'TNF_Th1mem_167Er_ERK', 'LPS_Baso_151Eu_p38', 'IL31', 'SAMHD1', 'TAPBP', 'ARL11', 'RFXAP', 'TWF1', 'TNFAIP3', 'OTC', 'RNASET2', 'TLR3', 'HSPH1', 'WWOX', 'ALDOB', 'MTHFD2', 'PSMB4', 'HRAS', 'BLNK', 'ACP3', 'FGL2', 'OGG1', 'ITGAV|ITGB3', 'SGK1', 'KDM1A', 'CTNNA3', 'OASL', 'CD36', 'IL1B', 'CCL3', 'IGHM', 'ACP5', 'FCGR1A', 'SERPINA1', 'SELP', 'TF', 'PPIB', 'MSN', 'TNFAIP6', 'IL18', 'IFNL3', 'ASAH1', 'NECTIN2', 'ARHGDIA', 'ALK', 'TNFSF10', 'CLEC4A', 'IL32', 'IRF6']",69
Fold 7,"['unstim_Th1naive_167Er_ERK', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Granulocytes_154Sm_STAT3', 'STAT6', 'TLR4', 'ARL11', 'LDLR', 'GTF2I', 'HSPH1', 'WWOX', 'OGG1', 'ITGAV|ITGB3', 'BTG1', 'CTNNA3', 'OASL', 'IL1R1', 'IL1B', 'CCL3', 'CXCL10', 'CSF2', 'IL18', 'B3GNT2']",23
Fold 8,"['unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tem_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_pDC_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'IL246_DC_155Gd_S6', 'IL246_Granulocytes_150Nd_STAT5', 'TNF_Granulocytes_149Sm_CREB', 'TNF_intMC_149Sm_CREB', 'TNF_MDSC_167Er_ERK', 'TNF_Th1_149Sm_CREB', 'LPS_Baso_151Eu_p38', 'STAT6', 'NUCB1', 'IL31', 'ARL11', 'LDLR', 'RBL2', 'CDH17', 'RNASET2', 'WWOX', 'PSMB4', 'OGG1', 'MCAM', 'CNTN3', 'BTN3A2', 'OASL', 'PROS1', 'IL17RA', 'IL1B', 'CCL3', 'F7', 'CXCL6', 'MAPK8', 'ICAM1', 'CSF2', 'TNFAIP6', 'CD83', 'IL18', 'IFNL3', 'ASAH1', 'CD2', 'CD3G', 'ALK', 'TNFSF10', 'IRF6']",52
Fold 9,"['unstim_Th1naive_153Eu_STAT1', 'unstim_Th1naive_164Dy_IkB', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'TNF_cMC_167Er_ERK', 'TNF_gdT_149Sm_CREB', 'LPS_Baso_159Tb_MAPKAPK2', 'LPS_DC_155Gd_S6', 'IL31', 'SAMHD1', 'BLK', 'ARL11', 'RFXAP', 'TWF1', 'LDLR', 'TNFAIP3', 'HSPH1', 'WWOX', 'MTHFD2', 'HRAS', 'OGG1', 'BTN3A2', 'C1QA|C1QB|C1QC', 'IL1R1', 'IL1B', 'CCL3', 'IFNA2', 'MAPK8', 'AMN', 'PPIB', 'CD55', 'IFNL3', 'CELF2', 'B3GNT2', 'LGALS1', 'ALK', 'APOH', 'CD44', 'HERPUD2', 'CDKN2B']",43
