,Fold selected features,Fold nb of features
Fold 0,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'Antithrombin.III', 'IL.1.R4', 'SLPI', 'VEGF121', 'PLXB2', 'X331.2264_8.1', 'X443.208_8.4']",12
Fold 1,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'X331.2264_8.4', 'X443.208_8.4']",8
Fold 2,"['CD69posCD56loCD16negNK_MAPKAPK2_unstim', 'Granulocytes_STAT1_IFNa', 'Bcells', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X331.2264_8.4', 'X505.244_8.1']",11
Fold 3,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'PLXB2', 'X443.208_8.4']",7
Fold 4,"['Granulocytes_STAT1_IFNa', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'PLXB2', 'X331.2264_8.1', 'X443.208_8.4']",8
Fold 5,"['Granulocytes_STAT1_IFNa', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLPI', 'MMP.12', 'PLXB2', 'X193.0618_5.3', 'X331.2264_8.1', 'X443.208_8.4']",11
Fold 6,"['Granulocytes_STAT1_IFNa', 'mDCs', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'X443.208_8.4']",8
Fold 7,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'X443.208_8.4']",6
Fold 8,"['Granulocytes_S6_unstim', 'Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X331.2264_8.4', 'X505.244_8.1']",10
Fold 9,"['CD69posCD56loCD16negNK_MAPKAPK2_unstim', 'Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X193.0618_5.3', 'X331.2264_8.1', 'X349.2371_7.5', 'X443.208_8.4']",13
Fold 10,"['Granulocytes_CREB_GMCSF', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLPI', 'MMP.12', 'PLXB2', 'X349.2371_7.5', 'X443.208_8.4', 'X505.244_8.1']",12
Fold 11,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'X443.208_8.4']",6
Fold 12,"['Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'SLPI', 'MMP.12', 'X505.244_8.1']",7
Fold 13,"['Granulocytes_STAT1_IFNa', 'Bcells', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'IL.1.R4', 'MMP.12', 'X331.2264_8.4', 'X443.208_8.4']",9
Fold 14,"['CCR2negncMCs_MAPKAPK2_GMCSF', 'Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X443.208_8.4']",10
Fold 15,"['Granulocytes_STAT1_IFNa', 'Granulocytes', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'OX2G', 'X349.2371_7.5', 'X443.208_8.4']",8
Fold 16,"['TCRgdposT_STAT6_unstim', 'CD62LposCD4Tnaive_STAT5_unstim', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X331.2264_8.1', 'X443.208_8.4']",11
Fold 17,"['Granulocytes_CREB_GMCSF', 'Bcells', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'PLXB2', 'X349.2371_7.5', 'X443.208_8.4']",11
Fold 18,"['Granulocytes', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLPI', 'VEGF121', 'X443.208_8.4']",7
Fold 19,"['TCRgdposT_NFkB_unstim', 'Granulocytes_STAT1_IFNa', 'Granulocytes', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'X331.2264_8.4', 'X443.208_8.4']",9
Fold 20,"['Granulocytes_CREB_GMCSF', 'Granulocytes_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'X443.208_8.4']",9
Fold 21,"['Granulocytes', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLIK5', 'X443.208_8.4']",6
Fold 22,"['Granulocytes_CREB_GMCSF', 'NKT', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLPI', 'X443.208_8.4']",9
Fold 23,"['Granulocytes_CREB_GMCSF', 'Granulocytes_STAT1_IFNa', 'mDCs', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'MMP.12', 'X331.2264_8.1', 'X349.2371_7.5', 'X443.208_8.4']",12
