,Fold selected features,Fold nb of features
Fold 0,"['Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'PAI.1', 'Antithrombin.III', 'sTie.2', 'IL.1.R4', 'SLPI', 'VEGF121', 'Angiogenin', 'GPNMB', 'BID', 'S100A12', 'PLXB2', 'X177.0556_5.4', 'X193.0618_5.3', 'X307.1296_7.9', 'X315.1951_9.7', 'X331.2264_8.1', 'X349.2371_7.5', 'X367.1495_0.8', 'X371.1895_10.6', 'X381.1014_2', 'X397.1686_9.8', 'X441.264_9.5', 'X443.208_8.4', 'X461.2387_8.7']",28
Fold 1,"['NKT_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'PAI.1', 'sTie.2', 'discoidin.domain.receptor.1', 'uPA', 'IL.1.R4', 'MIC.1', 'SLPI', 'MMP.12', 'Glypican.3', 'VEGF121', 'Angiogenin', 'PLXB2', 'X148.0605_0.5', 'X239.0492_5.9', 'X318.2273_8.9', 'X331.2264_8.4', 'X363.2163_7.1', 'X411.1844_8.7', 'X441.264_9.5', 'X443.208_8.4', 'X505.244_8.1']",27
Fold 2,"['CD69negCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'PTN', 'RET', 'sTie.2', 'discoidin.domain.receptor.1', 'IL.1.R4', 'MIC.1', 'SLPI', 'MMP.12', 'Glypican.3', 'VEGF121', 'GDF2', 'annexin.I', 'Notch.1', 'IL.1Ra', 'BID', 'PLXB2', 'X193.0618_5.3', 'X299.2368_9.5', 'X307.1296_7.9', 'X315.1951_9.7', 'X331.2264_8.1', 'X331.2264_8.4', 'X335.2226_9.3', 'X349.2371_7.5', 'X361.2017_7.1', 'X363.2163_7.1', 'X443.208_8.4', 'X505.244_8.1']",34
Fold 3,"['Bcells_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CD69posCD4Tmem', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'sTie.2', 'IL.1.R4', 'SLPI', 'MMP.12', 'VEGF121', 'PLXB2', 'X193.0618_5.3', 'X331.2264_8.1', 'X349.2371_7.5', 'X443.208_8.4', 'X461.2387_8.7']",18
Fold 4,"['CCR2posintMCs_CREB_unstim', 'NK_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CD56hiCD16negNK_MAPKAPK2_IL246', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'Antithrombin.III', 'sTie.2', 'IL.1.R4', 'SLPI', 'MMP.12', 'VEGF121', 'GRN', 'MP2K4', 'PLXB2', 'X315.1951_9.7', 'X331.2264_8.1', 'X349.2371_7.5', 'X441.264_9.5', 'X443.208_8.4']",23
Fold 5,"['CD69negCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'uPA', 'IL.1.R4', 'SLPI', 'MMP.12', 'SLIK5', 'PLXB2', 'X193.0618_5.3', 'X266.1389_6.2', 'X307.1296_7.9', 'X331.2264_8.1', 'X331.2264_8.4', 'X335.2226_9.3', 'X349.2371_7.5', 'X361.2017_7.1', 'X367.1495_0.8', 'X443.208_8.4', 'X461.2387_8.7']",23
Fold 6,"['Granulocytes_ERK_GMCSF', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'mDCs', 'Granulocytes', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'IL.1.R4', 'SLPI', 'MMP.12', 'VEGF121', 'FABP', 'PLXB2', 'X193.0618_5.3', 'X331.2264_8.1', 'X349.2371_7.5', 'X441.264_9.5', 'X443.208_8.4']",18
Fold 7,"['CD69negCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'DSC2', 'Angiopoietin.2', 'Siglec.6', 'Activin.A', 'PAI.1', 'Antithrombin.III', 'discoidin.domain.receptor.1', 'sRAGE', 'uPA', 'IL.1.R4', 'SLPI', 'MMP.12', 'SLIK5', 'VEGF121', 'Angiogenin', 'HCG', 'PLXB2', 'X163.1077_16.5', 'X193.0618_5.3', 'X318.2273_8.9', 'X331.2264_8.1', 'X331.2264_8.4', 'X335.2226_9.3', 'X349.2371_7.5', 'X361.2017_7.1', 'X363.2163_7.1', 'X371.1895_10.6', 'X441.264_9.5', 'X443.208_8.4', 'X461.2387_8.7']",32
Fold 8,"['Granulocytes_S6_unstim', 'CD62LposCD4Tnaive_STAT5_unstim', 'Granulocytes_ERK_GMCSF', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'ISLR2', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'PTN', 'discoidin.domain.receptor.1', 'IL.1.R4', 'MIC.1', 'MMP.12', 'VEGF121', 'PLXB2', 'X193.0618_5.3', 'X299.2368_9.5', 'X315.1951_9.7', 'X315.2316_8.8', 'X318.2273_8.9', 'X331.2264_8.1', 'X331.2264_8.4', 'X331.2265_9', 'X333.2422_9', 'X335.2226_9.3', 'X349.2371_7.5', 'X363.2163_7.1', 'X411.1844_8.7', 'X441.1589_1.2', 'X443.208_8.4', 'X505.244_8.1']",33
Fold 9,"['CD69negCD56loCD16negNK_STAT1_IFNa', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'SPINT2', 'PAI.1', 'PTN', 'Antithrombin.III', 'sTie.2', 'IL.1.R4', 'SLPI', 'MMP.12', 'SLIK5', 'Gelsolin', 'VEGF121', 'HCG', 'DERM', 'FABP', 'PLXB2', 'X193.0618_5.3', 'X307.1296_7.9', 'X331.2264_8.1', 'X349.2371_7.5', 'X441.264_9.5', 'X443.208_8.4', 'X461.2387_8.7']",29
Fold 10,"['Bcells_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'discoidin.domain.receptor.1', 'IL.1.R4', 'MIC.1', 'SLPI', 'MMP.12', 'BID', 'PLXB2', 'X299.2368_9.5', 'X331.2264_8.1', 'X331.2264_8.4', 'X349.2371_7.5', 'X441.264_9.5', 'X443.208_8.4', 'X461.2387_8.7', 'X505.244_8.1']",21
Fold 11,"['Granulocytes_S6_unstim', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'Granulocytes', 'H2B2E', 'PRL', 'Angiopoietin.2', 'Cystatin.C', 'IGFBP.5', 'Siglec.6', 'Activin.A', 'PAI.1', 'sTie.2', 'discoidin.domain.receptor.1', 'Factor.B', 'uPA', 'IL.1.R4', 'SLPI', 'MMP.12', 'SLIK5', 'VEGF121', 'Angiogenin', 'HCG', 'MP2K4', 'ALCAM', 'BID', 'PLXB2', 'X193.0618_5.3', 'X331.2264_8.1', 'X349.2371_7.5', 'X443.208_8.4', 'X461.2387_8.7']",31
Fold 12,"['CD69posCD56loCD16negNK_MAPKAPK2_unstim', 'CD62LposCD4Tnaive_STAT5_unstim', 'NK_STAT1_IFNa', 'Granulocytes', 'Angiopoietin.2', 'Cystatin.C', 'Siglec.6', 'Activin.A', 'sTie.2', 'discoidin.domain.receptor.1', 'IL.1.R4', 'MIC.1', 'SLPI', 'MMP.12', 'VEGF121', 'PLXB2', 'X299.2368_9.5', 'X331.2264_8.4', 'X349.2371_7.5', 'X441.264_9.5', 'X505.244_8.1']",21
