,Max Proba
S100A16,0.268
NDRG1,0.256
MZB1,0.239
MDGA1,0.239
CCL20,0.23
XPNPEP2,0.211
JUN,0.21
BAIAP2,0.208
RANGAP1,0.176
LGALS1,0.168
CHIT1,0.163
MAGED1,0.156
CXCL8,0.147
CRTAC1,0.135
SRP14,0.123
CNTN5,0.121
CSTB,0.116
IL2RA,0.115
PSIP1,0.112
MUC13,0.111
NPTN,0.102
HDGF,0.101
IL16,0.101
TNFRSF8,0.097
IL17C,0.097
CD164,0.095
TNFRSF13B,0.094
FBP1,0.094
ADGRG2,0.092
LTBP3,0.089
VWF,0.087
CLUL1,0.083
GRN,0.082
GGT1,0.077
CES2,0.076
KLK12,0.076
PDGFC,0.076
DPT,0.075
CTSH,0.071
TCL1A,0.068
ISLR2,0.065
ATF2,0.063
CCL15,0.063
LY9,0.063
GFRA2,0.063
DSG4,0.061
LYPD1,0.06
FCAR,0.06
IGFBPL1,0.06
LY96,0.06
WIF1,0.058
FGF21,0.057
RASA1,0.056
SSB,0.055
CTRB1,0.054
CPA2,0.053
LRPAP1,0.052
CD5,0.051
LHB,0.05
BCL2L11,0.05
NPM1,0.048
LRRC25,0.045
PPY,0.044
PON3,0.044
CPE,0.043
PLA2G7,0.043
KIR2DL3,0.042
XRCC4,0.042
CDHR1,0.042
GFAP,0.042
ANGPTL2,0.041
SIGLEC10,0.041
LILRA5,0.041
CD63,0.04
IL5RA,0.04
CD79B,0.039
IL33,0.038
AFP,0.038
MAD1L1,0.038
NTF4,0.038
CXCL13,0.037
PSPN,0.037
GPA33,0.036
TSPAN1,0.036
FCRL5,0.035
HPGDS,0.035
HLA-DRA,0.035
SIGLEC9,0.035
CD38,0.035
CRH,0.035
TMSB10,0.034
LAMA4,0.034
LEP,0.034
IL24,0.034
VEGFA,0.034
LTO1,0.033
TNFRSF13C,0.033
CCL19,0.033
SIGLEC7,0.032
SIRPA,0.031
COL9A1,0.031
DDX58,0.03
THBS2,0.03
ICAM4,0.03
NPY,0.03
TFPI2,0.03
RCOR1,0.03
C19orf12,0.029
PILRB,0.029
LIF,0.029
AKR1C4,0.029
FCGR2B,0.028
KRT19,0.028
TPT1,0.028
RETN,0.028
STC1,0.028
WISP1,0.027
ATP6V1D,0.027
EZR,0.026
CLEC11A,0.026
EPCAM,0.025
SCARB1,0.025
HSP90B1,0.025
KLK1,0.025
MSLN,0.025
FCN2,0.025
POLR2F,0.024
TNC,0.024
PADI2,0.024
VWA1,0.024
PLAUR,0.024
SLAMF7,0.023
FOSB,0.023
KRT5,0.023
CXCL14,0.022
TNFSF12,0.022
APOM,0.022
NECTIN2,0.022
C4BPB,0.022
GFOD2,0.022
CHI3L1,0.022
GZMA,0.021
SERPINB8,0.021
PNLIPRP2,0.021
OMG,0.021
FCGR2A,0.021
VTCN1,0.021
PCOLCE,0.021
NOMO1,0.02
TCN2,0.02
PSMA1,0.02
BTN3A2,0.02
CALB2,0.02
LSP1,0.019
CPVL,0.019
IL13,0.019
DEFA1_DEFA1B,0.019
DKK4,0.019
LGALS9,0.019
NINJ1,0.019
SELE,0.018
ADCYAP1R1,0.018
TIMP1,0.018
GGH,0.018
SIGLEC5,0.018
ACE2,0.018
TNFRSF11B,0.018
PON2,0.018
ADGRG1,0.018
KCNIP4,0.017
CNTN4,0.017
ING1,0.017
FOLR3,0.017
RET,0.017
CTSL,0.017
CDH2,0.017
MSR1,0.017
SIRT5,0.016
DKKL1,0.016
ANGPTL4,0.016
PTH1R,0.016
IL10,0.016
IGF2R,0.016
BSG,0.016
KLRD1,0.016
ADA,0.015
GALNT2,0.015
ITIH3,0.015
SLIT2,0.015
COL4A1,0.015
CCL14,0.015
FCRLB,0.015
SMOC2,0.015
BST2,0.015
PRKRA,0.015
CAPG,0.015
EGLN1,0.015
GBP2,0.014
CD276,0.014
TXNDC15,0.014
GLT8D2,0.014
PPP3R1,0.014
NCAM2,0.014
JCHAIN,0.013
MARCO,0.013
IL12RB1,0.013
CD74,0.013
NMNAT1,0.013
IFNGR2,0.013
IGSF8,0.013
BCAN,0.013
SH2D1A,0.013
PTS,0.013
APBB1IP,0.013
GCG,0.013
TMPRSS5,0.013
PARP1,0.012
SDC1,0.012
SPP1,0.012
REN,0.012
APEX1,0.012
TIMP4,0.012
MMP8,0.012
TNFSF11,0.012
ZBTB17,0.012
FAP,0.012
CD1C,0.012
IL2,0.011
CRLF1,0.011
ST3GAL1,0.011
CTSD,0.011
CES3,0.011
LILRB1,0.011
CSF1,0.011
TLR3,0.011
FURIN,0.011
PRL,0.011
IL6R,0.011
ALPP,0.011
CNPY2,0.011
IL18RAP,0.011
CTSS,0.011
TNXB,0.011
WFIKKN1,0.011
NPTXR,0.01
FUCA1,0.01
LILRB5,0.01
S100A11,0.01
GNLY,0.01
GALNT3,0.01
ADAMTS13,0.01
RAB6B,0.01
CPM,0.01
TACSTD2,0.01
TPSAB1,0.01
COPE,0.01
CST7,0.01
PODXL,0.01
DPY30,0.01
ARNT,0.009
UXS1,0.009
IL17D,0.009
AMY2B,0.009
AMY2A,0.009
GPKOW,0.009
CD70,0.009
MILR1,0.009
PRDX1,0.009
PQBP1,0.009
MET,0.009
SCLY,0.009
IL2RB,0.008
CEACAM21,0.008
KRT18,0.008
PAG1,0.008
KLK14,0.008
MATN2,0.008
TNFRSF10A,0.008
TNFRSF11A,0.008
TIE1,0.008
FGF5,0.008
CLEC4C,0.008
CA6,0.008
IL5,0.008
CXADR,0.008
ARTN,0.008
FABP4,0.008
RRM2,0.008
ICAM1,0.008
FABP1,0.008
CDH5,0.008
CDH17,0.008
EPS8L2,0.008
IL15RA,0.007
CRHR1,0.007
IL6,0.007
WISP2,0.007
CRELD2,0.007
CD177,0.007
IL13RA1,0.007
NCAN,0.007
ERBB3,0.007
OXT,0.007
CCL25,0.007
NCR1,0.007
IL1RN,0.007
HBQ1,0.007
IFNL1,0.007
CCL7,0.007
OSMR,0.007
HSPB6,0.007
SHMT1,0.007
KLB,0.007
ASAH2,0.007
GBP4,0.007
RUVBL1,0.007
B4GAT1,0.007
BST1,0.007
CELA3A,0.007
SSC5D,0.007
LRIG1,0.007
GDF15,0.007
ANG,0.007
SCP2,0.007
CEACAM3,0.007
IGSF3,0.006
SMPD1,0.006
EREG,0.006
VAMP5,0.006
SOST,0.006
DLL1,0.006
NME3,0.006
AMN,0.006
MICB_MICA,0.006
PDGFRA,0.006
DPP6,0.006
RABEPK,0.006
IL1RAP,0.006
PAEP,0.006
APLP1,0.006
ITGA11,0.006
PROC,0.006
CA5A,0.006
AHSP,0.006
CHRDL1,0.006
PIGR,0.006
AMBP,0.006
KLK10,0.006
EBI3_IL27,0.005
IDI2,0.005
CTSZ,0.005
FCRL3,0.005
GHRL,0.005
GHRHR,0.005
ICAM2,0.005
CD48,0.005
ENPP2,0.005
AMBN,0.005
PBLD,0.005
PLXDC1,0.005
NCS1,0.005
PRSS8,0.005
ROBO2,0.005
SETMAR,0.005
SPARC,0.005
ARSA,0.005
TCL1B,0.005
LTA4H,0.005
TIGAR,0.005
LEPR,0.005
LAMP3,0.005
ANGPTL1,0.005
CD200R1,0.005
CREG1,0.005
CLEC5A,0.005
TRIM21,0.005
TNFSF13,0.005
ILKAP,0.005
ADAMTS16,0.005
TYRO3,0.005
AMIGO2,0.004
CAMKK1,0.004
CA3,0.004
EPHA10,0.004
DCTPP1,0.004
XG,0.004
SELPLG,0.004
ENPP5,0.004
CCL23,0.004
ACP6,0.004
SLC39A5,0.004
VSIG4,0.004
