cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
Granulocytes_CREB_unstim,282.7656840919689,-287.49093931721455,0.0013989310952392388,-2.304055595881615e-5,-0.002910928397017747,quadratic,acceleration/decrease
Granulocytes_STAT5_unstim,98.32303725607454,-96.58998852432943,0.07120517162944215,8.580629692390789e-6,6.181396153005802e-5,quadratic,deceleration/decrease
Granulocytes_p38_unstim,1384.480310534721,-1383.6660500811358,0.13324511355621252,2.4815895863247627e-7,3.38073135725891e-5,quadratic,acceleration/increase
Granulocytes_STAT1_unstim,551.6368232283843,-549.6805664987866,0.21312944123990907,7.667987678246715e-7,-4.40709413682756e-5,quadratic,deceleration/decrease
Granulocytes_STAT3_unstim,85.20213875955906,85.98297288082145,0.6474989938801128,3.375404325275664e-5,0.002996672571708255,linear,linear
Granulocytes_S6_unstim,25.520953725399547,-24.293234923332214,0.008138641707385073,-1.8587335931834918e-5,-0.003346893884489695,quadratic,acceleration/decrease
Granulocytes_IkB_unstim,233.8237076618132,-232.79738797913882,0.0057966284422417,-1.041940344871887e-5,-0.0018174085887716488,quadratic,acceleration/decrease
Granulocytes_MAPKAPK2_unstim,549.4703438423741,-550.1107560362461,0.0296315387804236,-5.9747703590985545e-6,-8.028308754997528e-4,quadratic,acceleration/decrease
Granulocytes_NFkB_unstim,311.1657438479722,-310.90986627045453,0.12327127351058191,-1.076222962922932e-5,-0.0014061558787181534,quadratic,acceleration/decrease
Granulocytes_ERK_unstim,933.8750459926442,-933.3944963632708,0.9233948684237007,1.2608264573342746e-6,1.28314878498176e-4,quadratic,acceleration/increase
Granulocytes_STAT6_unstim,731.7002180992396,-729.7768827606527,0.18615616397591758,5.569691008374184e-7,-1.4713256848364239e-5,quadratic,deceleration/decrease
Bcells_CREB_unstim,1262.1854121018505,-1264.3153964127494,0.04579034000332255,-6.928268071949367e-7,-8.231443356482736e-5,quadratic,acceleration/decrease
Bcells_STAT5_unstim,244.83977624214225,-242.92847837948128,0.19978350789227128,3.0359491928213447e-6,-4.248140228448308e-5,quadratic,deceleration/decrease
Bcells_p38_unstim,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
Bcells_STAT1_unstim,601.2392598805159,-599.3159245419287,0.18615616397591722,8.603847086463074e-7,-2.272848024726137e-5,quadratic,deceleration/decrease
Bcells_STAT3_unstim,146.86143235208388,-144.93809701349676,0.18615616397591742,3.912658648979097e-6,-1.0335932743099915e-4,quadratic,deceleration/decrease
Bcells_S6_unstim,44.73500013949233,-42.82297120486358,0.2817518552702905,-5.890867376710378e-6,-2.3203005210914218e-5,quadratic,deceleration/increase
Bcells_IkB_unstim,505.2120343668576,-509.3058419004608,0.012412555618913999,-1.0459541874712426e-5,-0.0012329756109655283,quadratic,acceleration/decrease
Bcells_MAPKAPK2_unstim,342.67501952582387,-342.2431251618129,0.32543574267203057,-9.189973341234749e-6,-0.0011071948358034136,quadratic,acceleration/decrease
Bcells_NFkB_unstim,357.35195985536393,-361.7617396168873,0.00638744567387051,-1.7551414059451035e-5,-0.002113928637429416,quadratic,acceleration/decrease
Bcells_ERK_unstim,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
Bcells_STAT6_unstim,253.05011119470015,-251.12677585611306,0.1861561639759176,2.74630079724803e-6,-7.254806227495343e-5,quadratic,deceleration/decrease
cMCs_CREB_unstim,271.09699602665904,-273.5260952531449,0.0014538268051507545,-1.951372337533174e-5,-0.0026845542822465603,quadratic,acceleration/decrease
cMCs_STAT5_unstim,84.69077280029802,-83.00549234705056,0.20218108289092518,9.749114781972947e-6,3.86515993990926e-4,quadratic,deceleration/decrease
cMCs_p38_unstim,839.9520202904987,-838.3562321808351,0.41015615372022796,8.910262032253964e-7,5.8392337826746184e-5,quadratic,deceleration/decrease
cMCs_STAT1_unstim,256.2823160810905,-254.35898074250343,0.1861561639759173,2.716870931337106e-6,-7.177062385779644e-5,quadratic,deceleration/decrease
cMCs_STAT3_unstim,86.11702363547019,82.95153040030289,0.009758865459920144,6.923543381538231e-5,0.005231142189314343,quadratic,deceleration/decrease
cMCs_S6_unstim,87.21096545142127,-85.21916589629792,0.9054567988509972,-1.5613328795539993e-6,-1.0175256565495004e-4,quadratic,deceleration/increase
cMCs_IkB_unstim,371.71300393846224,-369.9948089396816,0.04981854881622104,-3.544004400253587e-6,-7.006518750039362e-4,quadratic,acceleration/decrease
cMCs_MAPKAPK2_unstim,475.5050487107695,-473.6678279589286,0.3324850587476217,-1.9061241399357343e-6,-3.1085953602693364e-4,quadratic,acceleration/decrease
cMCs_NFkB_unstim,563.8884120714272,-565.8299806275945,0.03984787404669864,-6.942393707751278e-6,-8.421054785493025e-4,quadratic,acceleration/decrease
cMCs_ERK_unstim,1014.9697734233116,-1013.5485324790999,0.9898562565047581,5.94763642878472e-7,5.956642638345001e-5,quadratic,acceleration/increase
cMCs_STAT6_unstim,121.50721112852209,-119.58387578993499,0.18615616397591753,4.257708799282734e-6,-1.1247439589592942e-4,quadratic,deceleration/decrease
CCR2poscMCs_CREB_unstim,269.3840082677795,-271.79003804853124,0.0012849847990526967,-1.957503617565437e-5,-0.0027066349260724803,quadratic,acceleration/decrease
CCR2poscMCs_STAT5_unstim,84.06467972138798,-82.4076903030385,0.20229868594702413,1.0198656775905952e-5,4.302706295335736e-4,quadratic,deceleration/decrease
CCR2poscMCs_p38_unstim,828.253723817803,-826.6945093596175,0.41576467904884884,9.67404631438315e-7,6.5175841887083e-5,quadratic,deceleration/decrease
CCR2poscMCs_STAT1_unstim,253.81494797232034,-251.8916126337333,0.1861561639759178,2.7393081419283476e-6,-7.236333975872106e-5,quadratic,deceleration/decrease
