feature,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,Fold 11,Fold 12,Fold 13,Fold 14,Fold 15,Fold 16,Fold 17,Fold 18,Fold 19,Fold 20,Fold 21,Fold 22,Fold 23,Fold 24,Fold 25,Fold 26,Fold 27,Fold 28,Fold 29,Fold 30,Fold 31,Fold 32,Fold 33,Fold 34,Fold 35,Fold 36,Fold 37,Fold 38,Fold 39,Fold 40,Fold 41,Fold 42,Fold 43,Fold 44,Fold 45,Fold 46,Fold 47,Fold 48,Fold 49,Fold 50,Fold 51,Fold 52,Fold 53,Fold 54,Fold 55,Fold 56,Fold 57,Fold 58,Fold 59,Fold 60
Granulocytes_CREB_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Granulocytes_STAT5_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9812497981376422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Granulocytes_p38_unstim,0.0,1.262926668513674,1.3745902306693756,0.9915174707672835,0.3912224437745884,1.971108524251154,1.414646058314936,1.3684421834679996,1.2556190929328448,1.0548044074397962,1.6463957394844222,1.2796466744113895,1.1972372090758248,1.0093874199012478,1.3987260660179925,1.5908898690018523,1.8642317364223933,1.9853194145273436,1.4803507277759287,1.065030018609625,1.5060217280382444,1.5950337183010774,2.0744947042793154,1.7351227011212655,0.8175016212068575,1.442081741937282,1.2899379907743578,1.269342289114351,0.44767793054352156,1.269590393499977,1.7064581863898927,1.698340494474503,2.272332655503393,1.1869229559127352,2.144807236155196,0.4261671503872862,1.6172133673446232,1.468269383966262,0.3092367922188131,0.9679550831520565,0.8209665762044529,1.610051308077575,1.6333060240474648,2.024289654785966,1.2643509189593998,1.450460501435654,1.5529852732314446,1.422207642597894,1.6506290157250145,1.1039598657796665,1.4799617153547735,1.211759287437423,0.8967977831686818,1.575899920703892,1.5730909931045205,0.0,2.1357646988758976,1.2728178181357983,1.0826296167006646,1.6810967728509727,1.307942679268072
Granulocytes_STAT1_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Granulocytes_STAT3_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Granulocytes_S6_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Granulocytes_IkB_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Granulocytes_MAPKAPK2_unstim,-0.0,-0.3238765107556036,-0.010613176241886874,-0.623294364932497,-0.0,-0.06593191205520235,-0.9923152084114376,-0.5201595899608377,-0.0753750913592708,-0.760375540649426,-0.8889593450286639,-1.5392418552065632,-0.15165539832647226,-1.894953869021514,-0.6586817854297696,-0.0,-1.9700343954981119,-2.654688420965248,-0.0,-0.6314874831925608,-0.0,-1.159149200913823,-2.396853162037409,-2.2265831421743716,-0.0,-0.0,-1.3440465703802784,-0.0,-0.9437094952257505,-0.7797988289224265,-0.8508670516583847,-1.416459072065741,-0.8470040608074649,-0.769925421578772,-1.0421280619469073,-0.0,-0.2892037241510228,-1.5868059117004345,-0.0,-0.6471626581702814,-0.24728501265525404,-0.9544156727260387,-0.4845680103799444,-0.0,-0.0,-0.0,-0.6417494314342945,-0.06654118087801936,-0.0428709135175883,-0.4517353261514689,-0.0,-0.7079280609065962,-0.39512166760078093,-0.8387167010932964,-0.7753026246660328,-2.7101573419755076,-1.086172147182705,-0.0,-0.2638024967067593,-0.14865645951439652,-0.08159080690720225
Granulocytes_NFkB_unstim,-0.0,-1.1448923543837,-1.400010464876253,-0.0,-0.0,-1.165536463646279,-1.0159651291911453,-0.9665480796221999,-1.6218212172104796,-0.0,-0.8244581947591504,-0.0,-0.7963136131611795,-0.0,-0.22920143817041316,-0.8575829905118462,-0.0,-0.23770293404969667,-0.47603741095183405,-0.0,-1.6218264032200531,-0.0,-0.14962012850989126,-0.7375114774955263,-2.008879700114602,-0.4115151045277584,-0.2667008097759715,-1.0623681912961402,-0.0,-0.0,-0.0,-0.4093845353759165,-0.0,-0.0,-1.132317173298878,-0.07183917992730182,-0.9408260815556124,-0.013849714200440186,-0.0,-2.9839128882037524,-0.0,-0.7335293390687148,-0.5526109377091926,-1.312824350477554,-0.4800366665099082,-1.4252220525701025,-1.1341531769608286,-0.0,-0.6645054847757238,-0.0,-1.14267039163983,-0.0,-0.0,-1.1566468213552599,-1.5256864114709747,-0.0,-0.9180557202846684,-1.1995490496148045,-1.42252174599797,-1.300456316894111,-1.0862510480358258
Granulocytes_ERK_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211204231030046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
