feature,coefficient
IL.1.R4,7.60144501742682
Siglec.6,5.845692124958425
Activin.A,3.9889538796937285
PLXB2,3.6222266685089015
GPNMB,1.3264514049918876
BID,0.7383159194209802
FABP,0.6254504404356778
GFRa.1,0.26342481141322255
Apo.E,0.052762387169713536
sTie.2,-0.0037266492846134845
ROR1,-0.14179722281054474
ASAH2,-0.24572021101273833
HCG,-0.24638752500174138
SCF.sR,-0.6002394660689386
ALCAM,-0.8218536517639363
SLIK5,-1.1423637709975432
VEGF121,-1.9894616343478322
MMP.12,-2.399505081644697
Angiopoietin.2,-5.032191650861254
