feature,coefficient
GA,25.82835575124839
TFF1,2.2357311222460834
CSK21,1.9454025236785213
SLPI,1.854524698558567
MCP.3,1.6918867078208544
PRL,1.3669806042174302
IFN.g.R1,1.0706775943650733
PARC,0.9506330556674805
Siglec.6,0.8418113875389399
Nectin.like.protein.1,0.7467998013329358
FGF.10,0.6402777089340415
Rb,0.6378886011386765
N.terminal.pro.BNP,0.5804857087692132
IGFBP.7,0.5674997267443377
Coagulation.Factor.XI,0.49356794569455653
CD4Tef_p38_IFNa,0.48733029631856806
CD4Tef_STAT1_IL246,0.48616252348880584
CD56loCD16negNK_STAT3_IL246,0.46910014596721555
SARP.2,0.4517337160822225
AGR2,0.4118820364814519
GPNMB,0.3779764609466068
BMPER,0.36074651166016136
C1r,0.3587146023871232
NKT,0.33093250450732487
NKp30,0.30694478623115984
CCR5posCCR2posCD4Tem_CREB_IFNa,0.2952538539177672
Activin.RIB,0.2862045190048927
CD56loCD16negNK,0.28480783942913834
CD69posCD8Tmem_MAPKAPK2_IFNa,0.26228713021991334
annexin.II,0.2499837159221561
SH21A,0.2448538263092751
Endostatin,0.24174639527715314
GP1BA,0.22635939936218902
IL.1b,0.21839653479619747
PAI.1,0.2030194197403942
CD62LposCD8Tnaive_STAT1_IL246,0.20147347005200006
Tregs_S6_IFNa,0.2004442066266991
kallikrein.12,0.1927541043900753
CCR5posCCR2posCD8Tem_MAPKAPK2_IFNa,0.17781637548112622
CDK8.cyclin.C,0.17399050890135334
Siglec.9,0.16864486009098703
CD69posCD56loCD16negNK_STAT3_IL246,0.1665287384811021
CD4posTnaive_STAT1_IL246,0.16225681643104456
Thyroglobulin,0.15977314127291972
RS3,0.15360174601621399
HIV.2.Rev,0.11477811853215474
ncMCs_IkB_IL246,0.10679166529798417
ANGL3,0.10582432844245596
TSP2,0.08447460413843577
DCs_S6_GMCSF,0.06959548772902471
CD69negCD56loCD16negNK_STAT3_IL246,0.06299144123530581
AURKB,0.04234756632257605
pDCs_MAPKAPK2_IFNa,0.03972673442122034
CD62LposCD4Tnaive_STAT1_IL246,0.03590750930414136
mDCs_p38_GMCSF,0.011727049725658927
HCE004152,-0.002937149645345038
Th1_MAPKAPK2_IFNa,-0.0036448968176829724
Macrophage.scavenger.receptor,-0.008245258743937108
EDAR,-0.01299888042997707
DCs_STAT3_IL246,-0.021874984729353484
CD56hiCD16negNK_S6_LPS,-0.03234015468444819
EphB4,-0.03565964467756663
CFC1,-0.0383530589941906
Plasminogen,-0.04273447196608448
LAG.1,-0.0448155120930525
Insulin,-0.05498664052353897
CD4Tef_p38_unstim,-0.06280913390765717
NET1,-0.06549871554374181
transcription.factor.MLR1..isoform.CRA_b,-0.07171406803318166
kallikrein.13,-0.07343544896730596
Protein.disulfide.isomerase.A3,-0.07469428396831293
NEGR1,-0.07561460873764121
PSP,-0.09542828537004192
NAGK,-0.10040002460438135
CCR5posCCR2posCD8Tcm_S6_IL246,-0.10615791555050352
Tregs_ERK_IFNa,-0.12769192735983959
FCN1,-0.1356917862183709
Kallikrein.7,-0.15483851839608007
MUC1,-0.15795528239618636
IL.12.Rb1,-0.16087398856910398
JAG1,-0.17793585344713514
b.NGF,-0.1931732935018875
Cathepsin.B,-0.20720713349107645
CYTN,-0.2489805768610474
CD8Tem,-0.26776478692582145
sTie.2,-0.28470479866699844
ISLR2,-0.2907809032780559
S100A12,-0.29360816458257116
CD69posCD56loCD16negNK_S6_IL246,-0.30549892518489935
IL.13,-0.3216218045786884
Chymase,-0.34380806991901974
Gelsolin,-0.37676725871568295
sL.Selectin,-0.40110018053805385
granzyme.A,-0.42062968641843407
HPLN1,-0.4316535125352615
PAPP.A,-0.44990614988617983
ROR1,-0.45608941181570506
DCs_MAPKAPK2_LPS,-0.48355473173766805
Cathepsin.D,-0.5143067730078716
Neurotrophin.3,-0.5258307051401312
TIMP.1,-0.5336689540910221
Apo.B,-0.5403864727208543
SPTA2,-0.5852581700082691
C1QR1,-0.7062575257149494
CCR5posCCR2posCD8Tcm_MAPKAPK2_IL246,-0.7218251810526193
CRTAM,-0.8104912502685816
SOD3,-0.872277061861707
Olfactomedin.4,-0.9132116757071884
MMP.12,-0.9473945039359568
DKK1,-0.954770833543494
Angiopoietin.2,-1.005606656728207
CRP,-1.1024820924613552
Vitronectin,-1.7975378189836873
