,Spearman corr,pvalue
NK_STAT1_IFNa,0.6107876487173818,1.0473458504911912e-16
CD69negCD56loCD16negNK_STAT1_IFNa,0.6092424672583104,1.3111255899337723e-16
CD56loCD16negNK_STAT1_IFNa,0.6091411147345278,1.330529711628152e-16
CD69posCD56loCD16negNK_STAT1_IFNa,0.5816319060425903,5.957575118053857e-15
Bcells_STAT1_IFNa,0.5624104888129449,6.914544635962744e-14
NKT_STAT1_IFNa,0.5386673265310341,1.15797256074927e-12
CD56hiCD16negNK_STAT1_IFNa,0.5333436518607697,2.1143570810433188e-12
CD62LposCD8Tnaive_STAT1_IFNa,0.5240885661364122,5.875175027250498e-12
mDCs_STAT1_IFNa,0.5204007567622878,8.7531782032442e-12
CD4posTnaive_STAT1_IFNa,0.508346918889969,3.117499883692977e-11
CD8Tcm_STAT1_IFNa,0.5083238034020888,3.124954464634798e-11
CD8Tcells_STAT1_IFNa,0.5082953535708515,3.134153037629656e-11
pDCs_STAT1_IFNa,0.5060513731320159,3.948520022736043e-11
CD8Tmem_STAT1_IFNa,0.5053756896401319,4.231527337899421e-11
CCR2poscMCs_STAT1_IFNa,0.5050538509242609,4.3731402391152776e-11
cMCs_STAT1_IFNa,0.5018923634280251,6.031686311474901e-11
CD62LposCD4Tnaive_STAT1_IFNa,0.4986348577513637,8.372166261598886e-11
MDSCs_STAT1_IFNa,0.4918531292301918,1.6388034024755683e-10
CCR2posintMCs_STAT1_IFNa,0.48825244746423135,2.3271200303545295e-10
CD8Tem_STAT1_IFNa,0.48821510706073257,2.335548314323746e-10
intMCs_STAT1_IFNa,0.4867766124688007,2.6836769400148846e-10
CD4Tcells_STAT1_IFNa,0.485622616189241,2.9987179663945383e-10
CD4Tef_STAT1_IFNa,0.4845486350600361,3.3238215827998757e-10
CD4Tcm_STAT1_IFNa,0.4834906569609021,3.6772454441203995e-10
CD69posCD8Tmem_STAT1_IFNa,0.4832328303653148,3.768726317967244e-10
CCR5posCCR2posCD4Tcm_STAT1_IFNa,0.48237577919929353,4.088896056301802e-10
CD8Tnaive_STAT1_IFNa,0.47749841125656295,6.475555052757409e-10
CD4Tmem_STAT1_IFNa,0.4652667619390115,1.9881133855437155e-09
TCRgdposT_STAT1_IFNa,0.4650036010000673,2.0356966294533047e-09
CCR5posCCR2posCD4Tem_STAT1_IFNa,0.455935217293204,4.543754228944397e-09
CD56hiCD16negNK_STAT1_IL246,0.4503068647579785,7.392230801438416e-09
Tregs_STAT1_IFNa,0.4387070663646162,1.9610054003617634e-08
CD69posCD4Tmem_STAT1_IFNa,0.43106473044851856,3.656703297551052e-08
CD4Tem_STAT1_IFNa,0.42343484133358705,6.709236506095015e-08
Th1_STAT1_IFNa,0.41937184981002185,9.212951802322954e-08
CD4Tcells_MAPKAPK2_IFNa,0.4120328558575679,1.61665046616779e-07
CD8Tef_STAT1_IFNa,0.39318733638506725,6.450752194481328e-07
CD62LposCD4Tnaive_STAT3_unstim,0.38551500691466895,1.106228310830107e-06
CD4posTnaive_STAT3_unstim,0.3829117176489353,1.3242969409914198e-06
CD4posTnaive_STAT1_IL246,0.37399181011667804,2.4247885256847264e-06
CD8Tcells_MAPKAPK2_IFNa,0.36757102170641165,3.706778742643167e-06
CD62LposCD4Tnaive_STAT1_IL246,0.3595232542334498,6.23017863064986e-06
CD4Tcells_STAT3_unstim,0.3566894608400014,7.4552660232777376e-06
CD62LposCD8Tnaive_STAT3_unstim,0.3497457375641542,1.1491275732193412e-05
CD69negCD56loCD16negNK_STAT3_IL246,0.3493778419363571,1.1754413714592877e-05
CD56loCD16negNK_STAT3_IL246,0.3470609608645203,1.3546965210587976e-05
CD62LposCD4Tnaive_MAPKAPK2_IFNa,0.34668933527433315,1.3857471039211835e-05
CD4Tef_STAT1_IL246,0.3444799310504827,1.5846737182120967e-05
Th1_STAT1_IL246,0.3436283502983745,1.6683091566013373e-05
Granulocytes,-0.3428823956160042,1.7449752845292937e-05
CD4Tcm_STAT3_unstim,0.34254877436551345,1.7803281558890696e-05
Tregs_STAT5_unstim,0.34191510221379445,1.8493440796044407e-05
CD62LposCD8Tnaive_STAT1_IL246,0.34174170013353544,1.8686650904317303e-05
NK_STAT3_IL246,0.3388851978804024,2.215657248066247e-05
CD4Tcells_STAT1_IL246,0.3275995764506779,4.272941760013411e-05
Granulocytes_S6_unstim,-0.3238050226154383,5.2983896879840846e-05
CD69posCD8Tmem_MAPKAPK2_IFNa,0.323635288396443,5.3492594558308046e-05
Tregs_STAT1_IL246,0.3210228287485943,6.192334532648534e-05
CD4Tcm_MAPKAPK2_IFNa,0.31875608572518077,7.023176783987721e-05
CD4Tef_STAT3_unstim,0.31670208828287405,7.86512127453445e-05
Bcells_MAPKAPK2_LPS,0.3063297293122824,0.0001376010785262768
CD4posTnaive_MAPKAPK2_IFNa,0.30377991545425165,0.00015738879346989217
CD4Tmem_MAPKAPK2_IFNa,0.3027991565353715,0.00016568241579741422
NK_MAPKAPK2_LPS,0.2997240399938834,0.00019440012169038692
CD8Tnaive_STAT1_IL246,0.2986951560091189,0.00020499904678952617
intMCs_CREB_unstim,-0.2963829659079422,0.00023080817730869723
Th1_STAT3_unstim,0.2946659694506823,0.0002518924059814983
Tregs_MAPKAPK2_IFNa,0.2938988380802845,0.00026187878602071775
CCR2posintMCs_CREB_unstim,-0.2929814359843629,0.0002743034393629877
NK_MAPKAPK2_IFNa,0.2929387612754419,0.00027489449494636376
CD62LposCD4Tnaive_STAT3_IL246,-0.292101270112867,0.0002867357453761949
CD62LposCD4Tnaive_STAT5_unstim,0.29206392974256107,0.00028727455474957604
Granulocytes_CREB_IFNa,0.29089570958584826,0.0003046133821965545
CD69posCD56loCD16negNK_STAT3_IL246,0.28980928262123407,0.0003216038735897895
CD4Tcm_ERK_IFNa,0.2894216540152015,0.00032787550756409946
CD4posTnaive_STAT5_unstim,0.28912470916562616,0.0003327563503473447
TCRgdposT_MAPKAPK2_IFNa,0.2879341549685533,0.0003530088856209022
Granulocytes_NFkB_GMCSF,-0.2873946053414532,0.00036255781897988614
DCs_STAT6_IL246,-0.2858989609970158,0.000390291753196039
CCR2posintMCs_IkB_IFNa,0.28480033866162985,0.0004118997185079626
CD4Tcells_ERK_IFNa,0.2808191439418734,0.0004998078169784345
CD4posTnaive_STAT3_IL246,-0.28005277729416683,0.0005186004155013136
NK_CREB_LPS,0.2778111586496311,0.0005773748587716628
CCR5posCCR2posCD4Tcm_IkB_unstim,-0.2774478419371132,0.000587459651220411
CD62LposCD8Tnaive_IkB_IFNa,0.2771224472815904,0.0005966293400334536
ncMCs_CREB_GMCSF,-0.2770708820083108,0.0005980945054747513
Granulocytes_S6_IFNa,0.27598623315656834,0.0006296920966148005
Granulocytes_IkB_IFNa,0.27509006426922705,0.0006569509198003229
MDSCs_CREB_unstim,-0.27339730081536007,0.0007114241578282341
intMCs_ERK_GMCSF,-0.27322838009254774,0.0007170820058887994
CD8Tnaive_STAT3_unstim,0.27238184022116546,0.0007460644872446773
intMCs_CREB_IFNa,0.2721650685952657,0.0007536571660090395
CD69posCD8Tmem_MAPKAPK2_unstim,-0.2720750220807735,0.0007568319772779541
cMCs_IkB_IFNa,0.2717045373614931,0.0007700240754255664
