,CREB,NFkB,ERK,STAT6,MAPKAPK2,Frequency,STAT5,p38,STAT1,STAT3,S6,IkB
1326,0.117064374,1.325826034,0.493694999,0.991176687,0.262595102,12.82362137,1.075929517,0.0,0.0,1.053405801,0.074961676,0.694624949
1330,0.064521014,1.16192077,0.418769257,0.875481998,0.183032204,3.964567872,0.888916534,0.0,0.0,0.817969468,0.066641275,0.503840956
1331,0.044349915,1.046556634,0.388182912,0.730082192,0.104850654,0.959619674,0.244700901,0.0,0.0,2.193036166,0.048299119,0.432900716
1337,0.071659297,1.216387424,0.463904216,0.890758589,0.169673372,1.975382346,0.346925018,0.0,0.0,0.425254638,0.036738145,0.48207915
1357,0.08986735,1.207868545,0.487892454,0.750987563,0.213123562,1.265822785,0.450623307,0.0,0.0,1.326971517,0.060868793,0.501882355
1377,0.09022662,1.314947468,0.505073835,0.923441617,0.240134205,14.67210014,0.630875901,0.0,0.0,2.63434093,0.059137737,0.567975624
1381,0.067405837,1.250857498,0.524052501,0.950956837,0.172864006,3.588177415,0.479662383,0.0,0.0,1.355011128,0.030273942,0.463224904
1400,0.049270199,1.087196174,0.43441513,0.787630568,0.150394971,16.80209606,0.304203698,0.0,0.0,0.416061482,0.004177628,0.457332929
1414,0.117268204,1.36603335,0.537801608,0.980072327,0.205557579,7.794670369,0.614922058,0.0,0.0,1.29835334,0.067646136,0.733846487
1418,0.12281484,1.431394178,0.568827229,1.0022916,0.238925455,12.07563255,0.606732203,0.0,0.0,0.448970727,0.078519068,0.840044654
1427,0.074523697,1.162735819,0.39670103,0.776070376,0.166575451,1.901251536,0.327237455,0.0,0.0,2.33716964,0.091256803,0.523296733
1428,0.040086506,1.148646814,0.450634544,0.873350974,0.198806162,18.64610283,0.390056394,0.0,0.0,0.768703955,0.081589912,0.41619947
1431,0.096499643,1.42335037,0.450068655,0.838340819,0.314434263,10.01492019,0.247090351,0.0,0.0,0.881609792,0.124621488,0.641705818
1464,0.067345942,1.37960424,0.443218153,0.914551319,0.255614398,6.55622228,0.804777039,0.011212898,0.0,0.90262181,0.106590769,0.610886611
1469,0.084550531,1.23579185,0.464403648,0.860923187,0.187223789,1.834350278,0.263775026,0.0,0.0,0.829533784,0.108718022,0.575944503
1472,0.031333514,1.284102155,0.478192651,0.901479217,0.194812863,2.067193157,0.435628405,0.0,0.0,1.794402973,0.192047006,0.40610782
1473,0.158300063,1.513063684,0.513104838,0.945218704,0.192725473,5.786664952,0.210378656,0.0,0.0,2.176103443,0.278916373,0.710099112
1475,0.075297604,1.359682438,0.497005183,0.88652115,0.290318269,4.280063978,0.49122775,0.0,0.0,0.724982749,0.243456776,0.610530928
1480,0.060139444,1.220178347,0.463148749,0.884423041,0.1893425,2.872890634,0.336829303,0.0,0.0,0.762459538,0.200879934,0.498325107
1488,0.135278552,1.318846054,0.502147415,0.889294821,0.281781931,0.678962158,0.501401581,0.0,0.0,2.435047732,0.327730247,0.665531717
