,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
artificial.1,0.0,0.0,0.0,0.0,0.003,0.01,0.031,0.046,0.069,0.07
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
artificial.4,0.0,0.914,0.935,0.969,0.988,0.993,1.0,1.0,1.0,1.0
artificial.5,0.0,0.152,0.316,0.416,0.533,0.618,0.646,0.679,0.71,0.735
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.0,0.0,0.0,0.0,0.01,0.03,0.066,0.08,0.106,0.126
artificial.8,0.0,0.989,0.989,0.995,0.995,0.995,1.0,1.0,1.0,1.0
artificial.9,0.0,0.011,0.065,0.249,0.461,0.61,0.774,0.848,0.906,0.934
artificial.10,0.0,0.0,0.0,0.005,0.016,0.016,0.023,0.03,0.035,0.057
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.86,0.951,0.985,0.988,0.994,0.994,0.994,0.994,0.994
artificial.13,0.0,0.015,0.135,0.285,0.436,0.527,0.643,0.683,0.739,0.743
artificial.14,0.0,0.002,0.002,0.002,0.006,0.012,0.036,0.051,0.051,0.062
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0,0.903,0.973,0.996,1.0,1.0,1.0,1.0,1.0,1.0
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.002,0.053,0.107,0.191,0.284,0.406,0.507,0.595,0.67
artificial.25,0.0,0.816,0.975,0.993,0.993,0.998,1.0,1.0,1.0,1.0
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.0,0.115,0.167,0.27,0.321,0.414,0.509,0.586,0.658,0.697
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.0,0.313,0.548,0.657,0.739,0.779,0.802,0.827,0.865,0.879
artificial.31,0.0,0.971,0.973,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.32,0.0,0.0,0.005,0.023,0.08,0.131,0.148,0.218,0.252,0.326
artificial.33,0.0,0.0,0.002,0.016,0.076,0.141,0.251,0.334,0.406,0.508
artificial.34,0.0,0.0,0.04,0.135,0.252,0.399,0.503,0.638,0.71,0.763
artificial.35,0.0,0.0,0.0,0.0,0.019,0.03,0.08,0.159,0.218,0.352
artificial.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
artificial.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.0,0.285,0.479,0.565,0.69,0.758,0.791,0.827,0.839,0.846
artificial.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.026,0.035
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.44,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.071,0.108
artificial.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.47,0.0,0.048,0.216,0.439,0.625,0.738,0.802,0.847,0.881,0.888
artificial.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
artificial.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.0,0.0,0.025,0.05,0.102,0.153,0.206,0.24,0.304,0.326
artificial.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.52,0.0,0.237,0.509,0.672,0.792,0.859,0.868,0.895,0.917,0.917
artificial.53,0.0,0.0,0.029,0.131,0.244,0.351,0.448,0.552,0.644,0.747
artificial.54,0.0,0.014,0.081,0.087,0.118,0.189,0.266,0.359,0.441,0.522
artificial.55,0.0,0.726,0.837,0.885,0.927,0.937,0.948,0.962,0.962,0.962
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003
artificial.60,0.0,0.907,0.959,0.986,0.988,1.0,1.0,1.0,1.0,1.0
artificial.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.0,0.0,0.0,0.0,0.054,0.117,0.216,0.348,0.485,0.608
artificial.65,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.032,0.059,0.084
artificial.66,0.0,0.0,0.0,0.0,0.008,0.008,0.026,0.033,0.054,0.058
artificial.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.0,0.403,0.551,0.627,0.721,0.761,0.811,0.863,0.887,0.92
artificial.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.005,0.021,0.026
artificial.72,0.0,0.21,0.377,0.517,0.62,0.698,0.748,0.791,0.802,0.832
artificial.73,0.0,0.0,0.0,0.005,0.02,0.024,0.039,0.05,0.06,0.065
artificial.74,0.0,0.0,0.014,0.04,0.063,0.113,0.159,0.218,0.264,0.311
artificial.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.0,0.151,0.152,0.152,0.16,0.161,0.171,0.168,0.194,0.201
artificial.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.79,0.0,0.0,0.0,0.003,0.003,0.009,0.02,0.062,0.091,0.115
artificial.80,0.0,0.128,0.446,0.589,0.709,0.765,0.827,0.865,0.881,0.907
artificial.81,0.0,0.0,0.055,0.091,0.142,0.24,0.281,0.323,0.384,0.426
artificial.82,0.0,0.01,0.176,0.449,0.616,0.69,0.747,0.789,0.817,0.84
artificial.83,0.0,0.005,0.024,0.039,0.055,0.059,0.084,0.084,0.092,0.1
artificial.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003
artificial.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.86,0.0,0.0,0.0,0.0,0.004,0.004,0.013,0.042,0.063,0.087
artificial.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.89,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.012,0.027,0.041
artificial.90,0.0,0.0,0.0,0.01,0.018,0.027,0.038,0.042,0.046,0.083
artificial.91,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.92,0.0,0.032,0.148,0.289,0.398,0.511,0.579,0.628,0.683,0.73
artificial.93,0.0,0.0,0.015,0.029,0.081,0.1,0.162,0.228,0.297,0.39
