,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'MDSC_Frequency', 'Th1naive_CREB']",6
Fold 1,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'MDSC_Frequency', 'Th1naive_CREB']",5
Fold 2,"['CCR2nncMC_Frequency', 'Th1mem_S6', 'Th1naive_CREB']",3
Fold 3,"['CCR2nncMC_Frequency', 'gdTcells_Frequency', 'Th1naive_CREB']",3
Fold 4,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'Th1naive_CREB', 'Th1naive_STAT6']",5
Fold 5,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 6,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1mem_S6']",5
Fold 7,"['CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 8,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 9,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD61pCD41pPLT_STAT3', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 10,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 11,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",3
Fold 12,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 13,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'Th1naive_CREB']",4
Fold 14,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 15,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'Th1mem_S6', 'Th1naive_CREB']",5
Fold 16,"['CCR2nncMC_Frequency', 'CD4Trm_STAT6', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",4
Fold 17,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'Th1mem_S6', 'Th1naive_CREB']",4
Fold 18,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1naive_CREB']",5
Fold 19,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'MDSC_Frequency', 'Th1naive_CREB']",5
