,Max Proba
Th1naive_S6,1.0
Th1naive_CREB,1.0
Th1mem_S6,1.0
CCR2pcMC_Frequency,1.0
CD62LnAgedNeutrophils_S6,1.0
CCR2nncMC_Frequency,1.0
Bcells_S6,0.995
CD4Trm_STAT6,0.989
Th1naive_MAPKAPK2,0.987
mDC_S6,0.987
CD4Tnaive_Frequency,0.982
mDC_Frequency,0.975
CCR2nncMC_MAPKAPK2,0.97
CCR2nncMC_NFkB,0.951
CD61pCD41pPLT_STAT3,0.946
CD56brightCD16nNKcells_Frequency,0.939
MDSC_Frequency,0.932
CD56dimCD16pNKcells_Frequency,0.931
CD62LpImmatureNeutrophils_S6,0.911
CD61pCD41pPLT_CREB,0.904
gdTcells_Frequency,0.886
MDSC_S6,0.878
intMC_S6,0.878
CCR2pcMC_S6,0.871
CCR2nncMC_CREB,0.853
Th1naive_IkB,0.846
CD4Trm_STAT5,0.84
Th1naive_STAT6,0.776
pDC_IkB,0.692
CD62LpImmatureNeutrophils_Frequency,0.662
CD4Trm_Frequency,0.648
mDC_STAT3,0.624
CD62LpImmatureNeutrophils_IkB,0.554
pDC_S6,0.456
Bcells_Frequency,0.448
CD8Tnaive_Frequency,0.44
CCR2nncMC_S6,0.372
CD4Trm_MAPKAPK2,0.371
gdTcells_MAPKAPK2,0.331
CD61pCD41pPLT_S6,0.331
Tregnaive_STAT6,0.316
CD62LpImmatureNeutrophils_CREB,0.235
Th1naive_ERK,0.205
CD4Trm_NFkB,0.201
CD62LnAgedNeutrophils_STAT3,0.174
MDSC_STAT3,0.159
CD8Tcm_STAT5,0.157
CD62LnAgedNeutrophils_CREB,0.104
intMC_Frequency,0.094
gdTcells_NFkB,0.058
CD4Tcm_STAT5,0.057
NKT_CREB,0.054
CD62LnAgedNeutrophils_Frequency,0.045
CD56brightCD16nNKcells_CREB,0.044
Th1mem_STAT6,0.041
pDC_STAT3,0.041
CD4Tcm_Frequency,0.039
CD8Tnaive_CREB,0.035
Th1naive_STAT5,0.026
Th1naive_STAT3,0.023
CCR2pcMC_STAT3,0.023
CD62LpImmatureNeutrophils_STAT3,0.023
CD4Tnaive_STAT3,0.023
CD61pCD41pPLT_IkB,0.023
NKT_Frequency,0.01
CD8Tnaive_STAT3,0.008
CD62LnAgedNeutrophils_IkB,0.004
NKT_MAPKAPK2,0.004
