,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_Frequency,0.0,0.006,0.007,0.01,0.011,0.011,0.012,0.01,0.012,0.013
CCR2nncMC_CREB,0.0,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004
CCR2nncMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_S6,0.0,0.002,0.011,0.016,0.02,0.023,0.024,0.024,0.026,0.026
CCR2nncMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_Frequency,0.0,0.006,0.007,0.007,0.009,0.01,0.011,0.012,0.011,0.012
CCR2pcMC_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_ERK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_Frequency,0.0,0.002,0.004,0.005,0.005,0.006,0.006,0.007,0.006,0.007
CD41hiCD61hiPLT_CREB,0.0,0.001,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.003
CD41hiCD61hiPLT_p38,0.0,0.056,0.072,0.082,0.089,0.092,0.094,0.1,0.108,0.105
CD41hiCD61hiPLT_S6,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.051,0.087,0.098,0.107,0.119,0.123,0.126,0.137,0.136
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.019,0.031,0.039,0.04,0.04,0.047,0.049,0.048,0.05
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT3,0.0,0.005,0.012,0.012,0.013,0.012,0.013,0.014,0.017,0.016
