,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'gdTcells_NFkB', 'mDC_ERK', 'pDC_STAT3', 'Th1mem_IkB', 'Th1mem_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB', 'Th1naive_NFkB', 'Tregnaive_STAT6']",15
Fold 1,['Th1naive_IkB'],1
Fold 2,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Trm_NFkB', 'CD56dimCD16pNKcells_NFkB', 'CD61pCD41pPLT_S6', 'gdTcells_Frequency', 'pDC_STAT3', 'pDC_MAPKAPK2', 'Th1mem_S6', 'Th1mem_ERK', 'Th1naive_STAT5', 'Th1naive_IkB', 'Tregnaive_STAT6']",13
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD61pCD41pPLT_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT3', 'CD8Tem_Frequency', 'gdTcells_NFkB', 'pDC_STAT3', 'Th1mem_S6', 'Th1naive_IkB']",9
Fold 10,[],0
Fold 11,[],0
Fold 12,[],0
Fold 13,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD8Tem_Frequency', 'CD8Trm_Frequency', 'gdTcells_NFkB', 'gdTcells_Frequency', 'pDC_STAT3', 'Th1naive_IkB', 'Tregnaive_STAT6']",8
Fold 14,['CD41hiCD61hiPLT_MAPKAPK2'],1
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Tem_Frequency', 'CD61pCD41pPLT_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_CREB', 'CD8Tem_Frequency', 'gdTcells_NFkB', 'gdTcells_Frequency', 'MDSC_ERK', 'Th1mem_CREB', 'Th1mem_NFkB', 'Th1mem_ERK', 'Th1naive_CREB', 'Th1naive_STAT5', 'Th1naive_IkB', 'Th1naive_NFkB', 'Tregnaive_STAT6']",18
Fold 19,[],0
Fold 20,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD8Tem_Frequency', 'CD8Trm_Frequency', 'gdTcells_NFkB', 'gdTcells_Frequency', 'pDC_STAT3', 'Th1naive_IkB', 'Tregnaive_STAT6']",8
