,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.1,0.0,0.022,0.032,0.037,0.036,0.039,0.037,0.04,0.041,0.04
artificial.2,0.0,0.135,0.152,0.16,0.165,0.168,0.171,0.174,0.177,0.178
artificial.3,0.0,0.013,0.017,0.016,0.019,0.018,0.022,0.021,0.025,0.025
artificial.4,0.0,0.028,0.071,0.085,0.094,0.101,0.099,0.103,0.107,0.103
artificial.5,0.0,0.073,0.095,0.1,0.104,0.105,0.106,0.107,0.107,0.108
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.0,0.01,0.014,0.013,0.013,0.013,0.016,0.015,0.017,0.017
artificial.9,0.0,0.007,0.008,0.008,0.011,0.012,0.011,0.014,0.011,0.011
artificial.10,0.0,0.139,0.147,0.155,0.153,0.153,0.157,0.156,0.157,0.157
artificial.11,0.0,0.005,0.005,0.01,0.011,0.014,0.015,0.015,0.014,0.017
artificial.12,0.0,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001
artificial.13,0.0,0.03,0.044,0.047,0.045,0.047,0.048,0.049,0.051,0.049
artificial.14,0.0,0.001,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.002
artificial.15,0.0,0.183,0.217,0.229,0.233,0.244,0.24,0.249,0.254,0.257
artificial.16,0.0,0.01,0.011,0.011,0.013,0.013,0.013,0.013,0.013,0.013
artificial.17,0.0,0.048,0.049,0.059,0.063,0.066,0.073,0.073,0.075,0.074
artificial.18,0.0,0.0,0.001,0.002,0.002,0.004,0.003,0.004,0.006,0.006
artificial.19,0.0,0.027,0.037,0.044,0.044,0.043,0.047,0.047,0.05,0.049
artificial.20,0.0,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003
artificial.21,0.0,0.027,0.036,0.038,0.041,0.041,0.041,0.044,0.045,0.047
artificial.22,0.0,0.01,0.014,0.016,0.016,0.016,0.018,0.017,0.017,0.018
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.006,0.007,0.008,0.007,0.007,0.007,0.005,0.007,0.009
artificial.25,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.0,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003
artificial.28,0.0,0.002,0.002,0.001,0.004,0.004,0.003,0.004,0.005,0.004
artificial.29,0.0,0.063,0.071,0.079,0.078,0.077,0.078,0.08,0.081,0.082
artificial.30,0.0,0.046,0.063,0.069,0.072,0.072,0.078,0.081,0.082,0.085
artificial.31,0.0,0.001,0.003,0.004,0.004,0.005,0.004,0.005,0.006,0.007
artificial.32,0.0,0.038,0.049,0.054,0.057,0.061,0.063,0.063,0.062,0.064
artificial.33,0.0,0.03,0.036,0.04,0.043,0.042,0.044,0.043,0.045,0.047
artificial.34,0.0,0.001,0.004,0.005,0.006,0.007,0.007,0.007,0.007,0.007
artificial.35,0.0,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
artificial.36,0.0,0.083,0.106,0.112,0.115,0.115,0.117,0.119,0.118,0.119
artificial.37,0.0,0.002,0.005,0.008,0.008,0.009,0.011,0.009,0.011,0.01
artificial.38,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.39,0.0,0.011,0.017,0.02,0.025,0.024,0.026,0.026,0.028,0.028
artificial.40,0.0,0.006,0.008,0.009,0.008,0.011,0.011,0.011,0.013,0.01
artificial.41,0.0,0.0,0.005,0.006,0.006,0.007,0.008,0.008,0.008,0.01
artificial.42,0.0,0.0,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.002
artificial.43,0.0,0.045,0.056,0.061,0.06,0.065,0.063,0.065,0.065,0.07
artificial.44,0.0,0.038,0.046,0.048,0.052,0.055,0.056,0.058,0.057,0.063
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.0,0.005,0.009,0.009,0.008,0.008,0.01,0.011,0.009,0.01
artificial.47,0.0,0.012,0.011,0.012,0.014,0.016,0.017,0.017,0.017,0.018
artificial.48,0.0,0.0,0.002,0.004,0.004,0.006,0.007,0.008,0.008,0.01
artificial.49,0.0,0.137,0.159,0.159,0.161,0.164,0.172,0.176,0.18,0.182
artificial.50,0.0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
artificial.51,0.0,0.011,0.019,0.03,0.037,0.037,0.037,0.036,0.041,0.039
artificial.52,0.0,0.222,0.236,0.244,0.249,0.254,0.257,0.263,0.264,0.266
artificial.53,0.0,0.065,0.075,0.078,0.081,0.083,0.083,0.085,0.086,0.088
artificial.54,0.0,0.036,0.038,0.041,0.04,0.042,0.042,0.042,0.043,0.044
artificial.55,0.0,0.006,0.008,0.008,0.008,0.008,0.008,0.01,0.01,0.009
artificial.56,0.0,0.157,0.2,0.216,0.22,0.222,0.226,0.229,0.228,0.233
artificial.57,0.0,0.01,0.016,0.017,0.017,0.018,0.018,0.017,0.017,0.017
artificial.58,0.0,0.063,0.066,0.067,0.067,0.07,0.073,0.073,0.073,0.076
artificial.59,0.0,0.073,0.095,0.1,0.1,0.103,0.105,0.108,0.109,0.11
artificial.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.62,0.0,0.012,0.019,0.021,0.021,0.025,0.022,0.028,0.027,0.027
artificial.63,0.0,0.084,0.1,0.106,0.112,0.114,0.115,0.117,0.116,0.119
artificial.64,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.003,0.002,0.001
artificial.65,0.0,0.059,0.086,0.101,0.106,0.109,0.111,0.113,0.114,0.116
artificial.66,0.0,0.015,0.02,0.023,0.023,0.023,0.023,0.024,0.025,0.025
artificial.67,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
artificial.68,0.0,0.093,0.108,0.122,0.125,0.128,0.129,0.131,0.131,0.135
artificial.69,0.0,0.009,0.011,0.011,0.011,0.011,0.012,0.011,0.011,0.012
artificial.70,0.0,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
artificial.71,0.0,0.014,0.014,0.017,0.017,0.015,0.016,0.018,0.021,0.02
artificial.72,0.0,0.008,0.011,0.013,0.012,0.012,0.011,0.013,0.012,0.014
artificial.73,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.74,0.0,0.004,0.009,0.012,0.012,0.015,0.014,0.015,0.016,0.016
artificial.75,0.0,0.0,0.001,0.003,0.003,0.003,0.003,0.004,0.003,0.004
artificial.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.0,0.003,0.012,0.016,0.018,0.021,0.02,0.022,0.022,0.024
artificial.78,0.0,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.007
artificial.79,0.0,0.019,0.048,0.058,0.064,0.066,0.064,0.071,0.073,0.077
artificial.80,0.0,0.007,0.008,0.01,0.013,0.014,0.013,0.014,0.016,0.018
artificial.81,0.0,0.044,0.049,0.049,0.049,0.049,0.05,0.05,0.051,0.052
artificial.82,0.0,0.002,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.004
artificial.83,0.0,0.061,0.073,0.083,0.081,0.085,0.087,0.085,0.087,0.091
artificial.84,0.0,0.009,0.01,0.012,0.012,0.014,0.013,0.014,0.013,0.014
artificial.85,0.0,0.071,0.1,0.102,0.109,0.113,0.117,0.119,0.116,0.114
artificial.86,0.0,0.01,0.018,0.019,0.019,0.021,0.022,0.023,0.023,0.023
artificial.87,0.0,0.002,0.004,0.005,0.005,0.007,0.008,0.008,0.008,0.008
artificial.88,0.0,0.178,0.201,0.199,0.201,0.205,0.205,0.207,0.208,0.207
artificial.89,0.0,0.025,0.047,0.049,0.054,0.057,0.057,0.06,0.061,0.061
artificial.90,0.0,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004
artificial.91,0.0,0.11,0.123,0.126,0.125,0.128,0.132,0.134,0.134,0.136
artificial.92,0.0,0.002,0.005,0.006,0.008,0.007,0.008,0.008,0.007,0.008
artificial.93,0.0,0.035,0.041,0.047,0.048,0.049,0.051,0.056,0.056,0.058
artificial.94,0.0,0.029,0.042,0.046,0.048,0.052,0.056,0.057,0.057,0.056
artificial.95,0.0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003
artificial.96,0.0,0.001,0.003,0.003,0.004,0.003,0.004,0.005,0.005,0.005
artificial.97,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002
artificial.98,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001
artificial.99,0.0,0.01,0.011,0.014,0.015,0.016,0.016,0.017,0.016,0.016
artificial.100,0.0,0.027,0.027,0.03,0.03,0.031,0.032,0.032,0.033,0.034
artificial.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.102,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001
