,Max Proba
artificial.52,0.798
artificial.184,0.768
artificial.65,0.705
artificial.145,0.663
artificial.44,0.63
artificial.71,0.607
artificial.28,0.589
artificial.68,0.577
artificial.88,0.538
artificial.171,0.492
artificial.39,0.484
artificial.6,0.472
artificial.106,0.446
artificial.20,0.432
artificial.91,0.431
artificial.180,0.43
artificial.8,0.372
artificial.185,0.363
artificial.160,0.36
artificial.187,0.353
artificial.110,0.35
artificial.76,0.337
artificial.31,0.334
artificial.26,0.332
artificial.49,0.331
artificial.2,0.331
artificial.41,0.323
artificial.148,0.319
artificial.83,0.315
artificial.194,0.312
artificial.81,0.312
artificial.112,0.311
artificial.169,0.298
artificial.151,0.294
artificial.21,0.293
artificial.111,0.291
artificial.118,0.291
artificial.176,0.264
artificial.173,0.262
artificial.4,0.242
artificial.63,0.238
artificial.193,0.238
artificial.36,0.236
artificial.166,0.233
artificial.53,0.231
artificial.130,0.226
artificial.163,0.223
artificial.107,0.22
artificial.164,0.215
artificial.64,0.211
artificial.103,0.211
artificial.72,0.21
artificial.73,0.209
artificial.69,0.209
artificial.67,0.207
artificial.97,0.207
artificial.183,0.206
artificial.179,0.204
artificial.59,0.201
artificial.122,0.2
artificial.131,0.196
artificial.100,0.195
artificial.158,0.194
artificial.182,0.187
artificial.159,0.177
artificial.135,0.176
artificial.75,0.175
artificial.99,0.173
artificial.42,0.172
artificial.165,0.171
artificial.150,0.169
artificial.128,0.167
artificial.172,0.165
artificial.137,0.162
artificial.17,0.162
artificial.156,0.157
artificial.43,0.154
artificial.66,0.154
artificial.51,0.153
artificial.45,0.151
artificial.77,0.15
artificial.170,0.148
artificial.55,0.148
artificial.92,0.147
artificial.140,0.143
artificial.133,0.137
artificial.48,0.136
artificial.50,0.134
artificial.149,0.131
artificial.22,0.131
artificial.46,0.125
artificial.25,0.125
artificial.87,0.123
artificial.7,0.123
artificial.192,0.119
artificial.123,0.117
artificial.186,0.116
artificial.74,0.115
artificial.108,0.114
artificial.162,0.113
artificial.153,0.112
artificial.181,0.112
artificial.54,0.111
artificial.19,0.11
artificial.155,0.11
artificial.102,0.109
artificial.37,0.105
artificial.177,0.104
artificial.32,0.104
artificial.175,0.102
artificial.143,0.101
artificial.14,0.101
artificial.141,0.101
artificial.134,0.097
artificial.136,0.097
artificial.47,0.095
artificial.139,0.094
artificial.157,0.094
artificial.89,0.093
artificial.1,0.09
artificial.24,0.089
artificial.13,0.088
artificial.124,0.087
artificial.190,0.086
artificial.154,0.086
artificial.40,0.084
artificial.146,0.083
artificial.16,0.078
artificial.56,0.077
artificial.132,0.076
artificial.10,0.076
artificial.178,0.076
artificial.129,0.075
artificial.120,0.075
artificial.12,0.074
artificial.189,0.073
artificial.3,0.073
artificial.58,0.072
artificial.114,0.07
artificial.119,0.068
artificial.125,0.066
artificial.109,0.064
artificial.191,0.06
artificial.95,0.056
artificial.116,0.056
artificial.167,0.056
artificial.115,0.056
artificial.117,0.055
artificial.84,0.054
artificial.90,0.049
artificial.33,0.049
artificial.96,0.049
artificial.70,0.049
artificial.144,0.048
artificial.61,0.048
artificial.78,0.046
artificial.79,0.044
artificial.57,0.039
artificial.5,0.039
artificial.113,0.038
artificial.9,0.036
artificial.147,0.034
artificial.27,0.033
artificial.168,0.031
artificial.86,0.03
artificial.18,0.03
artificial.104,0.03
artificial.138,0.03
artificial.35,0.03
artificial.85,0.029
artificial.38,0.028
artificial.23,0.028
artificial.161,0.027
artificial.11,0.026
artificial.174,0.026
artificial.60,0.025
artificial.94,0.025
artificial.93,0.025
artificial.188,0.023
artificial.105,0.022
artificial.101,0.018
artificial.152,0.018
artificial.29,0.018
artificial.30,0.017
artificial.80,0.017
artificial.98,0.016
artificial.15,0.015
artificial.82,0.014
artificial.121,0.013
artificial.34,0.007
artificial.127,0.006
artificial.62,0.005
artificial.126,0.002
artificial.195,0.002
artificial.142,0.0
