,Max Proba
artificial.131,0.951
artificial.137,0.893
artificial.35,0.881
artificial.109,0.87
artificial.116,0.82
artificial.10,0.815
artificial.89,0.745
artificial.68,0.706
artificial.81,0.688
artificial.48,0.687
artificial.45,0.683
artificial.112,0.643
artificial.80,0.633
artificial.145,0.629
artificial.50,0.611
artificial.28,0.562
artificial.90,0.517
artificial.57,0.499
artificial.128,0.492
artificial.27,0.481
artificial.13,0.461
artificial.36,0.41
artificial.140,0.409
artificial.150,0.406
artificial.1,0.39
artificial.76,0.384
artificial.70,0.381
artificial.103,0.372
artificial.136,0.367
artificial.44,0.345
artificial.19,0.336
artificial.39,0.33
artificial.100,0.317
artificial.120,0.316
artificial.101,0.286
artificial.155,0.282
artificial.122,0.272
artificial.83,0.268
artificial.16,0.25
artificial.75,0.244
artificial.4,0.231
artificial.55,0.223
artificial.71,0.222
artificial.8,0.216
artificial.65,0.211
artificial.72,0.209
artificial.125,0.208
artificial.153,0.207
artificial.12,0.199
artificial.66,0.194
artificial.121,0.186
artificial.24,0.184
artificial.154,0.184
artificial.124,0.179
artificial.106,0.171
artificial.148,0.169
artificial.17,0.167
artificial.110,0.166
artificial.88,0.161
artificial.29,0.161
artificial.84,0.149
artificial.108,0.143
artificial.31,0.139
artificial.63,0.138
artificial.21,0.137
artificial.78,0.132
artificial.82,0.125
artificial.91,0.12
artificial.138,0.104
artificial.47,0.1
artificial.142,0.093
artificial.67,0.092
artificial.135,0.091
artificial.93,0.089
artificial.147,0.089
artificial.151,0.088
artificial.117,0.085
artificial.97,0.082
artificial.40,0.082
artificial.18,0.079
artificial.52,0.078
artificial.74,0.074
artificial.60,0.074
artificial.53,0.068
artificial.105,0.06
artificial.43,0.059
artificial.33,0.057
artificial.104,0.057
artificial.129,0.056
artificial.115,0.053
artificial.132,0.053
artificial.113,0.052
artificial.77,0.052
artificial.141,0.05
artificial.34,0.048
artificial.56,0.047
artificial.87,0.043
artificial.127,0.043
artificial.25,0.042
artificial.42,0.04
artificial.144,0.04
artificial.6,0.039
artificial.20,0.038
artificial.54,0.037
artificial.143,0.037
artificial.69,0.036
artificial.61,0.035
artificial.99,0.034
artificial.114,0.031
artificial.59,0.03
artificial.2,0.025
artificial.11,0.024
artificial.123,0.023
artificial.152,0.021
artificial.156,0.019
artificial.95,0.018
artificial.58,0.017
artificial.30,0.017
artificial.64,0.017
artificial.133,0.015
artificial.149,0.015
artificial.146,0.015
artificial.41,0.015
artificial.94,0.015
artificial.73,0.013
artificial.3,0.013
artificial.23,0.013
artificial.46,0.012
artificial.126,0.011
artificial.130,0.011
artificial.111,0.01
artificial.51,0.009
artificial.22,0.009
artificial.107,0.008
artificial.79,0.006
artificial.96,0.006
artificial.102,0.006
artificial.32,0.006
artificial.134,0.005
artificial.62,0.005
artificial.14,0.004
artificial.157,0.004
artificial.37,0.004
artificial.38,0.003
artificial.92,0.003
artificial.98,0.002
artificial.158,0.001
artificial.5,0.001
artificial.139,0.001
artificial.15,0.001
artificial.86,0.001
artificial.85,0.001
artificial.7,0.0
artificial.119,0.0
artificial.118,0.0
artificial.9,0.0
artificial.49,0.0
artificial.26,0.0
