,C'=' 0.044,C'=' 0.530,C'=' 1.015,C'=' 1.501,C'=' 1.986,C'=' 2.472,C'=' 2.957,C'=' 3.443,C'=' 3.928,C'=' 4.414
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.007,0.011,0.013,0.017,0.023,0.025,0.03,0.036,0.039
Bcells_Frequency,0.0,0.004,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
CCR2nncMC_CREB,0.0,0.082,0.106,0.118,0.126,0.137,0.148,0.153,0.161,0.168
CCR2nncMC_STAT3,0.0,0.041,0.053,0.059,0.066,0.072,0.073,0.081,0.091,0.1
CCR2nncMC_S6,0.0,0.796,0.84,0.859,0.872,0.883,0.896,0.905,0.909,0.911
CCR2nncMC_NFkB,0.0,0.434,0.523,0.573,0.597,0.619,0.639,0.656,0.668,0.688
CCR2nncMC_Frequency,0.0,0.186,0.234,0.265,0.291,0.305,0.317,0.337,0.347,0.362
CCR2pcMC_CREB,0.0,0.043,0.06,0.07,0.08,0.088,0.099,0.103,0.11,0.122
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
CCR2pcMC_STAT3,0.0,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.008
CCR2pcMC_S6,0.0,0.406,0.541,0.598,0.648,0.683,0.711,0.738,0.758,0.774
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
CCR2pcMC_NFkB,0.0,0.193,0.221,0.237,0.248,0.265,0.282,0.293,0.306,0.318
CCR2pcMC_ERK,0.0,0.009,0.025,0.033,0.04,0.047,0.053,0.056,0.062,0.066
CCR2pcMC_MAPKAPK2,0.0,0.023,0.039,0.055,0.062,0.07,0.081,0.09,0.093,0.098
CCR2pcMC_Frequency,0.0,0.134,0.179,0.217,0.234,0.255,0.269,0.287,0.302,0.313
CD41hiCD61hiPLT_p38,0.0,0.447,0.522,0.572,0.599,0.618,0.64,0.659,0.672,0.686
CD41hiCD61hiPLT_S6,0.0,0.011,0.033,0.043,0.054,0.064,0.069,0.082,0.085,0.098
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.72,0.79,0.81,0.826,0.846,0.866,0.875,0.886,0.899
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.001,0.002,0.005,0.007,0.007,0.007,0.008,0.012,0.012
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003
CD4Tcm_IkB,0.0,0.023,0.035,0.044,0.054,0.056,0.063,0.072,0.077,0.082
CD4Tcm_NFkB,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002
CD4Tcm_Frequency,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT5,0.0,0.011,0.025,0.034,0.041,0.048,0.054,0.058,0.063,0.066
CD4Tem_STAT3,0.0,0.043,0.069,0.093,0.099,0.111,0.125,0.14,0.155,0.161
CD4Tem_IkB,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.003
