,Max Proba
artificial.110,0.666
artificial.77,0.583
artificial.72,0.518
artificial.17,0.443
artificial.71,0.443
artificial.96,0.44
artificial.88,0.379
artificial.40,0.355
artificial.24,0.271
artificial.80,0.267
artificial.98,0.246
artificial.61,0.231
artificial.22,0.2
artificial.89,0.191
artificial.36,0.189
artificial.45,0.186
artificial.117,0.185
artificial.52,0.169
artificial.50,0.163
artificial.19,0.147
artificial.20,0.116
artificial.128,0.113
artificial.108,0.109
artificial.7,0.1
artificial.35,0.099
artificial.3,0.09
artificial.109,0.085
artificial.31,0.085
artificial.32,0.079
artificial.16,0.072
artificial.68,0.066
artificial.79,0.057
artificial.99,0.053
artificial.25,0.053
artificial.75,0.048
artificial.104,0.047
artificial.66,0.047
artificial.46,0.047
artificial.122,0.042
artificial.102,0.041
artificial.135,0.039
artificial.125,0.037
artificial.129,0.036
artificial.58,0.035
artificial.67,0.035
artificial.39,0.034
artificial.106,0.032
artificial.134,0.031
artificial.42,0.031
artificial.136,0.023
artificial.111,0.019
artificial.131,0.017
artificial.26,0.017
artificial.65,0.017
artificial.11,0.017
artificial.73,0.016
artificial.120,0.015
artificial.69,0.014
artificial.103,0.013
artificial.56,0.013
artificial.55,0.013
artificial.121,0.012
artificial.63,0.012
artificial.8,0.012
artificial.84,0.011
artificial.116,0.011
artificial.18,0.01
artificial.37,0.01
artificial.87,0.01
artificial.123,0.009
artificial.94,0.008
artificial.113,0.006
artificial.114,0.006
artificial.118,0.006
artificial.1,0.006
artificial.132,0.006
artificial.2,0.005
artificial.115,0.005
artificial.53,0.004
artificial.119,0.004
artificial.97,0.004
artificial.126,0.004
artificial.107,0.004
artificial.5,0.004
artificial.127,0.004
artificial.112,0.003
artificial.43,0.003
artificial.13,0.003
artificial.86,0.003
artificial.130,0.003
artificial.82,0.002
artificial.4,0.002
artificial.101,0.002
artificial.133,0.001
artificial.15,0.001
artificial.21,0.001
artificial.14,0.001
artificial.12,0.001
artificial.33,0.001
artificial.41,0.001
artificial.51,0.001
artificial.78,0.001
artificial.83,0.001
artificial.91,0.001
artificial.92,0.001
artificial.93,0.001
artificial.57,0.001
artificial.70,0.0
artificial.6,0.0
artificial.9,0.0
artificial.76,0.0
artificial.54,0.0
artificial.64,0.0
artificial.49,0.0
artificial.48,0.0
artificial.10,0.0
artificial.62,0.0
artificial.124,0.0
artificial.74,0.0
artificial.47,0.0
artificial.100,0.0
artificial.44,0.0
artificial.30,0.0
artificial.81,0.0
artificial.85,0.0
artificial.38,0.0
artificial.90,0.0
artificial.95,0.0
artificial.23,0.0
artificial.34,0.0
artificial.27,0.0
artificial.105,0.0
artificial.28,0.0
artificial.60,0.0
artificial.29,0.0
artificial.59,0.0
