,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
artificial.1,0.0,0.046,0.074,0.095,0.113,0.136,0.158,0.177,0.196,0.22
artificial.2,0.0,0.082,0.116,0.138,0.169,0.19,0.214,0.24,0.263,0.284
artificial.3,0.0,0.511,0.603,0.684,0.748,0.789,0.819,0.847,0.861,0.878
artificial.4,0.0,0.909,0.945,0.958,0.97,0.977,0.982,0.983,0.986,0.989
artificial.5,0.0,0.034,0.057,0.085,0.1,0.118,0.137,0.158,0.173,0.189
artificial.6,0.0,0.0,0.002,0.003,0.011,0.017,0.022,0.028,0.034,0.042
artificial.7,0.0,0.0,0.002,0.002,0.005,0.009,0.016,0.023,0.035,0.044
artificial.8,0.0,0.098,0.186,0.247,0.306,0.364,0.413,0.462,0.499,0.546
artificial.9,0.0,0.023,0.061,0.09,0.116,0.146,0.179,0.213,0.243,0.283
artificial.10,0.0,0.206,0.311,0.385,0.451,0.495,0.522,0.554,0.584,0.605
artificial.11,0.0,0.083,0.154,0.216,0.262,0.305,0.338,0.371,0.408,0.443
artificial.12,0.0,0.026,0.043,0.06,0.08,0.099,0.117,0.138,0.161,0.181
artificial.13,0.0,0.001,0.003,0.014,0.019,0.027,0.033,0.049,0.072,0.089
artificial.14,0.0,0.006,0.033,0.063,0.097,0.128,0.171,0.214,0.252,0.283
artificial.15,0.0,0.008,0.027,0.05,0.068,0.092,0.122,0.15,0.181,0.206
artificial.16,0.0,0.774,0.848,0.895,0.92,0.937,0.951,0.962,0.969,0.97
artificial.17,0.0,0.033,0.068,0.094,0.113,0.141,0.164,0.184,0.207,0.231
artificial.18,0.0,0.032,0.076,0.119,0.158,0.189,0.223,0.258,0.294,0.348
artificial.19,0.0,0.0,0.001,0.005,0.009,0.019,0.031,0.035,0.046,0.063
artificial.20,0.0,0.376,0.479,0.55,0.586,0.621,0.661,0.686,0.706,0.729
artificial.21,0.0,0.303,0.357,0.407,0.446,0.47,0.507,0.529,0.556,0.581
artificial.22,0.0,0.0,0.002,0.008,0.021,0.037,0.05,0.061,0.075,0.093
artificial.23,0.0,0.039,0.092,0.124,0.147,0.169,0.188,0.217,0.241,0.257
artificial.24,0.0,0.0,0.009,0.017,0.024,0.035,0.041,0.052,0.068,0.077
artificial.25,0.0,0.074,0.116,0.135,0.157,0.183,0.201,0.229,0.254,0.282
artificial.26,0.0,0.211,0.289,0.334,0.362,0.395,0.431,0.473,0.501,0.523
artificial.27,0.0,0.012,0.029,0.039,0.047,0.064,0.074,0.09,0.101,0.115
artificial.28,0.0,0.0,0.0,0.001,0.002,0.007,0.013,0.021,0.026,0.032
artificial.29,0.0,0.002,0.01,0.015,0.024,0.03,0.041,0.044,0.059,0.069
artificial.30,0.0,0.07,0.13,0.18,0.231,0.284,0.34,0.383,0.414,0.452
artificial.31,0.0,0.002,0.008,0.014,0.027,0.042,0.052,0.069,0.081,0.094
artificial.32,0.0,0.001,0.006,0.013,0.023,0.037,0.054,0.072,0.095,0.113
artificial.33,0.0,0.04,0.076,0.103,0.131,0.16,0.191,0.221,0.25,0.274
artificial.34,0.0,0.003,0.007,0.01,0.022,0.029,0.036,0.044,0.054,0.066
artificial.35,0.0,0.012,0.027,0.038,0.068,0.079,0.094,0.118,0.139,0.157
artificial.36,0.0,0.0,0.0,0.001,0.002,0.003,0.003,0.006,0.009,0.01
artificial.37,0.0,0.18,0.24,0.294,0.326,0.36,0.392,0.423,0.451,0.478
artificial.38,0.0,0.0,0.0,0.002,0.007,0.011,0.013,0.02,0.026,0.043
artificial.39,0.0,0.001,0.001,0.002,0.004,0.005,0.01,0.016,0.023,0.028
artificial.40,0.0,0.0,0.004,0.007,0.012,0.02,0.029,0.041,0.05,0.059
artificial.41,0.0,0.026,0.052,0.073,0.102,0.117,0.134,0.158,0.176,0.194
artificial.42,0.0,0.067,0.154,0.222,0.29,0.336,0.378,0.422,0.456,0.495
artificial.43,0.0,0.0,0.0,0.002,0.004,0.009,0.014,0.021,0.03,0.038
artificial.44,0.0,0.054,0.09,0.117,0.136,0.16,0.181,0.202,0.235,0.254
artificial.45,0.0,0.011,0.02,0.029,0.04,0.05,0.057,0.066,0.074,0.09
artificial.46,0.0,0.061,0.095,0.131,0.159,0.187,0.215,0.239,0.267,0.287
artificial.47,0.0,0.007,0.029,0.059,0.086,0.111,0.136,0.153,0.177,0.2
artificial.48,0.0,0.0,0.001,0.007,0.01,0.017,0.025,0.03,0.048,0.055
artificial.49,0.0,0.01,0.024,0.048,0.069,0.092,0.107,0.125,0.15,0.169
artificial.50,0.0,0.001,0.004,0.009,0.013,0.018,0.026,0.029,0.041,0.052
artificial.51,0.0,0.0,0.0,0.002,0.002,0.002,0.004,0.005,0.007,0.013
artificial.52,0.0,0.049,0.139,0.223,0.275,0.333,0.374,0.407,0.442,0.47
artificial.53,0.0,0.125,0.189,0.238,0.288,0.321,0.354,0.383,0.402,0.431
artificial.54,0.0,0.006,0.017,0.033,0.054,0.07,0.089,0.104,0.118,0.139
artificial.55,0.0,0.53,0.624,0.68,0.722,0.765,0.799,0.829,0.848,0.862
artificial.56,0.0,0.007,0.022,0.033,0.042,0.05,0.061,0.071,0.086,0.105
artificial.57,0.0,0.041,0.083,0.121,0.165,0.206,0.238,0.265,0.295,0.325
artificial.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003
artificial.59,0.0,0.032,0.057,0.084,0.113,0.132,0.153,0.178,0.201,0.211
artificial.60,0.0,0.09,0.133,0.183,0.238,0.279,0.315,0.346,0.391,0.409
artificial.61,0.0,0.003,0.005,0.011,0.021,0.031,0.037,0.055,0.069,0.087
artificial.62,0.0,0.222,0.28,0.304,0.328,0.363,0.391,0.427,0.454,0.475
artificial.63,0.0,0.044,0.086,0.103,0.119,0.15,0.176,0.204,0.223,0.248
artificial.64,0.0,0.078,0.138,0.182,0.23,0.262,0.296,0.343,0.375,0.403
