,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.0,0.0,0.0,0.003,0.011,0.028,0.04,0.062,0.083
Bcells_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.007
Bcells_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_Frequency,0.0,0.005,0.016,0.021,0.027,0.034,0.044,0.05,0.057,0.067
CCR2nncMC_CREB,0.0,0.005,0.016,0.038,0.051,0.067,0.082,0.102,0.116,0.129
CCR2nncMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_S6,0.0,0.274,0.416,0.498,0.549,0.588,0.628,0.651,0.672,0.685
CCR2nncMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_Frequency,0.0,0.036,0.077,0.111,0.138,0.166,0.19,0.217,0.239,0.27
CCR2pcMC_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.012
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.01,0.015,0.016
CCR2pcMC_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_ERK,0.0,0.006,0.016,0.04,0.064,0.089,0.112,0.136,0.16,0.18
CCR2pcMC_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.006,0.011
CCR2pcMC_Frequency,0.0,0.11,0.168,0.212,0.252,0.284,0.323,0.356,0.38,0.408
CD41hiCD61hiPLT_CREB,0.0,0.014,0.066,0.133,0.228,0.301,0.383,0.444,0.499,0.567
CD41hiCD61hiPLT_p38,0.0,0.529,0.66,0.738,0.779,0.814,0.84,0.858,0.871,0.884
CD41hiCD61hiPLT_S6,0.0,0.002,0.015,0.045,0.078,0.124,0.205,0.255,0.325,0.382
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.599,0.707,0.769,0.814,0.851,0.867,0.878,0.896,0.908
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.01,0.014,0.016
CD4Tcm_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.01,0.017
CD4Tcm_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.049,0.117,0.162,0.212,0.248,0.284,0.344,0.384,0.423
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.006
CD4Tem_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.012,0.018
CD4Tem_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT3,0.0,0.008,0.022,0.044,0.077,0.118,0.163,0.201,0.244,0.288
