,Max Proba
CD41hiCD61hiPLT_MAPKAPK2,0.952
intMC_S6,0.931
CD62LpImmatureNeutrophils_IkB,0.816
CCR2nncMC_S6,0.79
CD4Trm_STAT6,0.782
CD4Tnaive_Frequency,0.768
MDSC_S6,0.743
CD61pCD41pPLT_STAT3,0.679
CD41hiCD61hiPLT_p38,0.674
CCR2pcMC_Frequency,0.664
CCR2nncMC_NFkB,0.652
Th1mem_IkB,0.64
CD4Trm_Frequency,0.596
CD62LnAgedNeutrophils_STAT3,0.583
CCR2pcMC_S6,0.576
CD56brightCD16nNKcells_Frequency,0.53
Th1naive_STAT5,0.497
mDC_S6,0.482
CD4Tem_Frequency,0.446
Th1naive_IkB,0.445
pDC_CREB,0.443
pDC_IkB,0.436
Th1mem_ERK,0.401
Th1naive_CREB,0.401
CD4Trm_IkB,0.384
Th1mem_STAT5,0.378
CD62LnAgedNeutrophils_S6,0.373
Th1naive_S6,0.373
CD8Trm_Frequency,0.366
MDSC_Frequency,0.35
CD4Trm_STAT5,0.345
Tregnaive_Frequency,0.332
CD56dimCD16pNKcells_Frequency,0.311
CD62LpImmatureNeutrophils_STAT3,0.308
gdTcells_NFkB,0.291
CD61pCD41pPLT_CREB,0.289
CCR2nncMC_Frequency,0.267
CD41hiCD61hiPLT_S6,0.265
CD4Trm_NFkB,0.263
CD62LnAgedNeutrophils_IkB,0.263
Th1naive_STAT3,0.259
CCR2pcMC_NFkB,0.25
Bcells_Frequency,0.244
CCR2nncMC_STAT3,0.232
mDC_NFkB,0.227
CD4Tem_STAT3,0.207
CD61pCD41pPLT_S6,0.203
Th1naive_STAT6,0.193
Th1mem_STAT6,0.192
CD4Tcm_IkB,0.189
CD62LpImmatureNeutrophils_S6,0.188
Th1mem_p38,0.185
Tregnaive_ERK,0.184
Th1naive_p38,0.165
Tregnaive_STAT5,0.16
Th1naive_MAPKAPK2,0.156
CD4Tnaive_STAT5,0.154
mDC_STAT3,0.154
CD56brightCD16nNKcells_NFkB,0.144
CD4Tcm_Frequency,0.144
Th1mem_NFkB,0.136
Th1mem_S6,0.13
intMC_Frequency,0.127
pDC_Frequency,0.113
Th1mem_MAPKAPK2,0.112
CD8Tnaive_STAT5,0.106
CD8Tnaive_NFkB,0.103
CD8Tnaive_Frequency,0.102
gdTcells_STAT6,0.101
CD62LpImmatureNeutrophils_Frequency,0.098
mDC_MAPKAPK2,0.097
CD8Tcm_Frequency,0.096
NKT_STAT6,0.094
intMC_STAT3,0.094
CD56brightCD16nNKcells_CREB,0.093
Th1naive_NFkB,0.085
CD62LnAgedNeutrophils_p38,0.084
CD62LpImmatureNeutrophils_CREB,0.074
CD8Tcm_CREB,0.074
Th1mem_STAT3,0.069
CD4Tem_STAT5,0.066
CCR2pcMC_MAPKAPK2,0.062
Tregmem_Frequency,0.056
Tregnaive_IkB,0.055
CD61pCD41pPLT_IkB,0.054
Th1naive_ERK,0.052
pDC_S6,0.052
CD4Tcm_STAT5,0.05
CD62LnAgedNeutrophils_CREB,0.049
gdTcells_IkB,0.047
intMC_CREB,0.043
CD4Trm_CREB,0.04
gdTcells_Frequency,0.038
NKT_Frequency,0.038
CD4Tem_CREB,0.038
CD56dimCD16pNKcells_CREB,0.038
gdTcells_CREB,0.034
CD4Tnaive_IkB,0.029
CD8Tcm_STAT5,0.027
CD8Tem_CREB,0.027
CD8Tem_Frequency,0.025
CD61pCD41pPLT_NFkB,0.024
CD56brightCD16nNKcells_IkB,0.022
CCR2nncMC_CREB,0.02
CCR2pcMC_STAT3,0.019
Bcells_S6,0.019
Th1mem_CREB,0.019
mDC_ERK,0.018
NKT_CREB,0.017
intMC_IkB,0.017
MDSC_ERK,0.016
CCR2pcMC_ERK,0.016
CD8Tcm_NFkB,0.014
Tregmem_STAT3,0.014
MDSC_STAT3,0.014
CD8Trm_CREB,0.013
MDSC_MAPKAPK2,0.013
CD8Tcm_STAT3,0.012
CD62LnAgedNeutrophils_MAPKAPK2,0.009
NKT_IkB,0.007
intMC_MAPKAPK2,0.006
CD62LnAgedNeutrophils_Frequency,0.006
CD8Trm_NFkB,0.006
CD4Tem_IkB,0.005
CCR2pcMC_CREB,0.005
intMC_ERK,0.005
MDSC_IkB,0.004
Tregmem_NFkB,0.003
CD4Tcm_CREB,0.003
Tregnaive_STAT3,0.003
mDC_Frequency,0.002
CD8Tnaive_STAT3,0.002
Bcells_NFkB,0.002
CD4Tcm_NFkB,0.002
Bcells_CREB,0.001
CD8Tem_IkB,0.001
CD8Tnaive_IkB,0.001
CD4Trm_STAT3,0.001
NKT_NFkB,0.001
CD8Tnaive_CREB,0.001
mDC_p38,0.0
mDC_CREB,0.0
CCR2pcMC_p38,0.0
Tregnaive_NFkB,0.0
CCR2pcMC_IkB,0.0
CD4Tcm_STAT3,0.0
CD4Tem_NFkB,0.0
CD4Tnaive_STAT3,0.0
CD4Tnaive_NFkB,0.0
MDSC_p38,0.0
CD56dimCD16pNKcells_NFkB,0.0
CD8Tcm_IkB,0.0
MDSC_CREB,0.0
CD8Tem_NFkB,0.0
mDC_IkB,0.0
intMC_p38,0.0
intMC_NFkB,0.0
pDC_STAT3,0.0
