,C'=' 0.052,C'=' 0.623,C'=' 1.195,C'=' 1.766,C'=' 2.337,C'=' 2.909,C'=' 3.480,C'=' 4.051,C'=' 4.623,C'=' 5.194
artificial.1,0.0,0.288,0.35,0.375,0.385,0.401,0.416,0.42,0.428,0.432
artificial.2,0.0,0.19,0.241,0.28,0.303,0.314,0.322,0.336,0.355,0.367
artificial.3,0.0,0.072,0.099,0.111,0.123,0.136,0.143,0.151,0.156,0.161
artificial.4,0.0,0.281,0.337,0.361,0.384,0.397,0.416,0.423,0.426,0.436
artificial.5,0.0,0.055,0.076,0.091,0.106,0.109,0.113,0.12,0.13,0.135
artificial.6,0.0,0.328,0.395,0.42,0.442,0.463,0.479,0.489,0.508,0.513
artificial.7,0.001,0.269,0.322,0.336,0.358,0.369,0.381,0.396,0.403,0.409
artificial.8,0.0,0.199,0.245,0.268,0.285,0.295,0.305,0.311,0.321,0.327
artificial.9,0.0,0.17,0.231,0.248,0.268,0.28,0.291,0.297,0.304,0.31
artificial.10,0.0,0.323,0.379,0.412,0.433,0.441,0.448,0.457,0.461,0.467
artificial.11,0.0,0.123,0.157,0.174,0.188,0.203,0.212,0.219,0.226,0.23
artificial.12,0.0,0.075,0.104,0.118,0.129,0.143,0.151,0.16,0.17,0.174
artificial.13,0.0,0.286,0.341,0.371,0.397,0.409,0.419,0.429,0.433,0.445
artificial.14,0.0,0.061,0.083,0.088,0.099,0.105,0.109,0.116,0.12,0.127
artificial.15,0.0,0.1,0.154,0.168,0.188,0.198,0.207,0.22,0.226,0.236
artificial.16,0.0,0.316,0.351,0.376,0.394,0.406,0.422,0.43,0.437,0.444
artificial.17,0.0,0.198,0.244,0.269,0.295,0.305,0.315,0.326,0.336,0.346
artificial.18,0.0,0.096,0.136,0.164,0.185,0.203,0.219,0.226,0.231,0.244
artificial.19,0.0,0.045,0.069,0.078,0.085,0.092,0.096,0.102,0.108,0.111
artificial.20,0.0,0.214,0.269,0.293,0.313,0.327,0.335,0.343,0.348,0.355
artificial.21,0.0,0.169,0.224,0.254,0.277,0.294,0.305,0.324,0.332,0.345
artificial.22,0.0,0.108,0.154,0.175,0.186,0.198,0.21,0.22,0.229,0.242
artificial.23,0.0,0.189,0.229,0.243,0.261,0.275,0.283,0.296,0.303,0.309
artificial.24,0.0,0.133,0.168,0.204,0.212,0.227,0.232,0.239,0.246,0.25
artificial.25,0.0,0.135,0.176,0.206,0.227,0.238,0.249,0.258,0.27,0.276
artificial.26,0.0,0.25,0.298,0.34,0.368,0.393,0.411,0.42,0.431,0.439
artificial.27,0.0,0.324,0.372,0.416,0.442,0.456,0.472,0.481,0.492,0.501
artificial.28,0.0,0.248,0.31,0.335,0.357,0.375,0.386,0.393,0.399,0.405
artificial.29,0.0,0.15,0.188,0.214,0.237,0.25,0.268,0.282,0.291,0.303
artificial.30,0.0,0.326,0.375,0.395,0.41,0.427,0.441,0.457,0.467,0.48
artificial.31,0.0,0.345,0.391,0.422,0.448,0.469,0.48,0.494,0.505,0.521
artificial.32,0.0,0.338,0.383,0.4,0.406,0.415,0.424,0.428,0.433,0.439
artificial.33,0.0,0.362,0.404,0.421,0.426,0.435,0.443,0.446,0.449,0.452
artificial.34,0.0,0.089,0.126,0.145,0.158,0.176,0.186,0.192,0.199,0.206
artificial.35,0.0,0.063,0.089,0.108,0.127,0.135,0.145,0.154,0.164,0.168
artificial.36,0.0,0.344,0.378,0.406,0.426,0.441,0.447,0.46,0.472,0.48
artificial.37,0.0,0.283,0.344,0.377,0.403,0.421,0.436,0.464,0.473,0.486
artificial.38,0.0,0.058,0.08,0.085,0.096,0.104,0.118,0.119,0.131,0.139
artificial.39,0.001,0.251,0.314,0.343,0.354,0.367,0.377,0.388,0.396,0.404
artificial.40,0.0,0.027,0.039,0.048,0.056,0.064,0.07,0.074,0.085,0.096
artificial.41,0.0,0.056,0.076,0.093,0.102,0.112,0.124,0.132,0.141,0.147
artificial.42,0.0,0.05,0.071,0.083,0.092,0.101,0.111,0.127,0.136,0.143
artificial.43,0.0,0.133,0.173,0.194,0.206,0.216,0.222,0.233,0.249,0.257
artificial.44,0.0,0.072,0.088,0.097,0.105,0.113,0.121,0.127,0.132,0.138
artificial.45,0.0,0.051,0.064,0.071,0.083,0.091,0.095,0.101,0.11,0.116
artificial.46,0.0,0.061,0.086,0.102,0.114,0.128,0.139,0.146,0.155,0.167
