,Max Proba
CD8Tem_Frequency,0.902
CD41hiCD61hiPLT_p38,0.883
CD4Tem_Frequency,0.855
gdTcells_Frequency,0.717
CD41hiCD61hiPLT_S6,0.71
CCR2nncMC_Frequency,0.682
CD62LpImmatureNeutrophils_Frequency,0.668
Tregmem_Frequency,0.605
CD8Trm_Frequency,0.589
MDSC_Frequency,0.495
Th1naive_CREB,0.472
CD4Tcm_STAT3,0.38
Bcells_Frequency,0.367
Th1naive_p38,0.354
CD4Tnaive_Frequency,0.343
intMC_Frequency,0.334
CD62LnAgedNeutrophils_p38,0.329
MDSC_CREB,0.311
intMC_CREB,0.286
CCR2pcMC_CREB,0.284
Bcells_p38,0.277
Th1naive_MAPKAPK2,0.25
CCR2pcMC_Frequency,0.24
CD4Tcm_Frequency,0.225
CD4Tnaive_STAT3,0.218
CD8Tnaive_Frequency,0.202
Th1naive_STAT3,0.146
MDSC_MAPKAPK2,0.145
Tregnaive_STAT3,0.142
CD56dimCD16pNKcells_Frequency,0.135
CCR2pcMC_MAPKAPK2,0.074
mDC_CREB,0.065
mDC_Frequency,0.048
Th1mem_STAT3,0.045
CCR2pcMC_p38,0.027
MDSC_STAT3,0.025
NKT_Frequency,0.023
mDC_STAT3,0.014
mDC_p38,0.014
Tregnaive_IkB,0.014
intMC_p38,0.006
MDSC_p38,0.005
CD8Tcm_Frequency,0.004
