,Max Proba
CD41hiCD61hiPLT_p38,0.733
gdTcells_Frequency,0.687
CD41hiCD61hiPLT_S6,0.618
CD62LpImmatureNeutrophils_Frequency,0.538
Tregmem_Frequency,0.432
CD8Tem_Frequency,0.388
CD4Tnaive_Frequency,0.351
mDC_Frequency,0.337
Th1naive_p38,0.273
CD4Tem_Frequency,0.234
CCR2nncMC_Frequency,0.19
Bcells_Frequency,0.185
CD4Tcm_STAT3,0.179
intMC_Frequency,0.169
Th1naive_CREB,0.163
CD4Tcm_Frequency,0.142
Tregnaive_STAT3,0.134
Th1naive_MAPKAPK2,0.116
MDSC_Frequency,0.116
CD8Trm_Frequency,0.103
Th1naive_STAT3,0.08
CD8Tnaive_Frequency,0.059
Th1mem_STAT3,0.041
CD4Tnaive_STAT3,0.035
CD62LnAgedNeutrophils_p38,0.033
Bcells_p38,0.017
intMC_CREB,0.017
MDSC_CREB,0.016
CCR2pcMC_Frequency,0.011
CD56dimCD16pNKcells_Frequency,0.011
MDSC_STAT3,0.004
CD8Tcm_Frequency,0.004
CCR2pcMC_CREB,0.002
mDC_STAT3,0.002
NKT_Frequency,0.001
Tregnaive_IkB,0.001
intMC_p38,0.0
MDSC_MAPKAPK2,0.0
MDSC_p38,0.0
CCR2pcMC_MAPKAPK2,0.0
CCR2pcMC_p38,0.0
mDC_CREB,0.0
mDC_p38,0.0
