,Fold selected features,Fold nb of features
Fold 0,['CD62LnAgedNeutrophils_S6'],1
Fold 1,"['CD4Tnaive_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 2,['CD62LnAgedNeutrophils_S6'],1
Fold 3,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 4,['CD62LnAgedNeutrophils_S6'],1
Fold 5,"['CCR2pcMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 6,"['CCR2pcMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 7,['CD62LnAgedNeutrophils_S6'],1
Fold 8,"['CCR2pcMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 9,['CD62LnAgedNeutrophils_S6'],1
Fold 10,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 11,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 12,"['Bcells_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 13,[],0
Fold 14,['CD62LnAgedNeutrophils_S6'],1
Fold 15,['CD62LnAgedNeutrophils_S6'],1
Fold 16,['CD62LnAgedNeutrophils_S6'],1
Fold 17,"['CCR2pcMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 18,['CD62LnAgedNeutrophils_S6'],1
Fold 19,"['CCR2pcMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
