,C'=' 0.047,C'=' 0.564,C'=' 1.082,C'=' 1.599,C'=' 2.116,C'=' 2.633,C'=' 3.151,C'=' 3.668,C'=' 4.185,C'=' 4.703
artificial.1,0.0,0.127,0.298,0.357,0.389,0.401,0.422,0.428,0.434,0.442
artificial.2,0.0,0.019,0.018,0.02,0.028,0.029,0.03,0.03,0.032,0.033
artificial.3,0.0,0.101,0.167,0.191,0.206,0.211,0.216,0.222,0.226,0.234
artificial.4,0.0,0.015,0.036,0.042,0.047,0.05,0.05,0.053,0.058,0.06
artificial.5,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
artificial.6,0.0,0.044,0.081,0.107,0.112,0.126,0.135,0.141,0.146,0.145
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
artificial.8,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.9,0.0,0.171,0.249,0.275,0.287,0.291,0.309,0.312,0.316,0.324
artificial.10,0.0,0.256,0.291,0.299,0.307,0.31,0.312,0.313,0.317,0.318
artificial.11,0.0,0.066,0.085,0.098,0.098,0.105,0.113,0.112,0.114,0.118
artificial.12,0.0,0.006,0.011,0.019,0.021,0.02,0.02,0.022,0.023,0.024
artificial.13,0.0,0.001,0.005,0.008,0.01,0.011,0.011,0.012,0.013,0.015
artificial.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.0,0.022,0.02,0.019,0.02,0.018,0.019,0.019,0.019,0.02
artificial.16,0.0,0.241,0.263,0.266,0.268,0.269,0.263,0.271,0.268,0.262
artificial.17,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.001,0.002,0.002
artificial.18,0.0,0.253,0.392,0.417,0.425,0.438,0.441,0.449,0.452,0.45
artificial.19,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.20,0.0,0.027,0.045,0.05,0.051,0.054,0.055,0.053,0.053,0.052
artificial.21,0.0,0.199,0.436,0.492,0.52,0.532,0.543,0.55,0.559,0.567
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.001,0.004,0.013,0.021,0.027,0.036,0.039,0.043,0.042
artificial.25,0.0,0.002,0.002,0.001,0.001,0.001,0.003,0.003,0.004,0.004
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.002
artificial.28,0.0,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002
artificial.29,0.0,0.008,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001
artificial.30,0.0,0.023,0.057,0.087,0.101,0.116,0.123,0.132,0.133,0.141
artificial.31,0.0,0.459,0.529,0.546,0.554,0.566,0.57,0.571,0.581,0.582
artificial.32,0.0,0.0,0.0,0.003,0.004,0.004,0.004,0.004,0.004,0.004
artificial.33,0.0,0.0,0.001,0.002,0.004,0.004,0.004,0.004,0.004,0.004
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.0,0.007,0.015,0.019,0.02,0.02,0.024,0.027,0.031,0.031
artificial.37,0.0,0.003,0.011,0.018,0.026,0.03,0.032,0.036,0.035,0.039
artificial.38,0.0,0.587,0.688,0.718,0.735,0.742,0.749,0.752,0.754,0.761
artificial.39,0.0,0.001,0.003,0.003,0.004,0.006,0.006,0.006,0.006,0.006
artificial.40,0.0,0.021,0.029,0.029,0.028,0.029,0.03,0.029,0.03,0.031
artificial.41,0.0,0.032,0.056,0.067,0.071,0.075,0.077,0.078,0.078,0.079
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
artificial.43,0.0,0.314,0.447,0.485,0.512,0.519,0.523,0.532,0.54,0.541
artificial.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.45,0.0,0.005,0.009,0.013,0.015,0.015,0.021,0.023,0.025,0.026
artificial.46,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001
artificial.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.48,0.0,0.0,0.0,0.001,0.003,0.006,0.006,0.007,0.008,0.009
