,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006
artificial.2,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.011,0.014,0.032
artificial.3,0.0,0.023,0.145,0.285,0.386,0.512,0.612,0.704,0.741,0.768
artificial.4,0.0,0.0,0.0,0.0,0.0,0.008,0.017,0.025,0.036,0.053
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.0,0.3,0.383,0.431,0.482,0.503,0.539,0.6,0.641,0.668
artificial.9,0.0,0.011,0.02,0.031,0.031,0.031,0.035,0.041,0.047,0.066
artificial.10,0.0,0.0,0.012,0.039,0.056,0.079,0.119,0.161,0.213,0.268
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.151,0.234,0.275,0.366,0.449,0.493,0.546,0.61,0.659
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.016
artificial.14,0.0,0.012,0.054,0.106,0.183,0.289,0.358,0.446,0.542,0.592
artificial.15,0.0,0.0,0.0,0.026,0.058,0.081,0.138,0.151,0.178,0.253
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
artificial.17,0.0,0.0,0.01,0.017,0.026,0.067,0.081,0.12,0.149,0.161
artificial.18,0.0,0.095,0.154,0.199,0.264,0.301,0.373,0.411,0.467,0.499
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.0,0.418,0.556,0.645,0.679,0.739,0.761,0.798,0.842,0.874
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.008
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.011,0.014
artificial.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.016,0.02
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.014
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.0,0.0,0.01,0.022,0.078,0.128,0.183,0.26,0.338,0.383
artificial.29,0.0,0.0,0.002,0.009,0.018,0.07,0.126,0.187,0.28,0.32
artificial.30,0.0,0.0,0.0,0.0,0.008,0.021,0.044,0.067,0.091,0.136
artificial.31,0.0,0.045,0.1,0.133,0.175,0.226,0.246,0.328,0.389,0.45
artificial.32,0.0,0.015,0.036,0.068,0.136,0.181,0.242,0.338,0.38,0.429
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.0,0.045,0.159,0.299,0.475,0.713,0.797,0.844,0.914,0.932
artificial.37,0.0,0.0,0.0,0.0,0.003,0.003,0.004,0.031,0.031,0.048
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.0,0.0,0.0,0.0,0.0,0.005,0.013,0.013,0.02,0.023
artificial.40,0.0,0.0,0.0,0.0,0.007,0.022,0.026,0.033,0.041,0.073
artificial.41,0.0,0.0,0.0,0.0,0.007,0.007,0.007,0.015,0.019,0.042
artificial.42,0.0,0.0,0.019,0.095,0.199,0.304,0.379,0.405,0.462,0.504
artificial.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.44,0.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.0,0.0,0.004,0.004,0.032,0.046,0.059,0.069,0.092,0.117
artificial.47,0.0,0.092,0.525,0.718,0.787,0.827,0.868,0.868,0.877,0.882
artificial.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.018
artificial.49,0.0,0.011,0.05,0.093,0.21,0.296,0.394,0.48,0.563,0.68
artificial.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.01
artificial.51,0.0,0.0,0.0,0.008,0.025,0.061,0.092,0.138,0.194,0.285
artificial.52,0.0,0.0,0.0,0.008,0.008,0.008,0.008,0.008,0.008,0.02
artificial.53,0.0,0.453,0.585,0.7,0.796,0.874,0.921,0.939,0.969,0.986
artificial.54,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.007,0.014
artificial.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.02,0.03
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
artificial.58,0.0,0.0,0.0,0.027,0.049,0.06,0.096,0.148,0.197,0.232
artificial.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.0,0.645,0.752,0.818,0.887,0.923,0.942,0.96,0.965,0.972
artificial.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.0,0.0,0.0,0.0,0.006,0.009,0.044,0.108,0.163,0.218
artificial.63,0.0,0.0,0.045,0.077,0.121,0.188,0.264,0.354,0.428,0.473
artificial.64,0.0,0.04,0.145,0.253,0.41,0.489,0.551,0.638,0.68,0.709
artificial.65,0.0,0.063,0.181,0.273,0.385,0.435,0.503,0.55,0.612,0.66
artificial.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005
artificial.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.0,0.13,0.277,0.454,0.606,0.708,0.808,0.842,0.884,0.936
artificial.69,0.0,0.63,0.821,0.901,0.926,0.927,0.927,0.948,0.948,0.963
artificial.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.0,0.109,0.196,0.257,0.304,0.394,0.428,0.513,0.545,0.568
artificial.72,0.0,0.856,0.933,0.955,0.966,0.979,0.989,1.0,1.0,1.0
artificial.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.0,0.0,0.007,0.007,0.019,0.031,0.08,0.118,0.177,0.231
artificial.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
