,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_CREB
Feature n°3,CCR2nncMC_S6
Feature n°4,CCR2nncMC_Frequency
Feature n°5,CCR2pcMC_S6
Feature n°6,CCR2pcMC_Frequency
Feature n°7,CD41hiCD61hiPLT_p38
Feature n°8,CD4Tnaive_Frequency
Feature n°9,CD4Trm_S6
Feature n°10,CD4Trm_NFkB
Feature n°11,CD4Trm_STAT6
Feature n°12,CD56brightCD16nNKcells_Frequency
Feature n°13,CD61pCD41pPLT_STAT3
Feature n°14,CD62LnAgedNeutrophils_S6
Feature n°15,CD62LpImmatureNeutrophils_CREB
Feature n°16,CD62LpImmatureNeutrophils_S6
Feature n°17,CD62LpImmatureNeutrophils_Frequency
Feature n°18,gdTcells_IkB
Feature n°19,gdTcells_Frequency
Feature n°20,intMC_S6
Feature n°21,mDC_S6
Feature n°22,MDSC_S6
Feature n°23,pDC_STAT5
Feature n°24,pDC_S6
Feature n°25,Th1mem_STAT6
Feature n°26,Th1naive_S6
Feature n°27,Th1naive_NFkB
Feature n°28,Th1naive_ERK
Feature n°29,Tregmem_STAT5
Feature n°30,Tregnaive_STAT5
Feature n°31,Tregnaive_STAT6
