,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_MAPKAPK2', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_Frequency', 'intMC_S6', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_NFkB', 'Tregnaive_STAT5', 'Tregnaive_STAT6']",16
Fold 1,"['CCR2nncMC_MAPKAPK2', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD61pCD41pPLT_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'intMC_S6', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_NFkB', 'Tregmem_STAT5', 'Tregnaive_STAT6']",15
Fold 2,"['CCR2nncMC_S6', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'intMC_Frequency', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_ERK', 'Tregnaive_STAT5']",14
Fold 3,"['Bcells_Frequency', 'CCR2nncMC_MAPKAPK2', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'mDC_S6', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Tregmem_STAT5', 'Tregnaive_STAT5']",14
Fold 4,"['CCR2nncMC_S6', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_IkB', 'intMC_S6', 'intMC_Frequency', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT5', 'Th1mem_STAT6', 'Th1naive_NFkB', 'Tregnaive_STAT6']",15
Fold 5,"['Bcells_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_NFkB', 'CD4Trm_STAT6', 'CD61pCD41pPLT_CREB', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_IkB', 'pDC_STAT5', 'pDC_S6', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_STAT6', 'Tregnaive_STAT6']",15
Fold 6,"['CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'intMC_S6', 'pDC_STAT5', 'pDC_S6', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_ERK', 'Th1naive_STAT6']",16
Fold 7,"['CCR2nncMC_MAPKAPK2', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'intMC_S6', 'intMC_Frequency', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Th1naive_NFkB', 'Tregnaive_STAT5', 'Tregnaive_STAT6']",16
Fold 8,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_S6', 'CD4Trm_STAT6', 'CD56brightCD16nNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_IkB', 'mDC_S6', 'pDC_STAT5', 'Th1mem_STAT6', 'Tregnaive_STAT5', 'Tregnaive_IkB', 'Tregnaive_STAT6']",18
Fold 9,"['CCR2nncMC_MAPKAPK2', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD61pCD41pPLT_CREB', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'intMC_Frequency', 'pDC_STAT5', 'pDC_MAPKAPK2', 'Th1mem_STAT6', 'Tregnaive_STAT5', 'Tregnaive_STAT6']",14
