,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,"['CCR2nncMC_S6', 'CCR2nncMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_S6', 'CD62LnAgedNeutrophils_S6', 'pDC_MAPKAPK2', 'Tregnaive_STAT5', 'Tregnaive_IkB']",8
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,"['Bcells_Frequency', 'CCR2nncMC_S6', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'intMC_S6', 'Th1mem_STAT6', 'Th1naive_ERK']",9
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,[],0
