,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
artificial.1,0.0,0.022,0.066,0.088,0.088,0.096,0.098,0.103,0.104,0.131
artificial.2,0.0,0.09,0.107,0.125,0.136,0.161,0.169,0.182,0.214,0.234
artificial.3,0.0,0.0,0.013,0.04,0.112,0.173,0.21,0.261,0.298,0.351
artificial.4,0.0,0.025,0.061,0.076,0.099,0.104,0.123,0.14,0.157,0.175
artificial.5,0.0,0.01,0.019,0.027,0.027,0.027,0.027,0.032,0.041,0.053
artificial.6,0.0,0.317,0.429,0.466,0.477,0.515,0.524,0.527,0.533,0.536
artificial.7,0.0,0.147,0.195,0.237,0.278,0.296,0.325,0.35,0.352,0.369
artificial.8,0.0,0.182,0.353,0.413,0.476,0.531,0.569,0.59,0.629,0.644
artificial.9,0.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.10,0.0,0.004,0.009,0.02,0.033,0.046,0.052,0.052,0.052,0.058
artificial.11,0.0,0.31,0.484,0.512,0.561,0.582,0.661,0.677,0.688,0.709
artificial.12,0.0,0.856,0.899,0.904,0.904,0.904,0.904,0.904,0.904,0.904
artificial.13,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.015
artificial.14,0.0,0.224,0.448,0.549,0.606,0.629,0.652,0.675,0.683,0.705
artificial.15,0.0,0.035,0.14,0.207,0.271,0.305,0.354,0.383,0.405,0.42
artificial.16,0.0,0.726,0.811,0.827,0.841,0.855,0.858,0.871,0.877,0.893
artificial.17,0.0,0.225,0.349,0.427,0.474,0.503,0.513,0.547,0.563,0.603
artificial.18,0.0,0.136,0.191,0.199,0.225,0.228,0.239,0.248,0.259,0.265
artificial.19,0.0,0.836,0.835,0.845,0.859,0.859,0.864,0.866,0.87,0.87
artificial.20,0.0,0.0,0.0,0.008,0.008,0.013,0.018,0.018,0.018,0.022
artificial.21,0.0,0.119,0.146,0.147,0.123,0.129,0.129,0.129,0.123,0.123
artificial.22,0.0,0.384,0.686,0.779,0.809,0.838,0.856,0.856,0.856,0.856
artificial.23,0.0,0.0,0.003,0.003,0.003,0.003,0.003,0.009,0.013,0.013
artificial.24,0.0,0.751,0.792,0.808,0.811,0.826,0.84,0.846,0.874,0.891
artificial.25,0.0,0.132,0.204,0.25,0.287,0.318,0.378,0.42,0.429,0.471
artificial.26,0.0,0.775,0.837,0.867,0.889,0.924,0.924,0.934,0.937,0.953
artificial.27,0.0,0.603,0.572,0.553,0.557,0.557,0.557,0.549,0.55,0.555
artificial.28,0.0,0.089,0.105,0.115,0.125,0.133,0.136,0.136,0.143,0.143
artificial.29,0.0,0.006,0.027,0.064,0.097,0.11,0.128,0.136,0.155,0.175
artificial.30,0.0,0.033,0.072,0.092,0.115,0.133,0.149,0.172,0.172,0.183
artificial.31,0.0,0.615,0.658,0.728,0.761,0.812,0.82,0.824,0.832,0.846
artificial.32,0.0,0.086,0.092,0.103,0.103,0.111,0.114,0.114,0.123,0.131
artificial.33,0.0,0.221,0.323,0.381,0.441,0.479,0.516,0.543,0.555,0.569
artificial.34,0.0,0.992,0.992,0.994,1.0,1.0,1.0,1.0,1.0,1.0
artificial.35,0.0,0.143,0.327,0.373,0.431,0.452,0.478,0.5,0.503,0.507
artificial.36,0.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.37,0.0,0.0,0.0,0.002,0.004,0.014,0.022,0.022,0.022,0.022
artificial.38,0.0,0.131,0.384,0.56,0.68,0.738,0.76,0.797,0.81,0.832
artificial.39,0.0,0.594,0.783,0.851,0.876,0.891,0.895,0.895,0.9,0.9
artificial.40,0.0,0.092,0.092,0.093,0.093,0.093,0.093,0.101,0.101,0.106
artificial.41,0.0,0.88,0.92,0.943,0.959,0.959,0.97,0.973,0.973,0.973
artificial.42,0.0,0.317,0.423,0.472,0.516,0.564,0.593,0.62,0.664,0.702
artificial.43,0.0,0.562,0.662,0.67,0.699,0.717,0.725,0.731,0.731,0.737
