,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_Frequency
Feature n°3,CCR2pcMC_STAT3
Feature n°4,CCR2pcMC_Frequency
Feature n°5,CD41hiCD61hiPLT_S6
Feature n°6,CD4Tcm_Frequency
Feature n°7,CD4Tem_STAT3
Feature n°8,CD4Tem_Frequency
Feature n°9,CD4Tnaive_Frequency
Feature n°10,CD4Trm_Frequency
Feature n°11,CD56dimCD16pNKcells_Frequency
Feature n°12,CD62LnAgedNeutrophils_CREB
Feature n°13,CD62LnAgedNeutrophils_S6
Feature n°14,CD62LpImmatureNeutrophils_CREB
Feature n°15,CD62LpImmatureNeutrophils_S6
Feature n°16,CD8Tcm_STAT3
Feature n°17,CD8Tcm_Frequency
Feature n°18,CD8Tem_Frequency
Feature n°19,CD8Tnaive_STAT3
Feature n°20,gdTcells_Frequency
Feature n°21,mDC_STAT3
Feature n°22,mDC_Frequency
Feature n°23,MDSC_STAT3
Feature n°24,MDSC_Frequency
Feature n°25,NKT_Frequency
Feature n°26,Th1naive_CREB
Feature n°27,Th1naive_STAT3
Feature n°28,Th1naive_S6
Feature n°29,Tregmem_Frequency
