,C'=' 0.052,C'=' 0.623,C'=' 1.195,C'=' 1.766,C'=' 2.337,C'=' 2.909,C'=' 3.480,C'=' 4.051,C'=' 4.623,C'=' 5.194
Bcells_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_Frequency,0.0,0.638,0.494,0.47,0.432,0.389,0.378,0.377,0.377,0.38
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.007,0.007,0.007
CCR2pcMC_MAPKAPK2,0.0,0.016,0.016,0.009,0.002,0.002,0.002,0.007,0.007,0.008
CCR2pcMC_Frequency,0.0,0.746,0.861,0.88,0.88,0.88,0.88,0.88,0.885,0.887
CD41hiCD61hiPLT_S6,0.0,0.193,0.259,0.294,0.306,0.3,0.291,0.289,0.284,0.286
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT3,0.0,0.017,0.087,0.129,0.161,0.161,0.167,0.175,0.187,0.187
CD4Tem_Frequency,0.0,0.424,0.664,0.715,0.725,0.731,0.733,0.746,0.747,0.746
CD4Tnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_Frequency,0.0,0.445,0.505,0.492,0.492,0.468,0.457,0.454,0.45,0.452
CD4Trm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Trm_Frequency,0.0,0.082,0.127,0.143,0.154,0.165,0.184,0.185,0.187,0.186
CD56dimCD16pNKcells_Frequency,0.0,0.134,0.114,0.13,0.142,0.153,0.155,0.154,0.162,0.163
CD62LnAgedNeutrophils_CREB,0.0,0.0,0.007,0.007,0.019,0.022,0.022,0.022,0.03,0.03
CD62LnAgedNeutrophils_S6,0.0,0.771,0.694,0.629,0.604,0.603,0.597,0.591,0.59,0.594
CD62LpImmatureNeutrophils_CREB,0.0,0.098,0.134,0.155,0.175,0.184,0.192,0.191,0.224,0.228
CD62LpImmatureNeutrophils_S6,0.0,0.421,0.583,0.625,0.641,0.658,0.671,0.682,0.695,0.705
CD62LpImmatureNeutrophils_Frequency,0.0,0.007,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
CD8Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.008,0.008,0.008
CD8Tcm_Frequency,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.004,0.004,0.004
CD8Tem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_STAT3,0.0,0.0,0.003,0.01,0.014,0.014,0.016,0.018,0.018,0.024
CD8Tnaive_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Trm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdTcells_Frequency,0.0,0.112,0.432,0.546,0.59,0.626,0.649,0.658,0.66,0.663
intMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMC_Frequency,0.0,0.006,0.021,0.05,0.059,0.076,0.076,0.079,0.089,0.093
mDC_CREB,0.0,0.004,0.014,0.01,0.01,0.01,0.01,0.01,0.017,0.017
mDC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDC_STAT3,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDC_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_Frequency,0.0,0.056,0.258,0.364,0.403,0.416,0.433,0.436,0.435,0.447
NKT_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1mem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1naive_CREB,0.0,0.046,0.067,0.096,0.111,0.129,0.122,0.127,0.127,0.124
Th1naive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1naive_S6,0.0,0.695,0.626,0.585,0.548,0.539,0.525,0.505,0.49,0.485
Tregmem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregmem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
