,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.264907042,0.464361691,0.400651805,0.0,0.0,0.49146346,0.277191171,1.539172136,0.492710452,0.05762923,0.050040965,0.573701537
1330,0.314734674,0.377679428,0.320119727,0.0,0.0,0.125630512,0.231554515,1.194303187,0.243629662,0.111607277,0.019434672,0.510976278
1331,0.294537463,0.408240891,0.451879443,0.0,0.0,0.203407706,0.292210402,1.373803719,0.396097542,0.006175097,0.036013861,0.394468894
1337,0.692041522,0.50007038,0.381349358,0.047367199,0.0,0.108228138,0.329381387,1.09298338,0.340493836,0.06120695,0.023555318,0.528742851
1357,0.100885827,0.468866631,0.26400259,0.0,0.0,0.089063009,0.272742656,1.305795968,0.31327984,0.058737915,0.010670884,0.518591563
1377,0.037796069,0.5450207,0.43341021,0.0,0.0,1.500040485,0.161710631,1.131919754,0.349250303,0.065675172,0.0,0.567774232
1381,0.097373259,0.604311701,0.406166522,0.0,0.0,0.46138162,0.208607554,1.227988132,0.275228078,0.0,0.017479385,0.385257782
1400,0.097560976,0.224963856,0.432562301,0.0,0.0,0.03991176,0.216729085,1.253990873,0.24564264,0.0,0.0,0.582811105
1414,0.263430568,0.74186501,0.331737149,0.079801715,0.0,0.21188522,0.395048492,1.511202742,0.49737436,0.060715219,0.065390816,0.610137973
1418,0.080848714,0.573064483,0.388627994,0.006888036,0.0,0.0,0.377892183,1.608982327,0.322733766,0.108112805,0.118371485,0.501445066
1427,0.085802917,0.381976479,0.306665012,0.0,0.0,0.242001863,0.192925835,1.487392711,0.341316218,0.048330054,0.021216406,0.64116876
1428,0.322168467,0.325050986,0.251743997,0.0,0.0,0.171210064,0.278155656,1.198933457,0.245080909,0.01773372,0.022089729,0.46987204
1431,0.033413685,0.64442124,0.263484407,0.016272917,0.0,0.033923891,0.378402358,1.147583624,0.347972842,0.0,0.104237113,0.319459261
1464,0.261239558,0.769974086,0.350363033,0.00388846,0.0,0.138850997,0.326670391,1.429718808,0.270285208,0.033456753,0.02603449,0.470484402
1469,0.065445026,0.701538263,0.346898901,0.085865761,0.0,0.319921956,0.345396462,1.504078626,0.275693752,0.0,0.045331362,0.476089798
1472,0.563277006,0.549023593,0.402438068,0.062759828,0.0,0.212538317,0.681662186,1.673215493,0.256208607,0.028082829,0.0,0.492651264
1473,0.100971041,0.423086818,0.395102249,0.0,0.0,0.034211992,0.500561428,1.502781803,0.153672997,0.0,0.06246884,0.364182061
1475,0.254123396,0.335498999,0.447927914,0.014227555,0.0,0.088352236,0.581048196,1.578984634,0.187064568,0.026329383,0.0,0.566773998
1480,0.166824111,0.328951894,0.302889305,0.000187427,0.0,0.117160891,0.524486067,1.461288774,0.192432184,0.0,0.0,0.482418654
1488,0.2279527,0.486240488,0.337322645,0.0187234,0.0,0.169935957,0.582207055,1.504158194,0.330747262,0.055356699,0.002860368,0.477561608
