,Fold selected features,Fold nb of features
Fold 0,"['NFkB', 'Frequency']",2
Fold 1,"['CREB', 'Frequency']",2
Fold 2,"['CREB', 'Frequency']",2
Fold 3,"['NFkB', 'Frequency']",2
Fold 4,"['CREB', 'Frequency']",2
Fold 5,"['CREB', 'Frequency']",2
Fold 6,"['CREB', 'Frequency']",2
Fold 7,"['CREB', 'IkB', 'Frequency']",3
Fold 8,"['NFkB', 'Frequency']",2
Fold 9,"['NFkB', 'Frequency']",2
Fold 10,['Frequency'],1
Fold 11,"['CREB', 'Frequency']",2
Fold 12,"['CREB', 'Frequency']",2
Fold 13,['Frequency'],1
Fold 14,"['CREB', 'Frequency']",2
Fold 15,"['CREB', 'Frequency']",2
Fold 16,"['CREB', 'Frequency']",2
Fold 17,"['CREB', 'Frequency']",2
Fold 18,"['CREB', 'Frequency']",2
Fold 19,"['NFkB', 'Frequency']",2
Fold 20,['Frequency'],1
Fold 21,"['NFkB', 'Frequency']",2
Fold 22,"['CREB', 'Frequency']",2
Fold 23,"['CREB', 'Frequency']",2
Fold 24,"['CREB', 'Frequency']",2
Fold 25,"['CREB', 'Frequency']",2
Fold 26,"['CREB', 'Frequency']",2
Fold 27,"['CREB', 'Frequency']",2
Fold 28,"['CREB', 'IkB', 'Frequency']",3
Fold 29,"['NFkB', 'Frequency']",2
Fold 30,"['CREB', 'Frequency']",2
Fold 31,"['CREB', 'Frequency']",2
Fold 32,['Frequency'],1
Fold 33,"['CREB', 'Frequency']",2
Fold 34,"['NFkB', 'Frequency']",2
Fold 35,"['CREB', 'Frequency']",2
Fold 36,"['CREB', 'Frequency']",2
Fold 37,"['CREB', 'Frequency']",2
Fold 38,"['NFkB', 'Frequency']",2
Fold 39,"['NFkB', 'Frequency']",2
Fold 40,"['CREB', 'Frequency']",2
Fold 41,"['CREB', 'Frequency']",2
Fold 42,"['NFkB', 'Frequency']",2
Fold 43,"['CREB', 'Frequency']",2
Fold 44,"['CREB', 'Frequency']",2
Fold 45,"['NFkB', 'Frequency']",2
Fold 46,"['NFkB', 'Frequency']",2
Fold 47,"['CREB', 'Frequency']",2
Fold 48,"['CREB', 'Frequency']",2
Fold 49,"['CREB', 'Frequency']",2
Fold 50,"['CREB', 'Frequency']",2
Fold 51,"['CREB', 'Frequency']",2
Fold 52,"['NFkB', 'Frequency']",2
Fold 53,['Frequency'],1
Fold 54,"['CREB', 'Frequency']",2
Fold 55,['Frequency'],1
Fold 56,"['CREB', 'IkB', 'Frequency']",3
