,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'Frequency']",2
Fold 1,"['CREB', 'p38', 'Frequency']",3
Fold 2,"['CREB', 'p38', 'Frequency']",3
Fold 3,"['CREB', 'p38', 'Frequency']",3
Fold 4,"['CREB', 'Frequency']",2
Fold 5,"['CREB', 'p38', 'Frequency']",3
Fold 6,"['CREB', 'p38', 'Frequency']",3
Fold 7,"['CREB', 'p38', 'Frequency']",3
Fold 8,"['CREB', 'p38', 'Frequency']",3
Fold 9,"['CREB', 'p38', 'Frequency']",3
Fold 10,"['CREB', 'p38', 'Frequency']",3
Fold 11,"['CREB', 'p38', 'Frequency']",3
Fold 12,"['CREB', 'p38', 'Frequency']",3
Fold 13,"['CREB', 'p38', 'Frequency']",3
Fold 14,"['CREB', 'p38', 'Frequency']",3
Fold 15,"['CREB', 'p38', 'Frequency']",3
Fold 16,"['CREB', 'Frequency']",2
Fold 17,"['CREB', 'p38', 'Frequency']",3
Fold 18,"['CREB', 'p38', 'Frequency']",3
Fold 19,"['CREB', 'Frequency']",2
Fold 20,"['CREB', 'p38', 'Frequency']",3
Fold 21,"['CREB', 'p38', 'Frequency']",3
Fold 22,"['CREB', 'p38', 'Frequency']",3
Fold 23,"['CREB', 'p38', 'Frequency']",3
Fold 24,"['CREB', 'p38', 'Frequency']",3
Fold 25,"['CREB', 'p38', 'Frequency']",3
Fold 26,"['CREB', 'p38', 'Frequency']",3
Fold 27,"['CREB', 'Frequency']",2
Fold 28,"['CREB', 'p38', 'Frequency']",3
Fold 29,"['CREB', 'Frequency']",2
Fold 30,"['CREB', 'p38', 'Frequency']",3
Fold 31,"['CREB', 'p38', 'Frequency']",3
Fold 32,"['CREB', 'p38', 'Frequency']",3
Fold 33,"['CREB', 'p38', 'Frequency']",3
Fold 34,"['CREB', 'p38', 'Frequency']",3
Fold 35,"['CREB', 'Frequency']",2
Fold 36,"['CREB', 'p38', 'Frequency']",3
Fold 37,"['CREB', 'p38', 'Frequency']",3
Fold 38,"['CREB', 'Frequency']",2
Fold 39,"['CREB', 'p38', 'Frequency']",3
Fold 40,"['CREB', 'p38', 'Frequency']",3
Fold 41,"['CREB', 'Frequency']",2
Fold 42,"['CREB', 'Frequency']",2
Fold 43,"['CREB', 'p38', 'Frequency']",3
Fold 44,"['CREB', 'p38', 'Frequency']",3
Fold 45,"['CREB', 'p38', 'Frequency']",3
Fold 46,"['CREB', 'p38', 'Frequency']",3
Fold 47,"['CREB', 'p38', 'Frequency']",3
Fold 48,"['CREB', 'p38', 'Frequency']",3
Fold 49,"['CREB', 'p38', 'Frequency']",3
Fold 50,"['CREB', 'p38', 'Frequency']",3
Fold 51,"['CREB', 'p38', 'Frequency']",3
Fold 52,"['CREB', 'p38', 'Frequency']",3
Fold 53,"['CREB', 'p38', 'Frequency']",3
Fold 54,"['CREB', 'p38', 'Frequency']",3
Fold 55,"['CREB', 'p38', 'Frequency']",3
Fold 56,"['CREB', 'p38', 'Frequency']",3
Fold 57,"['CREB', 'p38', 'Frequency']",3
Fold 58,"['CREB', 'Frequency']",2
Fold 59,"['CREB', 'Frequency']",2
Fold 60,"['CREB', 'Frequency']",2
Fold 61,"['CREB', 'p38', 'Frequency']",3
Fold 62,"['CREB', 'Frequency']",2
Fold 63,"['CREB', 'Frequency']",2
Fold 64,"['CREB', 'p38', 'Frequency']",3
Fold 65,"['CREB', 'p38', 'Frequency']",3
Fold 66,"['CREB', 'p38', 'Frequency']",3
Fold 67,"['CREB', 'p38', 'Frequency']",3
Fold 68,"['CREB', 'p38', 'Frequency']",3
Fold 69,"['CREB', 'p38', 'Frequency']",3
Fold 70,"['CREB', 'p38', 'Frequency']",3
Fold 71,"['CREB', 'p38', 'Frequency']",3
Fold 72,"['CREB', 'p38', 'Frequency']",3
Fold 73,"['CREB', 'Frequency']",2
Fold 74,"['CREB', 'p38', 'Frequency']",3
Fold 75,"['CREB', 'p38', 'Frequency']",3
Fold 76,"['CREB', 'p38', 'Frequency']",3
Fold 77,"['CREB', 'p38', 'Frequency']",3
Fold 78,"['CREB', 'p38', 'Frequency']",3
Fold 79,"['CREB', 'p38', 'Frequency']",3
Fold 80,"['CREB', 'p38', 'Frequency']",3
Fold 81,"['CREB', 'p38', 'Frequency']",3
Fold 82,"['CREB', 'p38', 'Frequency']",3
Fold 83,"['CREB', 'p38', 'Frequency']",3
Fold 84,"['CREB', 'Frequency']",2
Fold 85,"['CREB', 'p38', 'Frequency']",3
Fold 86,"['CREB', 'p38', 'Frequency']",3
Fold 87,"['CREB', 'p38', 'Frequency']",3
Fold 88,"['CREB', 'p38', 'Frequency']",3
Fold 89,"['CREB', 'p38', 'Frequency']",3
Fold 90,"['CREB', 'p38', 'Frequency']",3
Fold 91,"['CREB', 'Frequency']",2
Fold 92,"['CREB', 'p38', 'Frequency']",3
Fold 93,"['CREB', 'Frequency']",2
Fold 94,"['CREB', 'p38', 'Frequency']",3
Fold 95,"['CREB', 'Frequency']",2
Fold 96,"['CREB', 'p38', 'Frequency']",3
Fold 97,"['CREB', 'p38', 'Frequency']",3
Fold 98,"['CREB', 'p38', 'Frequency']",3
Fold 99,"['CREB', 'p38', 'Frequency']",3
Fold 100,"['CREB', 'p38', 'Frequency']",3
Fold 101,"['CREB', 'p38', 'Frequency']",3
Fold 102,"['CREB', 'p38', 'Frequency']",3
Fold 103,"['CREB', 'p38', 'Frequency']",3
Fold 104,"['CREB', 'p38', 'Frequency']",3
Fold 105,"['CREB', 'p38', 'Frequency']",3
