,Spearman corr,pvalue
CREB,-0.3295017884191656,0.1559933352870714
ERK,-0.2427907914667536,0.3023454554274212
STAT1,-0.22941573387056172,0.3305649312781844
NFkB,-0.20810639268578882,0.3786152471949078
Frequency,0.20810639268578882,0.3786152471949078
MAPKAPK2,-0.1387375951238592,0.5596674186533706
S6,-0.1213953957333768,0.6101689948464966
STAT5,-0.10405319634289441,0.6624265026477676
IkB,0.10405319634289441,0.6624265026477676
p38,0.03494816226644152,0.8837056246977779
STAT6,-0.0346843987809648,0.8845776882078991
STAT3,-0.008674361346549043,0.97104671068053
