,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 2,"['MAPKAPK2', 'CREB', 'Frequency']",3
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 7,[],0
Fold 8,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 9,"['MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 10,"['MAPKAPK2', 'NFkB']",2
Fold 11,[],0
Fold 12,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 13,['MAPKAPK2'],1
Fold 14,[],0
Fold 15,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 16,[],0
Fold 17,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 18,"['MAPKAPK2', 'NFkB']",2
Fold 19,[],0
Fold 20,"['MAPKAPK2', 'CREB']",2
Fold 21,"['MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 22,"['MAPKAPK2', 'CREB', 'Frequency']",3
Fold 23,[],0
Fold 24,[],0
Fold 25,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 26,"['MAPKAPK2', 'NFkB']",2
Fold 27,[],0
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 32,"['MAPKAPK2', 'NFkB']",2
Fold 33,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 34,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 35,[],0
Fold 36,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 37,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 38,[],0
Fold 39,[],0
Fold 40,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 41,[],0
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 46,"['MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 47,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 48,[],0
Fold 49,"['MAPKAPK2', 'NFkB']",2
Fold 50,"['MAPKAPK2', 'CREB', 'Frequency']",3
Fold 51,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 52,[],0
Fold 53,"['MAPKAPK2', 'NFkB']",2
Fold 54,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 55,['MAPKAPK2'],1
Fold 56,[],0
Fold 57,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 58,[],0
Fold 59,[],0
Fold 60,[],0
Fold 61,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 62,[],0
Fold 63,[],0
Fold 64,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 65,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 66,[],0
Fold 67,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 68,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 69,"['MAPKAPK2', 'NFkB', 'CREB']",3
Fold 70,[],0
Fold 71,"['MAPKAPK2', 'CREB']",2
Fold 72,"['MAPKAPK2', 'CREB', 'Frequency']",3
Fold 73,[],0
Fold 74,[],0
Fold 75,[],0
Fold 76,"['MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 77,"['MAPKAPK2', 'NFkB']",2
Fold 78,[],0
Fold 79,"['MAPKAPK2', 'NFkB']",2
Fold 80,[],0
Fold 81,[],0
Fold 82,"['MAPKAPK2', 'NFkB', 'CREB']",3
