,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'Frequency']",2
Fold 1,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 2,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 3,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 4,['Frequency'],1
Fold 5,"['CREB', 'p38', 'Frequency']",3
Fold 6,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 7,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 8,"['CREB', 'p38', 'Frequency']",3
Fold 9,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 10,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 11,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 12,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 13,"['p38', 'IkB', 'Frequency']",3
Fold 14,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 15,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 16,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 17,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 18,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 19,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 20,"['p38', 'IkB', 'Frequency']",3
Fold 21,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 22,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 23,"['CREB', 'p38', 'Frequency']",3
Fold 24,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 25,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 26,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 27,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 28,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 29,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 30,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 31,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 32,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 33,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 34,"['CREB', 'p38', 'Frequency']",3
Fold 35,['Frequency'],1
Fold 36,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 37,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 38,"['CREB', 'Frequency']",2
Fold 39,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 40,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 41,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 42,"['CREB', 'Frequency']",2
Fold 43,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 44,"['CREB', 'p38', 'Frequency']",3
Fold 45,"['CREB', 'p38', 'Frequency']",3
Fold 46,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 47,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 48,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 49,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 50,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 51,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 52,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 53,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 54,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 55,"['p38', 'IkB', 'Frequency']",3
Fold 56,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 57,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 58,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 59,['Frequency'],1
Fold 60,"['CREB', 'Frequency']",2
Fold 61,"['CREB', 'p38', 'Frequency']",3
Fold 62,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 63,['Frequency'],1
Fold 64,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 65,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 66,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 67,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 68,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 69,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 70,"['CREB', 'p38', 'Frequency']",3
Fold 71,"['p38', 'IkB', 'Frequency']",3
Fold 72,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 73,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 74,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 75,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 76,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 77,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 78,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 79,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 80,"['CREB', 'p38', 'Frequency']",3
Fold 81,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 82,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 83,"['p38', 'IkB', 'Frequency']",3
Fold 84,"['CREB', 'Frequency']",2
Fold 85,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 86,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 87,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 88,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 89,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 90,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 91,['Frequency'],1
Fold 92,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 93,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 94,"['CREB', 'p38', 'Frequency']",3
Fold 95,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 96,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 97,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 98,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 99,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 100,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 101,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 102,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 103,"['CREB', 'p38', 'Frequency']",3
Fold 104,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 105,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 106,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 107,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 108,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 109,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 110,"['CREB', 'p38', 'Frequency']",3
Fold 111,"['p38', 'IkB', 'Frequency']",3
Fold 112,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 113,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 114,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 115,['Frequency'],1
Fold 116,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 117,"['CREB', 'Frequency']",2
Fold 118,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 119,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 120,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 121,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 122,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 123,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 124,"['CREB', 'IkB', 'MAPKAPK2', 'Frequency']",4
Fold 125,"['CREB', 'p38', 'Frequency']",3
Fold 126,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 127,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 128,"['CREB', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 129,"['CREB', 'p38', 'IkB', 'MAPKAPK2', 'Frequency']",5
