,Fold selected features,Fold nb of features
Fold 0,"['STAT3', 'S6', 'IkB']",3
Fold 1,[],0
Fold 2,[],0
Fold 3,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 4,"['CREB', 'S6', 'IkB']",3
Fold 5,"['CREB', 'S6', 'IkB']",3
Fold 6,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 7,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 12,[],0
Fold 13,[],0
Fold 14,"['STAT3', 'S6', 'IkB']",3
Fold 15,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,"['CREB', 'S6', 'IkB']",3
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,"['CREB', 'S6', 'IkB']",3
Fold 24,"['STAT3', 'S6', 'IkB']",3
Fold 25,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 26,[],0
Fold 27,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 28,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 29,"['CREB', 'S6', 'IkB']",3
Fold 30,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,"['CREB', 'S6', 'IkB']",3
Fold 36,[],0
Fold 37,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 38,"['STAT3', 'S6', 'IkB']",3
Fold 39,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 40,[],0
Fold 41,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 42,"['STAT3', 'S6', 'IkB']",3
Fold 43,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 44,"['CREB', 'S6', 'IkB']",3
Fold 45,[],0
Fold 46,[],0
Fold 47,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 48,"['STAT3', 'S6', 'IkB']",3
Fold 49,[],0
Fold 50,[],0
Fold 51,[],0
Fold 52,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 53,[],0
Fold 54,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 55,[],0
Fold 56,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 57,[],0
Fold 58,"['CREB', 'S6', 'IkB']",3
Fold 59,"['CREB', 'S6', 'IkB']",3
Fold 60,"['STAT3', 'S6', 'IkB']",3
Fold 61,[],0
Fold 62,"['CREB', 'S6', 'IkB']",3
Fold 63,"['CREB', 'S6', 'IkB']",3
Fold 64,[],0
Fold 65,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 66,"['STAT3', 'S6', 'IkB']",3
Fold 67,[],0
Fold 68,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 69,[],0
Fold 70,"['CREB', 'S6', 'IkB']",3
Fold 71,[],0
Fold 72,[],0
Fold 73,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 74,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 75,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 76,[],0
Fold 77,[],0
Fold 78,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 79,[],0
Fold 80,"['CREB', 'S6', 'IkB']",3
Fold 81,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 82,[],0
Fold 83,[],0
Fold 84,"['STAT3', 'S6', 'IkB']",3
Fold 85,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 86,[],0
Fold 87,[],0
Fold 88,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 89,"['STAT3', 'S6', 'IkB']",3
Fold 90,[],0
Fold 91,"['CREB', 'S6', 'IkB']",3
Fold 92,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 93,"['CREB', 'S6', 'IkB']",3
Fold 94,[],0
Fold 95,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 100,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 101,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 102,"['STAT3', 'S6', 'IkB']",3
Fold 103,"['CREB', 'S6', 'IkB']",3
Fold 104,[],0
Fold 105,[],0
Fold 106,[],0
Fold 107,[],0
Fold 108,[],0
Fold 109,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 110,[],0
Fold 111,[],0
Fold 112,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 113,[],0
Fold 114,[],0
Fold 115,"['CREB', 'S6', 'IkB']",3
Fold 116,"['CREB', 'S6', 'IkB']",3
Fold 117,"['STAT3', 'S6', 'IkB']",3
Fold 118,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 119,[],0
Fold 120,[],0
Fold 121,[],0
Fold 122,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 123,[],0
Fold 124,[],0
Fold 125,"['CREB', 'S6', 'IkB']",3
Fold 126,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 127,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 128,"['STAT3', 'S6', 'IkB']",3
Fold 129,[],0
Fold 130,[],0
Fold 131,[],0
Fold 132,"['STAT3', 'S6', 'IkB']",3
Fold 133,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 134,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 135,[],0
Fold 136,[],0
Fold 137,[],0
Fold 138,"['CREB', 'S6', 'IkB']",3
Fold 139,"['CREB', 'S6', 'IkB']",3
Fold 140,[],0
Fold 141,[],0
Fold 142,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 143,"['CREB', 'S6', 'IkB']",3
Fold 144,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 145,[],0
Fold 146,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 147,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 148,[],0
Fold 149,"['CREB', 'S6', 'IkB']",3
Fold 150,[],0
Fold 151,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 152,"['CREB', 'S6', 'IkB']",3
Fold 153,[],0
Fold 154,[],0
Fold 155,"['STAT3', 'S6', 'IkB']",3
Fold 156,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 157,[],0
Fold 158,[],0
Fold 159,"['STAT3', 'S6', 'IkB']",3
Fold 160,[],0
Fold 161,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 162,[],0
Fold 163,[],0
Fold 164,"['STAT3', 'S6', 'IkB']",3
Fold 165,[],0
Fold 166,"['STAT3', 'S6', 'IkB']",3
Fold 167,"['CREB', 'S6', 'IkB']",3
Fold 168,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 169,"['CREB', 'S6', 'IkB']",3
Fold 170,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 171,[],0
Fold 172,[],0
Fold 173,[],0
Fold 174,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 175,[],0
Fold 176,[],0
Fold 177,[],0
Fold 178,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 179,"['CREB', 'S6', 'IkB']",3
Fold 180,"['STAT3', 'S6', 'IkB']",3
Fold 181,[],0
Fold 182,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 183,[],0
Fold 184,[],0
Fold 185,"['CREB', 'S6', 'IkB']",3
Fold 186,[],0
Fold 187,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 188,[],0
Fold 189,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 190,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 191,[],0
Fold 192,"['CREB', 'S6', 'IkB']",3
Fold 193,[],0
Fold 194,"['STAT3', 'S6', 'IkB']",3
Fold 195,[],0
Fold 196,"['CREB', 'S6', 'IkB']",3
Fold 197,[],0
Fold 198,[],0
Fold 199,"['CREB', 'STAT3', 'S6', 'IkB']",4
