,Spearman corr,pvalue
S6,0.520265981714472,0.018692511424373982
NFkB,-0.49090909090909096,0.027958567357516867
Frequency,0.43355498476205995,0.056166935591136946
MAPKAPK2,-0.3459316942115039,0.13517160218626723
CREB,-0.2427907914667536,0.3023454554274212
ERK,-0.22941573387056172,0.3305649312781844
STAT6,-0.22941573387056172,0.3305649312781844
IkB,-0.20810639268578882,0.3786152471949078
p38,-0.1417539823876668,0.5510769864771445
STAT3,-0.052026598171447204,0.827557337051562
STAT5,0.0,1.0
STAT1,,
