,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,[],0
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,[],0
Fold 7,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 8,[],0
Fold 9,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 10,[],0
Fold 11,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 12,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 13,[],0
Fold 14,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 15,[],0
Fold 16,[],0
Fold 17,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 18,[],0
Fold 19,[],0
Fold 20,[],0
Fold 21,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 22,[],0
Fold 23,[],0
Fold 24,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 29,[],0
Fold 30,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 31,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 32,[],0
Fold 33,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 34,[],0
Fold 35,[],0
Fold 36,[],0
Fold 37,[],0
Fold 38,[],0
Fold 39,[],0
Fold 40,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 41,[],0
Fold 42,[],0
Fold 43,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 44,[],0
Fold 45,[],0
Fold 46,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 47,[],0
Fold 48,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 49,[],0
Fold 50,[],0
Fold 51,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 52,[],0
Fold 53,[],0
Fold 54,[],0
Fold 55,[],0
Fold 56,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 57,[],0
Fold 58,[],0
Fold 59,[],0
Fold 60,[],0
Fold 61,[],0
Fold 62,[],0
Fold 63,[],0
Fold 64,[],0
Fold 65,[],0
Fold 66,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 67,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 68,[],0
Fold 69,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 70,[],0
Fold 71,[],0
Fold 72,[],0
Fold 73,[],0
Fold 74,[],0
Fold 75,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 76,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 77,[],0
Fold 78,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 79,[],0
Fold 80,[],0
Fold 81,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 82,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 83,[],0
Fold 84,[],0
Fold 85,[],0
Fold 86,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 87,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 88,[],0
Fold 89,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 90,[],0
Fold 91,[],0
Fold 92,[],0
Fold 93,[],0
Fold 94,[],0
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 100,"['CREB', 'p38', 'STAT3', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 101,[],0
Fold 102,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 103,[],0
Fold 104,[],0
Fold 105,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 106,"['CREB', 'p38', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",8
