,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,['Frequency'],1
Fold 2,[],0
Fold 3,[],0
Fold 4,"['NFkB', 'CREB']",2
Fold 5,[],0
Fold 6,['STAT6'],1
Fold 7,[],0
Fold 8,[],0
Fold 9,['Frequency'],1
Fold 10,['Frequency'],1
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,[],0
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,"['NFkB', 'Frequency']",2
Fold 19,[],0
Fold 20,[],0
Fold 21,['Frequency'],1
Fold 22,[],0
Fold 23,[],0
Fold 24,[],0
Fold 25,[],0
Fold 26,"['NFkB', 'Frequency']",2
Fold 27,[],0
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,[],0
Fold 32,['Frequency'],1
Fold 33,[],0
Fold 34,[],0
Fold 35,"['NFkB', 'CREB']",2
Fold 36,['Frequency'],1
Fold 37,['STAT6'],1
Fold 38,[],0
Fold 39,[],0
Fold 40,[],0
Fold 41,[],0
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,['Frequency'],1
Fold 47,[],0
Fold 48,[],0
Fold 49,"['NFkB', 'Frequency']",2
Fold 50,[],0
Fold 51,[],0
Fold 52,[],0
Fold 53,['Frequency'],1
Fold 54,['STAT6'],1
Fold 55,[],0
Fold 56,[],0
Fold 57,['Frequency'],1
Fold 58,[],0
Fold 59,"['NFkB', 'CREB']",2
Fold 60,[],0
Fold 61,[],0
Fold 62,[],0
Fold 63,"['NFkB', 'CREB']",2
Fold 64,['Frequency'],1
Fold 65,['STAT6'],1
Fold 66,[],0
Fold 67,[],0
Fold 68,[],0
Fold 69,[],0
Fold 70,[],0
Fold 71,[],0
Fold 72,[],0
Fold 73,[],0
Fold 74,[],0
Fold 75,[],0
Fold 76,['Frequency'],1
Fold 77,['Frequency'],1
Fold 78,[],0
Fold 79,"['NFkB', 'Frequency']",2
Fold 80,[],0
Fold 81,[],0
Fold 82,[],0
Fold 83,[],0
Fold 84,[],0
Fold 85,[],0
Fold 86,[],0
Fold 87,['Frequency'],1
Fold 88,[],0
Fold 89,[],0
Fold 90,['Frequency'],1
Fold 91,"['NFkB', 'CREB']",2
Fold 92,['STAT6'],1
Fold 93,[],0
Fold 94,[],0
Fold 95,[],0
Fold 96,"['NFkB', 'Frequency']",2
Fold 97,[],0
Fold 98,['Frequency'],1
Fold 99,[],0
Fold 100,[],0
Fold 101,[],0
Fold 102,[],0
Fold 103,[],0
Fold 104,[],0
Fold 105,['Frequency'],1
Fold 106,[],0
Fold 107,[],0
Fold 108,['Frequency'],1
Fold 109,[],0
Fold 110,[],0
Fold 111,[],0
Fold 112,['STAT6'],1
Fold 113,['Frequency'],1
Fold 114,[],0
Fold 115,"['NFkB', 'CREB']",2
Fold 116,[],0
Fold 117,[],0
Fold 118,[],0
Fold 119,"['NFkB', 'Frequency']",2
Fold 120,['Frequency'],1
Fold 121,[],0
Fold 122,[],0
Fold 123,['Frequency'],1
Fold 124,[],0
Fold 125,[],0
Fold 126,[],0
Fold 127,[],0
Fold 128,[],0
Fold 129,[],0
Fold 130,"['NFkB', 'Frequency']",2
Fold 131,['Frequency'],1
Fold 132,[],0
Fold 133,[],0
Fold 134,['STAT6'],1
Fold 135,[],0
Fold 136,[],0
Fold 137,[],0
Fold 138,"['NFkB', 'CREB']",2
Fold 139,[],0
Fold 140,['Frequency'],1
Fold 141,[],0
Fold 142,[],0
Fold 143,[],0
Fold 144,[],0
Fold 145,[],0
Fold 146,[],0
Fold 147,['STAT6'],1
Fold 148,['Frequency'],1
Fold 149,"['NFkB', 'CREB']",2
Fold 150,[],0
Fold 151,[],0
Fold 152,[],0
Fold 153,[],0
Fold 154,[],0
Fold 155,[],0
Fold 156,[],0
Fold 157,['Frequency'],1
Fold 158,"['NFkB', 'Frequency']",2
Fold 159,[],0
Fold 160,['Frequency'],1
Fold 161,['STAT6'],1
Fold 162,[],0
Fold 163,['Frequency'],1
Fold 164,[],0
Fold 165,[],0
Fold 166,[],0
Fold 167,"['NFkB', 'CREB']",2
Fold 168,[],0
Fold 169,[],0
Fold 170,[],0
Fold 171,['Frequency'],1
Fold 172,[],0
Fold 173,[],0
Fold 174,[],0
Fold 175,[],0
Fold 176,[],0
Fold 177,"['NFkB', 'Frequency']",2
Fold 178,[],0
Fold 179,[],0
Fold 180,[],0
Fold 181,[],0
Fold 182,[],0
Fold 183,[],0
Fold 184,[],0
Fold 185,[],0
Fold 186,['Frequency'],1
Fold 187,[],0
Fold 188,[],0
Fold 189,[],0
Fold 190,[],0
Fold 191,['Frequency'],1
Fold 192,"['NFkB', 'CREB']",2
Fold 193,"['NFkB', 'Frequency']",2
Fold 194,[],0
Fold 195,['Frequency'],1
Fold 196,[],0
Fold 197,[],0
Fold 198,[],0
Fold 199,['STAT6'],1
