,Fold selected features,Fold nb of features
Fold 0,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 1,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 2,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 3,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 4,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 5,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 6,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 7,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 8,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 9,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 10,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 11,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 12,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 13,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 14,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 15,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 16,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 17,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 18,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 19,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 20,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 21,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 22,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 23,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 24,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 25,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 26,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 27,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 28,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 29,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 30,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
