,Spearman corr,pvalue
ERK,-0.4543261094637398,0.044178827610850326
S6,0.43355498476205995,0.056166935591136946
IkB,0.43355498476205995,0.056166935591136946
NFkB,-0.36418618720013046,0.1144293688420575
MAPKAPK2,-0.3468439878096479,0.13407612120334217
STAT6,-0.2636248650982481,0.2614100523687759
STAT3,0.20842004228756247,0.37788084954288004
Frequency,0.1213953957333768,0.6101689948464966
STAT5,0.0693687975619296,0.7713562200019073
CREB,-0.052026598171447204,0.827557337051562
p38,0.027794463276724773,0.9073998530649989
STAT1,,
