,Fold selected features,Fold nb of features
Fold 0,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 1,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 2,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 3,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 4,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 5,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 6,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 7,"['S6', 'NFkB']",2
Fold 8,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 9,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 10,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 11,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 12,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 13,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 14,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 15,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 16,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 17,"['Frequency', 'S6']",2
Fold 18,"['CREB', 'S6']",2
Fold 19,['S6'],1
Fold 20,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 21,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 22,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 23,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 24,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 25,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 26,"['CREB', 'S6']",2
Fold 27,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 28,"['S6', 'NFkB']",2
Fold 29,['S6'],1
Fold 30,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 31,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 32,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 33,"['Frequency', 'S6']",2
Fold 34,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 35,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 36,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 37,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 38,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 39,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 40,"['Frequency', 'S6']",2
Fold 41,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 42,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 43,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 44,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 45,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 46,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 47,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 48,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
