,Fold selected features,Fold nb of features
Fold 0,"['Frequency', 'CREB']",2
Fold 1,"['Frequency', 'CREB']",2
Fold 2,"['Frequency', 'CREB', 'NFkB']",3
Fold 3,"['Frequency', 'CREB']",2
Fold 4,"['Frequency', 'CREB', 'NFkB']",3
Fold 5,"['Frequency', 'CREB']",2
Fold 6,"['Frequency', 'CREB', 'NFkB']",3
Fold 7,"['Frequency', 'CREB', 'NFkB']",3
Fold 8,"['Frequency', 'CREB', 'NFkB']",3
Fold 9,"['Frequency', 'CREB']",2
Fold 10,"['Frequency', 'CREB', 'NFkB']",3
Fold 11,"['Frequency', 'CREB', 'NFkB']",3
Fold 12,"['Frequency', 'CREB', 'NFkB']",3
Fold 13,"['Frequency', 'CREB']",2
Fold 14,"['Frequency', 'CREB']",2
Fold 15,"['Frequency', 'CREB', 'NFkB']",3
Fold 16,"['Frequency', 'CREB', 'NFkB']",3
Fold 17,"['Frequency', 'CREB']",2
Fold 18,"['Frequency', 'CREB']",2
Fold 19,"['Frequency', 'CREB']",2
Fold 20,"['Frequency', 'CREB']",2
Fold 21,"['Frequency', 'CREB']",2
Fold 22,"['Frequency', 'CREB', 'NFkB']",3
Fold 23,"['Frequency', 'CREB']",2
Fold 24,"['Frequency', 'CREB']",2
Fold 25,"['Frequency', 'CREB', 'NFkB']",3
Fold 26,"['Frequency', 'CREB']",2
Fold 27,"['Frequency', 'CREB', 'NFkB']",3
Fold 28,"['Frequency', 'CREB', 'NFkB']",3
Fold 29,"['Frequency', 'CREB']",2
Fold 30,"['Frequency', 'CREB', 'NFkB']",3
Fold 31,"['Frequency', 'CREB', 'NFkB']",3
Fold 32,"['Frequency', 'CREB', 'NFkB']",3
Fold 33,"['Frequency', 'CREB']",2
Fold 34,"['Frequency', 'CREB', 'NFkB']",3
Fold 35,"['Frequency', 'CREB', 'NFkB']",3
Fold 36,"['Frequency', 'CREB']",2
Fold 37,"['Frequency', 'CREB', 'NFkB']",3
Fold 38,"['Frequency', 'CREB']",2
Fold 39,"['Frequency', 'CREB']",2
Fold 40,"['Frequency', 'CREB']",2
Fold 41,"['Frequency', 'CREB', 'NFkB']",3
Fold 42,"['Frequency', 'CREB']",2
Fold 43,"['Frequency', 'CREB', 'NFkB']",3
Fold 44,"['Frequency', 'CREB']",2
Fold 45,"['Frequency', 'CREB', 'NFkB']",3
Fold 46,"['Frequency', 'CREB']",2
Fold 47,"['Frequency', 'CREB', 'NFkB']",3
Fold 48,"['Frequency', 'CREB']",2
Fold 49,"['Frequency', 'CREB']",2
Fold 50,"['Frequency', 'CREB', 'NFkB']",3
Fold 51,"['Frequency', 'CREB', 'NFkB']",3
