,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT5', 'Frequency']",3
Fold 1,"['CREB', 'STAT5']",2
Fold 2,"['CREB', 'STAT5']",2
Fold 3,"['CREB', 'STAT5']",2
Fold 4,"['CREB', 'NFkB']",2
Fold 5,"['CREB', 'STAT5']",2
Fold 6,['CREB'],1
Fold 7,"['CREB', 'STAT5', 'Frequency']",3
Fold 8,['STAT5'],1
Fold 9,"['CREB', 'STAT5', 'Frequency']",3
Fold 10,['STAT5'],1
Fold 11,"['CREB', 'STAT5', 'Frequency']",3
Fold 12,"['CREB', 'STAT5']",2
Fold 13,"['CREB', 'STAT5', 'Frequency']",3
Fold 14,"['CREB', 'STAT5']",2
Fold 15,"['CREB', 'STAT5']",2
Fold 16,['CREB'],1
Fold 17,"['CREB', 'STAT5', 'Frequency']",3
Fold 18,"['CREB', 'STAT5', 'Frequency']",3
Fold 19,"['CREB', 'STAT5']",2
Fold 20,"['CREB', 'STAT5', 'Frequency']",3
Fold 21,"['CREB', 'STAT5', 'Frequency']",3
Fold 22,"['CREB', 'STAT5']",2
Fold 23,"['CREB', 'STAT5']",2
Fold 24,"['CREB', 'STAT5']",2
Fold 25,"['CREB', 'STAT5']",2
Fold 26,"['CREB', 'STAT5', 'Frequency']",3
Fold 27,['CREB'],1
Fold 28,"['CREB', 'STAT5', 'Frequency']",3
Fold 29,"['CREB', 'STAT5']",2
Fold 30,"['CREB', 'STAT5', 'Frequency']",3
Fold 31,"['CREB', 'STAT5']",2
Fold 32,['STAT5'],1
Fold 33,"['CREB', 'STAT5', 'Frequency']",3
Fold 34,['STAT5'],1
Fold 35,"['CREB', 'NFkB']",2
Fold 36,"['CREB', 'STAT5']",2
Fold 37,['CREB'],1
Fold 38,"['CREB', 'STAT5', 'Frequency']",3
Fold 39,"['CREB', 'STAT5']",2
Fold 40,"['CREB', 'STAT5', 'Frequency']",3
Fold 41,['CREB'],1
Fold 42,"['CREB', 'STAT5', 'Frequency']",3
Fold 43,"['CREB', 'STAT5', 'Frequency']",3
Fold 44,"['CREB', 'STAT5']",2
Fold 45,['STAT5'],1
Fold 46,"['CREB', 'STAT5', 'Frequency']",3
Fold 47,"['CREB', 'STAT5']",2
Fold 48,"['CREB', 'STAT5']",2
Fold 49,"['CREB', 'STAT5', 'Frequency']",3
Fold 50,"['CREB', 'STAT5']",2
Fold 51,"['CREB', 'STAT5']",2
Fold 52,"['CREB', 'STAT5']",2
Fold 53,['STAT5'],1
Fold 54,['CREB'],1
Fold 55,"['CREB', 'STAT5', 'Frequency']",3
Fold 56,"['CREB', 'STAT5', 'Frequency']",3
Fold 57,"['CREB', 'STAT5']",2
Fold 58,"['CREB', 'STAT5']",2
Fold 59,"['CREB', 'NFkB']",2
Fold 60,"['CREB', 'STAT5', 'Frequency']",3
Fold 61,['STAT5'],1
Fold 62,"['CREB', 'STAT5']",2
Fold 63,"['CREB', 'NFkB']",2
Fold 64,"['CREB', 'STAT5']",2
Fold 65,['CREB'],1
Fold 66,"['CREB', 'STAT5']",2
Fold 67,"['CREB', 'STAT5']",2
Fold 68,"['CREB', 'STAT5']",2
Fold 69,"['CREB', 'STAT5', 'Frequency']",3
Fold 70,"['CREB', 'STAT5']",2
Fold 71,"['CREB', 'STAT5', 'Frequency']",3
Fold 72,"['CREB', 'STAT5']",2
Fold 73,['CREB'],1
Fold 74,"['CREB', 'STAT5']",2
Fold 75,"['CREB', 'STAT5', 'Frequency']",3
Fold 76,"['CREB', 'STAT5', 'Frequency']",3
Fold 77,['STAT5'],1
Fold 78,"['CREB', 'STAT5', 'Frequency']",3
Fold 79,"['CREB', 'STAT5', 'Frequency']",3
Fold 80,"['CREB', 'STAT5']",2
Fold 81,"['CREB', 'STAT5', 'Frequency']",3
Fold 82,"['CREB', 'STAT5', 'Frequency']",3
Fold 83,"['CREB', 'STAT5', 'Frequency']",3
Fold 84,"['CREB', 'STAT5', 'Frequency']",3
Fold 85,"['CREB', 'STAT5']",2
Fold 86,"['CREB', 'STAT5']",2
