,Spearman corr,pvalue
S6,0.5029237823239896,0.023807489798112744
ERK,-0.36418618720013046,0.1144293688420575
Frequency,0.2774751902477184,0.2362383786543498
IkB,0.260132990857236,0.268013467258769
STAT1,-0.22941573387056172,0.3305649312781844
CREB,-0.22544859207627121,0.3392245168854384
NFkB,-0.1907641932953064,0.42045602297364715
STAT5,-0.10405319634289441,0.6624265026477676
STAT3,-0.04337180673274521,0.8559279809615591
STAT6,-0.0346843987809648,0.8845776882078991
MAPKAPK2,-0.0173421993904824,0.9421499835467455
p38,0.008787495503274937,0.9706692459130304
