,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,"['STAT5', 'STAT3', 'S6']",3
Fold 3,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 4,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 5,['STAT3'],1
Fold 6,[],0
Fold 7,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 12,"['STAT5', 'S6']",2
Fold 13,['S6'],1
Fold 14,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 15,[],0
Fold 16,[],0
Fold 17,['S6'],1
Fold 18,[],0
Fold 19,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 20,['S6'],1
Fold 21,[],0
Fold 22,"['STAT5', 'STAT3', 'S6']",3
Fold 23,['STAT3'],1
Fold 24,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 29,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 30,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 31,"['STAT5', 'S6']",2
Fold 32,[],0
Fold 33,['S6'],1
Fold 34,[],0
Fold 35,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 36,[],0
Fold 37,[],0
Fold 38,[],0
Fold 39,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 40,['S6'],1
Fold 41,[],0
Fold 42,[],0
Fold 43,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 44,['STAT3'],1
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 49,[],0
Fold 50,"['STAT5', 'STAT3', 'S6']",3
Fold 51,"['STAT5', 'S6']",2
Fold 52,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 53,[],0
Fold 54,[],0
Fold 55,['S6'],1
Fold 56,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 57,[],0
Fold 58,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 59,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 60,[],0
Fold 61,[],0
Fold 62,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 63,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 64,[],0
Fold 65,[],0
Fold 66,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 67,"['STAT5', 'S6']",2
Fold 68,[],0
Fold 69,['S6'],1
Fold 70,['STAT3'],1
Fold 71,['S6'],1
Fold 72,"['STAT5', 'STAT3', 'S6']",3
Fold 73,[],0
Fold 74,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 75,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 76,[],0
Fold 77,[],0
Fold 78,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 79,[],0
Fold 80,['STAT3'],1
Fold 81,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 82,['S6'],1
Fold 83,['S6'],1
Fold 84,[],0
Fold 85,[],0
Fold 86,"['STAT5', 'S6']",2
Fold 87,[],0
Fold 88,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 89,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 90,[],0
Fold 91,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 92,[],0
