,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,['CREB'],1
Fold 2,[],0
Fold 3,['S6'],1
Fold 4,['S6'],1
Fold 5,['CREB'],1
Fold 6,[],0
Fold 7,['CREB'],1
Fold 8,['CREB'],1
Fold 9,[],0
Fold 10,[],0
Fold 11,"['CREB', 'S6']",2
Fold 12,['CREB'],1
Fold 13,['CREB'],1
Fold 14,['CREB'],1
Fold 15,['CREB'],1
Fold 16,[],0
Fold 17,['CREB'],1
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,['CREB'],1
Fold 21,[],0
Fold 22,[],0
Fold 23,['CREB'],1
Fold 24,['CREB'],1
Fold 25,['CREB'],1
Fold 26,[],0
Fold 27,[],0
Fold 28,['CREB'],1
Fold 29,['S6'],1
Fold 30,"['CREB', 'S6']",2
Fold 31,['CREB'],1
Fold 32,[],0
Fold 33,['CREB'],1
Fold 34,['CREB'],1
Fold 35,['S6'],1
Fold 36,['CREB'],1
Fold 37,[],0
Fold 38,[],0
Fold 39,['S6'],1
Fold 40,['CREB'],1
Fold 41,[],0
Fold 42,[],0
Fold 43,"['CREB', 'S6']",2
Fold 44,['CREB'],1
Fold 45,['CREB'],1
Fold 46,[],0
Fold 47,['CREB'],1
Fold 48,['CREB'],1
Fold 49,[],0
Fold 50,[],0
Fold 51,['CREB'],1
Fold 52,['S6'],1
Fold 53,[],0
Fold 54,[],0
Fold 55,['CREB'],1
Fold 56,['CREB'],1
Fold 57,['CREB'],1
Fold 58,['S6'],1
Fold 59,['S6'],1
Fold 60,[],0
Fold 61,['CREB'],1
Fold 62,['S6'],1
Fold 63,['S6'],1
Fold 64,['CREB'],1
Fold 65,[],0
Fold 66,['CREB'],1
Fold 67,['CREB'],1
Fold 68,['CREB'],1
Fold 69,['CREB'],1
Fold 70,['CREB'],1
Fold 71,['CREB'],1
Fold 72,[],0
Fold 73,[],0
Fold 74,['S6'],1
Fold 75,['CREB'],1
Fold 76,[],0
Fold 77,[],0
Fold 78,"['CREB', 'S6']",2
Fold 79,[],0
Fold 80,['CREB'],1
Fold 81,"['CREB', 'S6']",2
Fold 82,['CREB'],1
Fold 83,['CREB'],1
Fold 84,[],0
Fold 85,['CREB'],1
Fold 86,['CREB'],1
Fold 87,[],0
Fold 88,['S6'],1
Fold 89,['CREB'],1
Fold 90,['CREB'],1
Fold 91,['S6'],1
Fold 92,[],0
Fold 93,['S6'],1
Fold 94,['CREB'],1
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,['CREB'],1
Fold 100,['CREB'],1
Fold 101,['S6'],1
Fold 102,['CREB'],1
Fold 103,['CREB'],1
Fold 104,[],0
Fold 105,[],0
Fold 106,['CREB'],1
Fold 107,['CREB'],1
Fold 108,[],0
Fold 109,"['CREB', 'S6']",2
Fold 110,['CREB'],1
Fold 111,['CREB'],1
Fold 112,[],0
Fold 113,['CREB'],1
Fold 114,[],0
Fold 115,['S6'],1
Fold 116,['S6'],1
Fold 117,[],0
Fold 118,['CREB'],1
Fold 119,[],0
Fold 120,[],0
Fold 121,['CREB'],1
Fold 122,['CREB'],1
Fold 123,[],0
Fold 124,['CREB'],1
Fold 125,['CREB'],1
Fold 126,['CREB'],1
Fold 127,"['CREB', 'S6']",2
Fold 128,['CREB'],1
Fold 129,[],0
Fold 130,[],0
Fold 131,['CREB'],1
Fold 132,[],0
Fold 133,['S6'],1
Fold 134,[],0
Fold 135,[],0
Fold 136,['CREB'],1
Fold 137,['CREB'],1
Fold 138,['S6'],1
Fold 139,['S6'],1
Fold 140,['CREB'],1
Fold 141,['CREB'],1
Fold 142,['S6'],1
Fold 143,['CREB'],1
Fold 144,['CREB'],1
Fold 145,[],0
Fold 146,[],0
Fold 147,[],0
Fold 148,[],0
Fold 149,['S6'],1
Fold 150,['CREB'],1
Fold 151,['CREB'],1
Fold 152,['S6'],1
Fold 153,['CREB'],1
Fold 154,['CREB'],1
Fold 155,[],0
Fold 156,"['CREB', 'S6']",2
Fold 157,[],0
Fold 158,[],0
Fold 159,['CREB'],1
Fold 160,['CREB'],1
Fold 161,[],0
Fold 162,[],0
Fold 163,[],0
Fold 164,[],0
Fold 165,['CREB'],1
Fold 166,['CREB'],1
Fold 167,['S6'],1
Fold 168,['S6'],1
Fold 169,['CREB'],1
Fold 170,"['CREB', 'S6']",2
Fold 171,[],0
Fold 172,['CREB'],1
Fold 173,[],0
Fold 174,['CREB'],1
Fold 175,['CREB'],1
Fold 176,['CREB'],1
Fold 177,[],0
Fold 178,['CREB'],1
Fold 179,['S6'],1
Fold 180,['CREB'],1
Fold 181,['CREB'],1
Fold 182,['S6'],1
Fold 183,[],0
Fold 184,[],0
Fold 185,['CREB'],1
Fold 186,[],0
Fold 187,"['CREB', 'S6']",2
Fold 188,['CREB'],1
Fold 189,['CREB'],1
Fold 190,['CREB'],1
Fold 191,['CREB'],1
Fold 192,['S6'],1
Fold 193,[],0
Fold 194,[],0
Fold 195,[],0
Fold 196,['S6'],1
Fold 197,['CREB'],1
Fold 198,['CREB'],1
Fold 199,[],0
