,Spearman corr,pvalue
S6,0.4855815829335072,0.02997228625973506
STAT6,0.3468439878096479,0.13407612120334217
MAPKAPK2,-0.3121595890286832,0.18027688594970007
STAT3,-0.26047294263733783,0.2673660332009292
IkB,-0.2427907914667536,0.3023454554274212
p38,0.22941573387056172,0.3305649312781844
STAT5,-0.17342199390482396,0.4646587776970642
ERK,0.1387375951238592,0.5596674186533706
CREB,-0.0693687975619296,0.7713562200019073
Frequency,0.052026598171447204,0.827557337051562
NFkB,0.0346843987809648,0.8845776882078991
STAT1,,
